assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0.0,0,787,0.00,0.00,0.00,0.00,196,0,0,0.0,0.0,2026-01-04T12:30:00Z,0,False,14,0,0,0,0,0,20,0,0,0,0,1,1,0.0,0,0,0,0,45,True,0
0,0,0,0,0,0.0,0,787,0.00,0.00,0.00,0.00,209,0,0,0.0,0.0,2026-01-07T20:15:00Z,0,False,15,0,0,0,0,0,21,0,60,0,0,3,4,0.0,0,44,49,5,45,False,0
0,0,0,0,0,0.0,0,787,0.00,0.00,0.00,0.00,214,0,0,0.0,0.0,2026-01-17T15:00:00Z,0,False,10,0,0,0,0,0,22,0,286,0,0,0,1,0.0,0,178,209,31,45,True,0
0,0,0,0,0,0.0,0,787,0.00,0.00,0.00,0.00,226,0,0,0.0,0.0,2026-01-26T20:00:00Z,0,False,9,0,0,0,0,0,23,0,283,0,0,1,1,0.0,0,-28,62,90,45,False,0
0,0,0,0,0,0.0,0,787,0.00,0.00,0.00,0.00,234,0,0,0.0,0.0,2026-01-31T15:00:00Z,0,False,1,0,0,0,0,0,24,0,539,0,0,4,0,0.0,0,196,259,63,44,True,0
0,0,0,0,0,0.0,0,787,0.00,0.00,0.00,0.00,246,0,0,0.0,0.0,2026-02-06T20:00:00Z,0,False,16,0,0,0,0,0,25,0,613,0,0,1,3,0.0,0,36,190,154,44,True,0
0,0,0,0,0,0.0,0,787,0.00,0.00,0.00,0.00,253,0,0,0.0,0.0,2026-02-10T19:30:00Z,0,False,7,0,0,0,0,0,26,0,1066,0,0,2,2,0.0,0,381,482,101,44,False,0
0,0,0,0,0,0.0,0,787,0.00,0.00,0.00,0.00,261,0,0,0.0,0.0,2026-02-21T15:00:00Z,0,False,2,0,0,0,0,0,27,0,1245,0,0,1,1,0.0,0,176,354,178,44,False,0
0,0,0,0,0,0.0,0,787,0.00,0.00,0.00,0.00,276,0,0,0.0,0.0,2026-02-28T17:30:00Z,0,False,13,0,0,0,0,0,28,0,1272,0,0,1,0,0.0,0,-6,158,164,44,True,0
0,0,0,0,0,0.0,0,787,0.00,0.00,0.00,0.00,286,0,0,0.0,0.0,2026-03-03T19:30:00Z,0,False,17,0,0,0,0,0,29,0,1346,0,0,1,0,0.0,0,49,157,108,44,True,0
