assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,1,29,0,0.3,472,8,2,1,6.3,36.2,2021-08-14T14:00:00Z,24,2,0,0,0,0,1,0,22290,2,3,26.0,6,0,0,0,50,True,0
0,0,2,0,1.2,472,12,0,0,0.6,2.2,2021-08-21T16:30:00Z,45,4,0,0,0,0,2,0,135794,0,2,3.0,1,67585,82904,15319,50,False,0
0,0,3,0,1.6,472,27,0,0,0.7,1.0,2021-08-29T13:00:00Z,25,17,0,0,0,0,3,0,144082,0,1,4.0,1,7006,42900,35894,50,False,0
0,0,4,0,0.7,472,40,2,0,1.0,3.6,2021-09-11T14:00:00Z,37,20,0,0,0,0,4,0,162253,2,0,6.0,1,8764,70291,61527,50,True,0
0,0,0,0,0.0,472,47,0,0,0.0,0.0,2021-09-18T14:00:00Z,0,15,0,0,0,0,5,0,185738,3,1,0.0,0,19047,55523,36476,50,False,0
0,0,0,0,0.0,472,60,0,0,0.0,0.0,2021-09-25T14:00:00Z,0,14,0,0,0,0,6,0,165996,1,1,0.0,0,-19527,12469,31996,50,True,0
0,0,0,0,0.0,472,65,0,0,0.0,0.0,2021-10-02T14:00:00Z,0,10,0,0,0,0,7,0,147614,0,1,0.0,0,-19221,6311,25532,50,False,0
0,0,6,0,10.8,472,80,5,0,4.2,3.0,2021-10-16T11:30:00Z,90,11,0,0,0,0,8,0,136672,5,0,28.0,2,-12667,6739,19406,50,True,0
1,0,22,0,61.5,472,86,2,0,12.2,27.2,2021-10-23T14:00:00Z,90,8,0,0,0,0,9,0,130577,5,2,33.0,5,-6546,3821,10367,50,False,0
0,0,0,0,2.0,472,99,1,0,1.3,4.4,2021-10-30T14:00:00Z,45,16,0,0,0,0,10,0,146599,1,0,7.0,1,12027,22798,10771,50,True,0
0,0,6,0,18.6,472,101,0,0,2.5,6.4,2021-11-07T14:00:00Z,16,1,0,0,0,0,11,0,141911,0,1,0.0,1,-3831,6351,10182,50,False,0
0,0,8,0,43.6,472,119,0,0,5.6,10.4,2021-11-20T15:00:00Z,22,13,0,0,0,0,12,0,136077,1,4,2.0,1,-6272,3272,9544,50,True,0
0,0,11,0,15.3,472,127,4,0,6.4,6.4,2021-11-28T14:00:00Z,90,9,0,0,0,0,13,0,130558,2,4,42.0,2,-5877,3147,9024,50,False,0
0,0,0,0,0.0,472,135,0,0,0.0,0.0,2021-12-01T19:30:00Z,0,6,0,0,0,0,14,0,129687,2,1,0.0,0,-1396,3700,5096,50,True,0
0,1,34,0,57.5,472,148,1,1,14.1,46.6,2021-12-04T17:30:00Z,45,12,0,0,0,0,15,0,124355,3,1,37.0,6,-5465,3376,8841,50,True,0
0,0,1,1,11.6,472,152,0,0,1.3,0.8,2021-12-10T20:00:00Z,76,3,0,0,0,0,16,0,133061,1,2,1.0,2,7024,13096,6072,50,False,0
0,0,5,0,2.3,472,200,2,0,0.3,0.0,2021-12-28T15:00:00Z,45,19,0,0,0,0,20,0,149647,4,1,1.0,1,5555,9683,4128,50,True,0
0,0,3,0,0.0,472,210,0,0,0.0,0.0,2022-01-01T15:00:00Z,1,17,0,0,0,0,21,0,140310,1,0,0.0,1,-1470,11324,12794,50,True,0
