h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.95581,0.352997,1.43347,0.352997,"{'att': 179, 'def': 17}","{'att': 363, 'def': 19}",3,6,3,0,2.9074,w,2020-09-13 13:00:00,1,0,0,3,1.080473
h,0.987365,1.52404,0.987365,1.52404,"{'att': 127, 'def': 17}","{'att': 338, 'def': 21}",14,6,4,2,0.9512,w,2020-09-20 18:00:00,1,0,0,3,-0.536675
a,2.86721,1.44633,0.583704,1.44633,"{'att': 301, 'def': 12}","{'att': 144, 'def': 27}",3,5,5,2,2.4334,w,2020-09-27 15:30:00,1,0,0,3,-0.8626259999999999
h,0.456022,2.03227,0.456022,2.03227,"{'att': 161, 'def': 22}","{'att': 376, 'def': 11}",2,3,0,3,0.3094,l,2020-10-04 11:00:00,0,0,1,0,-1.576248
h,0.671595,0.873776,0.671595,0.873776,"{'att': 210, 'def': 24}","{'att': 212, 'def': 23}",4,7,0,1,1.1142,l,2020-10-18 18:15:00,0,0,1,0,-0.20218099999999994
a,0.736172,0.73944,0.736172,0.73944,"{'att': 367, 'def': 14}","{'att': 264, 'def': 24}",2,5,1,0,1.3486,w,2020-10-25 19:15:00,1,0,0,3,-0.0032679999999999376
a,3.07657,1.74822,2.3154,1.74822,"{'att': 369, 'def': 10}","{'att': 155, 'def': 23}",5,7,4,1,2.3016,w,2020-11-02 20:00:00,1,0,0,3,0.5671799999999998
h,2.0545,0.57936,0.532166,0.57936,"{'att': 296, 'def': 20}","{'att': 261, 'def': 10}",1,6,1,0,2.5842,w,2020-11-08 14:00:00,1,0,0,3,-0.04719399999999996
a,1.98397,3.77245,1.98397,3.77245,"{'att': 380, 'def': 21}","{'att': 240, 'def': 29}",8,9,0,3,0.44609999999999994,l,2020-11-22 19:15:00,0,0,1,0,-1.78848
h,1.27814,2.03719,1.27814,1.27602,"{'att': 136, 'def': 24}","{'att': 384, 'def': 22}",9,7,1,2,0.7869999999999999,l,2020-11-30 17:30:00,0,0,1,0,0.002120000000000122
a,1.3904,0.290743,1.3904,0.290743,"{'att': 111, 'def': 20}","{'att': 366, 'def': 21}",5,3,2,1,2.3325,w,2020-12-06 14:15:00,1,0,0,3,1.099657
h,1.64351,0.791673,1.64351,0.791673,"{'att': 248, 'def': 19}","{'att': 263, 'def': 28}",11,5,3,0,2.0698999999999996,w,2020-12-13 19:15:00,1,0,0,3,0.8518370000000001
h,0.83883,1.51486,0.83883,1.51486,"{'att': 195, 'def': 28}","{'att': 347, 'def': 13}",6,3,0,2,0.6886,l,2020-12-16 18:00:00,0,0,1,0,-0.6760300000000001
a,1.74772,0.945932,0.986554,0.945932,"{'att': 271, 'def': 23}","{'att': 199, 'def': 21}",13,5,2,0,2.0111999999999997,w,2020-12-20 14:15:00,1,0,0,3,0.04062200000000005
h,1.0396,2.08423,1.0396,2.08423,"{'att': 279, 'def': 27}","{'att': 287, 'def': 31}",1,6,2,2,0.6244,d,2020-12-26 12:30:00,0,1,0,1,-1.0446299999999997
a,1.72132,0.321348,0.960152,0.321348,"{'att': 138, 'def': 25}","{'att': 374, 'def': 16}",4,1,1,1,2.5497,d,2020-12-28 15:00:00,0,1,0,1,0.6388039999999999
a,0.702081,0.264584,0.702081,0.264584,"{'att': 183, 'def': 29}","{'att': 311, 'def': 23}",6,1,2,1,1.774,w,2021-01-03 14:15:00,1,0,0,3,0.43749699999999997
h,2.12019,0.378147,2.12019,0.378147,"{'att': 275, 'def': 28}","{'att': 219, 'def': 23}",9,5,2,0,2.6108,w,2021-01-16 20:00:00,1,0,0,3,1.742043
h,1.1449,0.615727,1.1449,0.615727,"{'att': 397, 'def': 22}","{'att': 188, 'def': 22}",9,7,2,0,1.8511,w,2021-01-19 20:15:00,1,0,0,3,0.529173
a,0.792045,0.474981,0.792045,0.474981,"{'att': 156, 'def': 25}","{'att': 341, 'def': 14}",8,2,1,1,1.6051000000000002,d,2021-01-27 20:15:00,0,1,0,1,0.317064
h,1.73432,1.8141,1.73432,1.8141,"{'att': 229, 'def': 28}","{'att': 217, 'def': 30}",6,4,1,3,1.3044,l,2021-01-31 14:00:00,0,0,1,0,-0.07977999999999996
a,1.71299,0.731288,1.71299,0.731288,"{'att': 361, 'def': 19}","{'att': 253, 'def': 33}",6,10,2,0,2.2877,w,2021-02-03 18:00:00,1,0,0,3,0.981702
a,0.632232,1.35506,0.632232,1.35506,"{'att': 254, 'def': 34}","{'att': 341, 'def': 23}",10,7,0,0,0.7269,d,2021-02-07 14:00:00,0,1,0,1,-0.7228279999999999
h,2.07383,1.68325,2.07383,1.68325,"{'att': 310, 'def': 23}","{'att': 227, 'def': 30}",2,12,3,1,1.6653,w,2021-02-13 12:30:00,1,0,0,3,0.39058000000000015
a,1.23852,1.7084,1.23852,1.7084,"{'att': 226, 'def': 25}","{'att': 235, 'def': 17}",6,5,2,1,0.9439,w,2021-02-21 14:00:00,1,0,0,3,-0.46987999999999985
h,0.533575,2.1065,0.533575,1.34533,"{'att': 274, 'def': 25}","{'att': 244, 'def': 10}",3,7,1,3,0.1895,l,2021-02-28 12:00:00,0,0,1,0,-0.8117549999999999
a,1.24109,1.26793,1.24109,1.26793,"{'att': 133, 'def': 14}","{'att': 339, 'def': 18}",6,7,1,1,1.311,d,2021-03-03 18:00:00,0,1,0,1,-0.026839999999999975
a,1.03801,0.75471,1.03801,0.75471,"{'att': 180, 'def': 24}","{'att': 377, 'def': 32}",7,11,2,1,1.6166,w,2021-03-06 20:00:00,1,0,0,3,0.2833000000000001
