h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.668082,1.32714,0.668082,1.32714,"{'att': 253, 'def': 22}","{'att': 385, 'def': 19}",6,7,1,0,0.7799,w,2021-08-14 14:00:00,1,0,0,3,-0.659058
a,0.62676,2.28613,0.62676,2.28613,"{'att': 284, 'def': 22}","{'att': 327, 'def': 14}",5,5,1,4,0.3362,l,2021-08-23 19:00:00,0,0,1,0,-1.65937
a,1.27371,1.44084,1.27371,0.679671,"{'att': 193, 'def': 22}","{'att': 274, 'def': 25}",3,2,2,1,1.1889,w,2021-08-28 14:00:00,1,0,0,3,0.5940389999999999
h,0.8001,2.75058,0.8001,2.75058,"{'att': 311, 'def': 4}","{'att': 246, 'def': 26}",6,14,0,1,0.28190000000000004,l,2021-09-11 14:00:00,0,0,1,0,-1.9504799999999998
a,1.25373,1.47438,1.25373,0.71321,"{'att': 186, 'def': 21}","{'att': 289, 'def': 21}",12,6,1,2,1.1499,l,2021-09-19 13:00:00,0,0,1,0,0.54052
h,2.16233,0.428866,2.16233,0.428866,"{'att': 118, 'def': 13}","{'att': 324, 'def': 23}",17,9,2,2,2.5699,d,2021-09-25 14:00:00,0,1,0,1,1.733464
a,1.04322,1.1703,1.04322,1.1703,"{'att': 317, 'def': 34}","{'att': 204, 'def': 30}",1,13,2,2,1.2822,d,2021-10-03 13:00:00,0,1,0,1,-0.12707999999999986
h,2.96611,1.02494,2.96611,1.02494,"{'att': 279, 'def': 21}","{'att': 321, 'def': 26}",10,4,4,2,2.6238,w,2021-10-16 14:00:00,1,0,0,3,1.94117
a,1.00254,1.16789,1.00254,1.16789,"{'att': 256, 'def': 12}","{'att': 216, 'def': 37}",5,7,2,1,1.1802000000000001,w,2021-10-24 13:00:00,1,0,0,3,-0.1653500000000001
h,1.98801,1.10288,1.98801,1.10288,"{'att': 173, 'def': 19}","{'att': 374, 'def': 15}",9,5,0,2,2.0833,l,2021-10-30 11:30:00,0,0,1,0,0.88513
a,0.795292,1.96551,0.795292,1.96551,"{'att': 224, 'def': 18}","{'att': 193, 'def': 22}",4,5,1,1,0.452,d,2021-11-07 14:00:00,0,1,0,1,-1.1702180000000002
