goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.024282965809106827,90,DC,Sheffield United,Burnley,1,0,2021-05-23,14812,2020,473421,0,0,0,0,0.024282965809106827,0.020060213282704353,0.020060213282704353
0,1,0.015609106048941612,90,DC,Newcastle United,Sheffield United,1,0,2021-05-19,14801,2020,472447,0.0619681254029274,0,1,0,0.015609106048941612,0.08105320483446121,0.08105320483446121
0,2,0.05346587672829628,90,DC,Everton,Sheffield United,0,1,2021-05-16,14787,2020,471888,0,0,0,0,0.05346587672829628,0.017646947875618935,0.017646947875618935
0,1,0.053669922053813934,90,DC,Sheffield United,Crystal Palace,0,2,2021-05-08,14782,2020,468689,0,0,0,0,0.053669922053813934,0.43903848528862,0.43903848528862
0,0,0,90,DC,Tottenham,Sheffield United,4,0,2021-05-02,14773,2020,467832,0,0,0,0,0,0.11768437922000885,0.11768437922000885
0,0,0,90,DC,Sheffield United,Brighton,1,0,2021-04-24,14762,2020,465653,0,0,0,0,0,0,0
0,0,0,90,DC,Wolverhampton Wanderers,Sheffield United,1,0,2021-04-17,14754,2020,463115,0,0,0,0,0,0.061316799372434616,0.061316799372434616
0,2,0.07385778427124023,90,DC,Sheffield United,Arsenal,0,3,2021-04-11,14741,2020,462205,0,0,0,0,0.07385778427124023,0.12565210461616516,0.09513957053422928
0,0,0,9,Sub,Leeds,Sheffield United,2,1,2021-04-03,14729,2020,459669,0,0,0,0,0,0,0
0,0,0,88,DC,West Ham,Sheffield United,3,0,2021-02-15,14674,2020,450035,0,0,0,0,0,0.03992612659931183,0.03992612659931183
0,0,0,90,DC,Sheffield United,Chelsea,1,2,2021-02-07,14662,2020,448526,0,0,0,0,0,0,0
0,0,0,90,DC,Sheffield United,West Bromwich Albion,2,1,2021-02-02,14649,2020,446712,0.49005675315856934,1,1,0,0,0.7805708646774292,0.29051411151885986
0,0,0,90,DC,Manchester City,Sheffield United,1,0,2021-01-30,14642,2020,445637,0,0,0,0,0,0.040355134755373,0.040355134755373
0,0,0,90,DC,Sheffield United,Tottenham,1,3,2021-01-17,14622,2020,442743,0,0,0,0,0,0.0724790096282959,0.0724790096282959
0,0,0,90,DC,Sheffield United,Newcastle United,1,0,2021-01-12,14610,2020,441789,0,0,0,0,0,0.2904892563819885,0.2904892563819885
0,0,0,90,DC,Crystal Palace,Sheffield United,2,0,2021-01-02,14604,2020,439120,0,0,0,0,0,0.048733070492744446,0.048733070492744446
0,1,0.01852375827729702,90,DC,Burnley,Sheffield United,1,0,2020-12-29,14587,2020,438417,0,0,0,0,0.01852375827729702,0.24728649854660034,0.22876274585723877
0,2,0.08287036418914795,90,DC,Sheffield United,Everton,0,1,2020-12-26,14582,2020,438157,0,0,0,0,0.08287036418914795,0,0
0,0,0,90,DC,Brighton,Sheffield United,1,1,2020-12-20,14565,2020,436432,0,0,0,0,0,0.09403901547193527,0.09403901547193527
0,1,0.03633948788046837,90,DC,Sheffield United,Manchester United,2,3,2020-12-17,14560,2020,435621,0,0,0,0,0.03633948788046837,0.196233332157135,0.15989384055137634
0,1,0.07843494415283203,90,DC,Southampton,Sheffield United,3,0,2020-12-13,14551,2020,433447,0,0,0,0,0.07843494415283203,0,0
0,0,0,90,DC,Sheffield United,Leicester,1,2,2020-12-06,14541,2020,432026,0,0,0,0,0,0.010452328249812126,0.010452328249812126
0,0,0,90,DC,West Bromwich Albion,Sheffield United,1,0,2020-11-28,14527,2020,429952,0,0,0,0,0,0.38977792859077454,0.38977792859077454
0,0,0,90,DC,Sheffield United,West Ham,0,1,2020-11-22,14522,2020,428523,0.06658007949590683,0,1,0,0,0.08711616694927216,0.020536093041300774
0,0,0,90,DC,Chelsea,Sheffield United,4,1,2020-11-07,14507,2020,426501,0,0,0,0,0,0,0
0,0,0,90,DC,Sheffield United,Manchester City,0,1,2020-10-31,14502,2020,424224,0,0,0,0,0,0.5717115998268127,0.5717115998268127
0,1,0.01517111249268055,90,DC,Liverpool,Sheffield United,2,1,2020-10-24,14490,2020,423225,0,0,0,0,0.01517111249268055,0.17061497271060944,0.17061497271060944
0,0,0,90,DC,Sheffield United,Fulham,1,1,2020-10-18,14482,2020,421663,0,0,0,0,0,0.42931506037712097,0.42931506037712097
0,0,0,90,DC,Arsenal,Sheffield United,2,1,2020-10-04,14465,2020,420299,0,0,0,0,0,0.007857529446482658,0.007857529446482658
0,0,0,11,DC,Aston Villa,Sheffield United,1,0,2020-09-21,14104,2020,416904,0,0,0,0,0,0,0
0,1,0.03902285918593407,90,DC,Sheffield United,Wolverhampton Wanderers,0,2,2020-09-14,14094,2020,415301,0,0,0,0,0.03902285918593407,0.047630708664655685,0.047630708664655685
0,0,0,90,DC,Southampton,Sheffield United,3,1,2020-07-26,12015,2019,411428,0,0,0,0,0,0.39232128858566284,0.39232128858566284
0,1,0.030067913234233856,90,DC,Sheffield United,Everton,0,1,2020-07-20,12009,2019,410364,0,0,0,0,0.030067913234233856,0.20436441898345947,0.17429649829864502
0,2,0.1098397970199585,90,DC,Leicester,Sheffield United,2,0,2020-07-16,11998,2019,409127,0.45159250497817993,0,1,0,0.1098397970199585,0,0
0,1,0.07922803610563278,90,DC,Sheffield United,Chelsea,3,0,2020-07-11,11989,2019,407504,0,0,0,0,0.07922803610563278,0.12880325317382812,0.12880325317382812
1,1,0.055866897106170654,90,DC,Sheffield United,Wolverhampton Wanderers,1,0,2020-07-08,11980,2019,406541,0,0,0,1,0.055866897106170654,0,0
1,3,0.9394257664680481,90,DC,Burnley,Sheffield United,1,1,2020-07-05,11963,2019,405558,0,0,0,1,0.9394257664680481,0,0
0,0,0,90,DC,Sheffield United,Tottenham,3,1,2020-07-02,11960,2019,404811,0,0,0,0,0,0,0
0,1,0.017728522419929504,51,DC,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401618,0,0,0,0,0.017728522419929504,0.07149442285299301,0.07149442285299301
0,1,0.04686938598752022,90,DC,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400338,0,0,0,0,0.04686938598752022,0.04686938598752022,0
0,1,0.08580589294433594,90,DC,Sheffield United,Norwich,1,0,2020-03-07,11929,2019,387671,0,0,0,0,0.08580589294433594,0,0
0,1,0.029292920604348183,90,DC,Sheffield United,Brighton,1,1,2020-02-22,11909,2019,387153,0,0,0,0,0.029292920604348183,0.12121526151895523,0.12121526151895523
0,2,0.17306745052337646,90,DC,Sheffield United,Bournemouth,2,1,2020-02-09,11900,2019,386906,0,0,0,0,0.17306745052337646,0.05298886075615883,0
0,1,0.1321793794631958,90,DC,Crystal Palace,Sheffield United,0,1,2020-02-01,11885,2019,386703,0,0,0,0,0.1321793794631958,0,0
0,1,0.07646108418703079,90,DC,Sheffield United,Manchester City,0,1,2020-01-21,11875,2019,386363,0,0,0,0,0.07646108418703079,0,0
0,0,0,90,DC,Arsenal,Sheffield United,1,1,2020-01-18,11863,2019,386157,0,0,0,0,0,0,0
0,1,0.4768295884132385,90,DC,Sheffield United,West Ham,1,0,2020-01-10,11855,2019,385741,0,0,0,0,0.4768295884132385,0,0
0,0,0,90,DC,Liverpool,Sheffield United,2,0,2020-01-02,11847,2019,385727,0,0,0,0,0,0,0
0,1,0.05156528577208519,90,DC,Manchester City,Sheffield United,2,0,2019-12-29,11837,2019,372934,0,0,0,0,0.05156528577208519,0.3287959098815918,0.3287959098815918
0,4,0.22496874630451202,90,DC,Sheffield United,Watford,1,1,2019-12-26,11830,2019,372562,0,0,0,0,0.22496874630451202,0.03136293217539787,0.03136293217539787
0,1,0.035866282880306244,90,DC,Brighton,Sheffield United,0,1,2019-12-21,11815,2019,371467,0,0,0,0,0.035866282880306244,0.12005231529474258,0.12005231529474258
0,0,0,90,DC,Sheffield United,Aston Villa,2,0,2019-12-14,11810,2019,369823,0,0,0,0,0,0,0
0,0,0,90,DC,Norwich,Sheffield United,1,2,2019-12-08,11799,2019,369009,0,0,0,0,0,0,0
0,2,0.04028064385056496,90,DC,Sheffield United,Newcastle United,0,2,2019-12-05,11786,2019,367803,0,0,0,0,0.04028064385056496,0.17843639850616455,0.17843639850616455
0,0,0,90,DC,Wolverhampton Wanderers,Sheffield United,1,1,2019-12-01,11780,2019,366770,0,0,0,0,0,0.07291794568300247,0.07291794568300247
0,0,0,90,DC,Tottenham,Sheffield United,1,1,2019-11-09,11759,2019,363149,0,0,0,0,0,0.0398586206138134,0.0398586206138134
0,0,0,82,DC,Sheffield United,Burnley,3,0,2019-11-02,11750,2019,361637,0,0,0,0,0,0.781830370426178,0.781830370426178
0,0,0,90,DC,West Ham,Sheffield United,1,1,2019-10-26,11742,2019,359406,0,0,0,0,0,0.08887852728366852,0.08887852728366852
0,1,0.04990310221910477,90,DC,Sheffield United,Arsenal,1,0,2019-10-21,11730,2019,358949,0,0,0,0,0.04990310221910477,0,0
0,1,0.03146170452237129,90,DC,Watford,Sheffield United,0,0,2019-10-05,11719,2019,356262,0,0,0,0,0.03146170452237129,0.1047380194067955,0.1047380194067955
0,0,0,90,DC,Sheffield United,Liverpool,0,1,2019-09-28,11703,2019,354332,0,0,0,0,0,0.42813047766685486,0.42813047766685486
0,0,0,90,DC,Everton,Sheffield United,0,2,2019-09-21,11698,2019,352228,0,0,0,0,0,0,0
0,0,0,90,DC,Sheffield United,Southampton,0,1,2019-09-14,11686,2019,349065,0,0,0,0,0,0.28097760677337646,0.28097760677337646
0,0,0,90,DC,Chelsea,Sheffield United,2,2,2019-08-31,11675,2019,347441,0,0,0,0,0,0.415235310792923,0.415235310792923
0,0,0,90,DC,Sheffield United,Leicester,1,2,2019-08-24,11665,2019,344009,0,0,0,0,0,0,0
0,0,0,90,DC,Sheffield United,Crystal Palace,1,0,2019-08-18,11660,2019,342453,0,0,0,0,0,0,0
0,0,0,90,DC,Bournemouth,Sheffield United,1,1,2019-08-10,11645,2019,341221,0,0,0,0,0,0,0
