goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,73,ML,Manchester United,Everton,1,1,2021-10-02,16442,2021,486212,0.1898788958787918,0,2,0,0,0.2938358187675476,0.1039569228887558
0,0,0,12,Sub,Everton,Norwich,2,0,2021-09-25,16428,2021,484710,0,0,0,0,0,0,0
0,0,0,15,Sub,Aston Villa,Everton,3,0,2021-09-18,16422,2021,482386,0,0,0,0,0,0,0
0,0,0,1,Sub,Everton,Southampton,3,1,2021-08-14,16380,2021,475512,0,0,0,0,0,0,0
0,0,0,55,AML,Sheffield United,Everton,0,1,2020-12-26,14582,2020,438179,0.01913999207317829,0,1,0,0,0.05342049524188042,0.05342049524188042
0,0,0,1,Sub,Leicester,Everton,0,2,2020-12-16,14559,2020,434693,0,0,0,0,0,0,0
0,0,0,31,Sub,Southampton,Everton,2,0,2020-10-25,14492,2020,423567,0,0,0,0,0,0.13508430123329163,0.13508430123329163
0,1,0.12071122229099274,29,Sub,Everton,Bournemouth,1,3,2020-07-26,12019,2019,411333,0,0,0,0,0.12071122229099274,0.17597869038581848,0.055267468094825745
0,0,0,4,Sub,Sheffield United,Everton,0,1,2020-07-20,12009,2019,410390,0,0,0,0,0,0,0
0,0,0,26,Sub,Everton,Aston Villa,1,1,2020-07-16,11997,2019,409098,0,0,0,0,0,0.09319968521595001,0.09319968521595001
0,1,0.03667086362838745,59,MC,Wolverhampton Wanderers,Everton,3,0,2020-07-12,11992,2019,407769,0,0,0,0,0.03667086362838745,0.03667086362838745,0
0,0,0,79,ML,Everton,Southampton,1,1,2020-07-09,11978,2019,407000,0,0,0,0,0,0.04281524941325188,0.04281524941325188
0,2,0.047312017530202866,39,Sub,Tottenham,Everton,1,0,2020-07-06,11971,2019,406153,0.09559905529022217,0,2,0,0.047312017530202866,0.09059524536132812,0.02123606577515602
0,0,0,82,ML,Everton,Leicester,2,1,2020-07-01,11958,2019,404322,0.18562071025371552,1,2,0,0,0.3020371198654175,0.11641642451286316
0,0,0,1,Sub,Norwich,Everton,0,1,2020-06-24,11948,2019,402363,0,0,0,0,0,0,0
0,0,0,62,ML,Everton,Liverpool,0,0,2020-06-21,11940,2019,401759,0.05872998386621475,0,2,0,0,0.031963102519512177,0
0,0,0,14,Sub,Chelsea,Everton,4,0,2020-03-08,11925,2019,387834,0,0,0,0,0,0,0
0,2,0.12237725406885147,43,Sub,West Ham,Everton,1,1,2020-01-18,11872,2019,386089,0,0,0,0,0.12237725406885147,0.12237725406885147,0
