goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,20,Sub,Arsenal,Everton,5,1,2022-05-22,16746,2021,537852,0.01588921621441841,0,1,0,0,0.2949996590614319,0.2949996590614319
0,0,0,65,AMC,Everton,Crystal Palace,3,2,2022-05-19,16704,2021,536783,0.06269465386867523,0,2,0,0,0.12655462324619293,0.0638599693775177
0,1,0.3602771759033203,76,FWR,Everton,Brentford,2,3,2022-05-15,16744,2021,536232,0.09379615634679794,0,2,0,0.3602771759033203,0.3744449019432068,0
0,2,0.10681872814893723,90,MR,Watford,Everton,0,0,2022-05-11,16674,2021,534821,0,0,0,0,0.10681872814893723,0.23433785140514374,0.1275191307067871
0,1,0.12070954591035843,90,MR,Leicester,Everton,1,2,2022-05-08,16729,2021,533444,0.1712438315153122,0,2,0,0.12070954591035843,0.290248841047287,0.04566600173711777
0,3,0.19381506741046906,90,MR,Everton,Chelsea,1,0,2022-05-01,16724,2021,531049,0,0,0,0,0.19381506741046906,0.10971140116453171,0
0,1,0.04293506592512131,90,FWL,Liverpool,Everton,2,0,2022-04-24,16708,2021,529618,0,0,0,0,0.04293506592512131,0.06802298873662949,0.025087926536798477
0,0,0,90,FWR,Everton,Leicester,1,1,2022-04-20,16547,2021,527866,1.1280304193496704,0,4,0,0,1.0741828680038452,0.5558323264122009
1,2,0.1379743367433548,90,FWR,Everton,Manchester United,1,0,2022-04-09,16692,2021,524342,0.12071628123521805,0,2,1,0.1379743367433548,0.1379743367433548,0
0,3,0.18359951674938202,76,FWR,Burnley,Everton,3,2,2022-04-06,16558,2021,524150,0.11102248728275299,0,2,0,0.18359951674938202,0.27571290731430054,0
0,0,0,10,Sub,West Ham,Everton,2,1,2022-04-03,16677,2021,523459,0,0,0,0,0,0,0
0,2,0.11075380444526672,90,AMC,Everton,Newcastle United,1,0,2022-03-17,16571,2021,520787,0.03708436340093613,0,1,0,0.11075380444526672,0.033052802085876465,0
0,0,0,90,FWR,Everton,Wolverhampton Wanderers,0,1,2022-03-13,16661,2021,519959,0.08593720197677612,0,2,0,0,0.25057536363601685,0.16463814675807953
0,1,0.04467969387769699,90,DMR,Tottenham,Everton,5,0,2022-03-07,16653,2021,518757,0.06480824947357178,0,2,0,0.04467969387769699,0.15264934301376343,0.08784109354019165
0,3,0.14814478158950806,79,AML,Everton,Manchester City,0,1,2022-02-26,16641,2021,516259,0,0,0,0,0.14814478158950806,0.09802600741386414,0
0,0,0,76,ML,Southampton,Everton,2,0,2022-02-19,16633,2021,514282,0.021953806281089783,0,1,0,0,0.021953806281089783,0
1,5,0.5439012050628662,83,MR,Everton,Leeds,3,0,2022-02-12,16619,2021,512705,0.08889227360486984,1,2,1,0.5439012050628662,0.6752771139144897,0.10264807939529419
0,2,0.05275164172053337,90,AMC,Newcastle United,Everton,3,1,2022-02-08,16612,2021,512085,0.0425403006374836,0,1,0,0.05275164172053337,0.08828229457139969,0.032131683081388474
0,1,0.048523128032684326,30,Sub,Everton,Aston Villa,0,1,2022-01-22,16600,2021,509469,0.6635270118713379,0,4,0,0.048523128032684326,0.6205419301986694,0.048616889864206314
0,1,0.1117921695113182,90,MR,Norwich,Everton,2,1,2022-01-15,16592,2021,508128,0.04039435088634491,0,1,0,0.1117921695113182,0.17119650542736053,0.059404339641332626
2,5,0.2822877764701843,90,MR,Everton,Brighton,2,3,2022-01-02,16580,2021,505572,0.02592966891825199,0,1,2,0.2822877764701843,0.3232180178165436,0.05320177972316742
0,1,0.012300534173846245,90,ML,Chelsea,Everton,1,1,2021-12-16,16543,2021,503351,0.5619036555290222,1,1,0,0.012300534173846245,0.02685575745999813,0.014555222354829311
0,1,0.3071659207344055,30,Sub,Crystal Palace,Everton,3,1,2021-12-12,16531,2021,502633,0,0,0,0,0.3071659207344055,0.39735859632492065,0.09019269049167633
0,1,0.07680100947618484,90,MR,Everton,Arsenal,2,1,2021-12-06,16517,2021,501142,0,0,0,0,0.07680100947618484,0.07680100947618484,0
0,0,0,28,Sub,Everton,Liverpool,1,4,2021-12-01,16507,2021,499359,0,0,0,0,0,0,0
0,1,0.05330641567707062,90,ML,Brentford,Everton,1,0,2021-11-28,16497,2021,497948,0,0,0,0,0.05330641567707062,0.10135883092880249,0.10135883092880249
0,1,0.06760924309492111,90,MR,Manchester City,Everton,3,0,2021-11-21,16490,2021,496374,0,0,0,0,0.06760924309492111,0.06760924309492111,0
0,2,0.0771275982260704,90,MR,Everton,Tottenham,0,0,2021-11-07,16481,2021,494590,0.11833538115024567,0,1,0,0.0771275982260704,0.3262569010257721,0.173979252576828
0,1,0.050050485879182816,10,Sub,Wolverhampton Wanderers,Everton,2,1,2021-11-01,16475,2021,493509,0,0,0,0,0.050050485879182816,0,0
0,3,0.32698917388916016,64,ML,Everton,Watford,2,5,2021-10-23,16461,2021,489973,0.1323101669549942,0,2,0,0.32698917388916016,1.2584922313690186,0.8647931218147278
0,0,0,10,Sub,Everton,West Ham,0,1,2021-10-17,16449,2021,488644,0,0,0,0,0,0,0
0,0,0,73,ML,Manchester United,Everton,1,1,2021-10-02,16442,2021,486212,0.1898788958787918,0,2,0,0,0.2938358187675476,0.1039569228887558
0,0,0,12,Sub,Everton,Norwich,2,0,2021-09-25,16428,2021,484710,0,0,0,0,0,0,0
0,0,0,15,Sub,Aston Villa,Everton,3,0,2021-09-18,16422,2021,482386,0,0,0,0,0,0,0
0,0,0,1,Sub,Everton,Southampton,3,1,2021-08-14,16380,2021,475512,0,0,0,0,0,0,0
0,0,0,55,AML,Sheffield United,Everton,0,1,2020-12-26,14582,2020,438179,0.01913999207317829,0,1,0,0,0.05342049524188042,0.05342049524188042
0,0,0,1,Sub,Leicester,Everton,0,2,2020-12-16,14559,2020,434693,0,0,0,0,0,0,0
0,0,0,31,Sub,Southampton,Everton,2,0,2020-10-25,14492,2020,423567,0,0,0,0,0,0.13508430123329163,0.13508430123329163
0,1,0.12071122229099274,29,Sub,Everton,Bournemouth,1,3,2020-07-26,12019,2019,411333,0,0,0,0,0.12071122229099274,0.17597869038581848,0.055267468094825745
0,0,0,4,Sub,Sheffield United,Everton,0,1,2020-07-20,12009,2019,410390,0,0,0,0,0,0,0
0,0,0,26,Sub,Everton,Aston Villa,1,1,2020-07-16,11997,2019,409098,0,0,0,0,0,0.09319968521595001,0.09319968521595001
0,1,0.03667086362838745,59,MC,Wolverhampton Wanderers,Everton,3,0,2020-07-12,11992,2019,407769,0,0,0,0,0.03667086362838745,0.03667086362838745,0
0,0,0,79,ML,Everton,Southampton,1,1,2020-07-09,11978,2019,407000,0,0,0,0,0,0.04281524941325188,0.04281524941325188
0,2,0.047312017530202866,39,Sub,Tottenham,Everton,1,0,2020-07-06,11971,2019,406153,0.09559905529022217,0,2,0,0.047312017530202866,0.09059524536132812,0.02123606577515602
0,0,0,82,ML,Everton,Leicester,2,1,2020-07-01,11958,2019,404322,0.18562071025371552,1,2,0,0,0.3020371198654175,0.11641642451286316
0,0,0,1,Sub,Norwich,Everton,0,1,2020-06-24,11948,2019,402363,0,0,0,0,0,0,0
0,0,0,62,ML,Everton,Liverpool,0,0,2020-06-21,11940,2019,401759,0.05872998386621475,0,2,0,0,0.031963102519512177,0
0,0,0,14,Sub,Chelsea,Everton,4,0,2020-03-08,11925,2019,387834,0,0,0,0,0,0,0
