h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.44281,1.27062,1.44281,0.509456,"{'att': 271, 'def': 29}","{'att': 292, 'def': 23}",3,6,1,3,1.4766,l,2020-09-14 19:15:00,0,0,1,0,0.9333539999999999
a,1.8766,0.520678,1.11546,0.520678,"{'att': 206, 'def': 19}","{'att': 251, 'def': 21}",3,3,3,0,2.5109,w,2020-09-20 13:00:00,1,0,0,3,0.5947819999999999
h,2.97659,1.57583,2.21546,0.814659,"{'att': 239, 'def': 36}","{'att': 267, 'def': 24}",10,6,2,3,2.3391,l,2020-09-26 11:30:00,0,0,1,0,1.4008010000000002
a,1.16568,2.34034,1.16568,2.34034,"{'att': 275, 'def': 30}","{'att': 299, 'def': 33}",7,10,2,4,0.5306,l,2020-10-03 14:00:00,0,0,1,0,-1.1746599999999998
a,1.0935,0.761169,1.0935,0.0,"{'att': 147, 'def': 23}","{'att': 299, 'def': 22}",7,1,1,1,1.5263,d,2020-10-18 13:00:00,0,1,0,1,1.0935
h,0.546807,0.295654,0.546807,0.295654,"{'att': 257, 'def': 24}","{'att': 274, 'def': 19}",4,4,1,1,1.5782999999999998,d,2020-10-26 17:30:00,0,1,0,1,0.25115300000000007
a,0.324457,1.97236,0.324457,1.21119,"{'att': 207, 'def': 14}","{'att': 287, 'def': 30}",7,3,1,2,0.19219999999999998,l,2020-11-01 19:15:00,0,0,1,0,-0.886733
h,1.59022,0.326933,1.59022,0.326933,"{'att': 221, 'def': 22}","{'att': 277, 'def': 20}",16,2,0,0,2.3829,d,2020-11-06 17:30:00,0,1,0,1,1.263287
a,1.50038,1.76514,1.50038,1.76514,"{'att': 208, 'def': 17}","{'att': 257, 'def': 14}",4,6,2,1,1.1105,w,2020-11-21 15:00:00,1,0,0,3,-0.2647599999999999
h,2.30722,0.28109,0.784881,0.28109,"{'att': 289, 'def': 23}","{'att': 207, 'def': 22}",3,1,1,1,2.8297999999999996,d,2020-11-28 12:30:00,0,1,0,1,0.5037910000000001
h,2.03376,1.34801,1.27259,0.586839,"{'att': 206, 'def': 22}","{'att': 188, 'def': 31}",9,5,1,2,1.9165999999999999,l,2020-12-07 20:00:00,0,0,1,0,0.6857510000000001
a,0.791673,1.64351,0.791673,1.64351,"{'att': 263, 'def': 28}","{'att': 248, 'def': 19}",5,11,0,3,0.6848,l,2020-12-13 19:15:00,0,0,1,0,-0.8518370000000001
a,0.462456,1.00448,0.462456,1.00448,"{'att': 203, 'def': 27}","{'att': 250, 'def': 22}",4,5,0,0,0.7453000000000001,d,2020-12-16 20:00:00,0,1,0,1,-0.5420240000000001
h,2.90097,1.03713,2.90097,1.03713,"{'att': 76, 'def': 10}","{'att': 266, 'def': 11}",14,4,1,1,2.5735,d,2020-12-20 12:00:00,0,1,0,1,1.86384
a,1.50551,1.38877,1.50551,1.38877,"{'att': 198, 'def': 19}","{'att': 333, 'def': 18}",5,6,2,2,1.4502,d,2020-12-27 14:15:00,0,1,0,1,0.11673999999999984
h,0.799368,1.31394,0.799368,1.31394,"{'att': 330, 'def': 15}","{'att': 293, 'def': 14}",6,3,0,1,0.8689,l,2020-12-29 18:00:00,0,0,1,0,-0.5145720000000001
h,2.4228,1.81856,1.66163,1.05739,"{'att': 252, 'def': 35}","{'att': 345, 'def': 14}",12,1,3,3,1.8558,d,2021-01-02 17:30:00,0,1,0,1,0.6042399999999999
a,0.177084,2.90855,0.177084,2.14738,"{'att': 370, 'def': 21}","{'att': 218, 'def': 20}",4,13,0,1,0.053899999999999997,l,2021-01-13 18:00:00,0,0,1,0,-1.970296
a,1.14424,0.245193,1.14424,0.245193,"{'att': 347, 'def': 20}","{'att': 130, 'def': 16}",11,8,1,0,2.3265000000000002,w,2021-01-16 15:00:00,1,0,0,3,0.8990469999999999
h,2.29129,0.513226,2.29129,0.513226,"{'att': 233, 'def': 34}","{'att': 154, 'def': 18}",12,2,0,0,2.6220999999999997,d,2021-01-27 19:30:00,0,1,0,1,1.778064
h,1.77386,0.372524,1.77386,0.372524,"{'att': 293, 'def': 31}","{'att': 194, 'def': 16}",21,6,1,0,2.4952,w,2021-01-31 19:15:00,1,0,0,3,1.401336
