assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,518,8,0,0,0.0,0.0,2019-08-10T11:30:00Z,0,19,0,0,0,0,1,0,67202,5,0,0.0,0,0,0,0,55,False,0
0,0,0,0,0.0,518,16,0,0,0.0,0.0,2019-08-17T16:30:00Z,0,17,0,0,0,0,2,0,84445,2,2,0.0,0,-5912,11337,17249,55,True,0
0,0,2,0,0.0,518,22,0,0,0.0,0.2,2019-08-25T13:00:00Z,1,3,0,0,0,0,3,0,76925,3,1,0.0,1,-13165,7166,20331,55,False,0
0,0,0,0,0.0,518,37,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,4,0,0,0,0,4,0,72629,0,4,0.0,0,-8399,4989,13388,55,True,0
0,0,0,0,0.0,518,46,0,0,0.0,0.0,2019-09-14T16:30:00Z,0,14,0,0,0,0,5,0,66206,2,3,0.0,0,-9076,4807,13883,54,False,0
0,0,10,0,3.1,518,57,0,0,0.9,5.6,2019-09-21T14:00:00Z,36,18,0,0,0,0,6,0,63126,0,8,0.0,1,-4547,2720,7267,54,True,0
0,0,0,0,0.0,518,65,0,0,0.0,0.0,2019-09-28T16:30:00Z,0,8,0,0,0,0,7,0,58782,3,1,0.0,0,-5145,1589,6734,53,False,0
0,0,18,0,29.8,518,75,2,0,7.1,24.2,2019-10-06T13:00:00Z,90,20,0,0,0,0,8,0,55794,2,0,17.0,0,-3584,938,4522,53,True,1
0,3,35,1,55.2,518,84,0,0,11.4,30.2,2019-10-19T16:30:00Z,90,7,0,0,0,0,9,0,57049,2,0,29.0,9,146,3169,3023,53,False,0
0,0,29,1,6.0,518,95,0,0,3.3,18.0,2019-10-26T11:30:00Z,90,2,0,0,0,0,10,0,81097,0,3,9.0,6,22502,24362,1860,53,True,0
0,0,0,0,0.0,518,107,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,16,0,0,0,0,11,0,122990,1,2,0.0,0,39676,43323,3647,53,True,0
0,0,0,0,0.0,518,114,0,0,0.0,0.0,2019-11-10T16:30:00Z,0,10,0,0,0,0,12,0,101177,1,3,0.0,0,-19920,2493,22413,53,False,0
0,0,11,0,2.8,518,127,1,0,2.1,11.8,2019-11-23T17:30:00Z,90,6,0,0,0,0,13,0,86349,1,2,6.0,2,-16641,2591,19232,53,True,0
0,0,0,0,0.0,518,136,0,0,0.0,0.0,2019-11-30T12:30:00Z,0,13,0,0,0,0,14,0,84595,2,2,0.0,0,-2771,3032,5803,53,False,0
0,0,0,0,0.0,518,142,0,0,0.0,0.0,2019-12-03T20:15:00Z,0,5,0,0,0,0,15,0,78192,4,1,0.0,0,-6546,731,7277,53,False,0
0,0,0,0,0.0,518,155,0,0,0.0,0.0,2019-12-07T17:30:00Z,0,12,0,0,0,0,16,0,70705,2,1,0.0,0,-7749,688,8437,53,True,0
0,0,0,0,0.0,518,161,0,0,0.0,0.0,2019-12-15T16:30:00Z,0,1,0,0,0,0,17,0,65926,3,0,0.0,0,-5303,825,6128,53,False,0
0,0,0,0,0.0,518,175,0,0,0.0,0.0,2019-12-21T17:30:00Z,0,9,0,0,0,0,18,0,63577,1,3,0.0,0,-2689,801,3490,53,True,0
0,0,0,0,0.0,518,190,0,0,0.0,0.0,2019-12-27T19:45:00Z,0,20,0,0,0,0,19,0,62143,2,3,0.0,0,-1933,389,2322,53,False,0
0,0,0,0,0.0,518,195,0,0,0.0,0.0,2019-12-29T18:00:00Z,0,15,0,0,0,0,20,0,61423,0,2,0.0,0,-1113,543,1656,53,True,0
0,0,15,0,28.3,518,205,1,0,3.9,10.4,2020-01-01T17:30:00Z,90,8,0,0,0,0,21,0,59729,1,2,0.0,2,-1819,431,2250,52,True,0
0,0,23,0,16.3,518,211,1,0,5.6,25.6,2020-01-12T16:30:00Z,90,2,0,0,0,0,22,0,59419,6,1,14.0,2,-661,895,1556,52,False,0
0,0,15,0,15.4,518,225,2,0,3.6,17.0,2020-01-18T15:00:00Z,90,7,0,0,0,0,23,0,60360,2,2,4.0,1,621,2041,1420,52,True,0
0,0,0,0,0.0,518,236,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,15,0,0,0,0,24,0,60912,1,0,0.0,0,248,1479,1231,52,False,0
0,0,4,0,1.6,518,248,1,0,0.5,1.6,2020-02-02T16:30:00Z,26,17,0,0,0,0,25,0,59437,0,2,2.0,1,-1472,609,2081,52,False,0
0,0,0,0,0.0,518,256,0,0,0.0,0.0,2020-02-19T19:30:00Z,0,19,0,0,0,0,26,0,59556,0,2,0.0,0,-142,935,1077,52,True,0
0,0,0,0,0.0,518,265,0,0,0.0,0.0,2020-02-22T17:30:00Z,0,9,0,0,0,0,27,0,58578,1,0,0.0,0,-1096,199,1295,52,False,0
0,0,18,0,15.0,518,287,2,0,3.9,24.0,2020-03-08T16:30:00Z,90,12,0,0,0,0,29,0,57546,0,2,0.0,0,-304,277,581,52,False,1
0,0,0,0,0.0,518,275,0,0,0.0,0.0,2020-06-17T19:15:00Z,0,1,0,0,0,0,39,0,58981,0,3,0.0,0,781,2812,2031,51,True,0
0,0,22,1,5.9,518,295,0,0,2.3,14.2,2020-06-22T19:00:00Z,90,5,0,0,0,0,39,0,58981,0,5,3.0,5,781,2812,2031,51,True,1
0,0,0,0,0.0,518,302,0,0,0.0,0.0,2020-06-25T19:15:00Z,0,6,0,0,0,0,40,0,58634,1,2,0.0,0,-544,404,948,51,False,0
0,0,3,0,0.1,518,317,0,0,0.6,5.6,2020-07-02T19:15:00Z,17,10,0,0,0,0,41,0,58136,0,4,0.0,1,-593,224,817,51,True,0
0,0,28,0,41.8,518,328,1,0,8.7,35.6,2020-07-05T18:00:00Z,90,16,0,0,0,0,42,0,58316,0,1,10.0,2,-102,511,613,51,False,0
0,0,9,0,12.9,518,337,0,0,2.3,5.0,2020-07-08T17:00:00Z,45,13,0,0,0,0,43,0,58929,0,5,5.0,1,561,1010,449,51,True,0
0,0,0,0,0.0,518,343,0,0,0.0,0.0,2020-07-11T19:00:00Z,0,4,0,0,0,0,44,0,59488,5,0,0.0,0,405,1063,658,51,False,0
0,0,0,0,0.0,518,357,0,0,0.0,0.0,2020-07-15T17:00:00Z,0,3,0,0,0,0,45,0,60984,1,2,0.0,0,555,1444,889,51,True,0
0,0,33,1,29.8,518,369,0,0,8.5,27.6,2020-07-21T17:00:00Z,90,18,0,0,0,0,46,0,59678,4,0,28.0,6,-510,528,1038,51,False,0
0,0,24,1,23.6,518,377,0,0,4.6,8.4,2020-07-26T15:00:00Z,90,14,0,0,0,0,47,0,63238,0,5,14.0,5,2569,3470,901,51,True,1
