assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,3,0,0.3,285,0.00,0.00,0.00,0.25,10,0,0,0.1,0.2,2024-08-19T19:00:00Z,11,18,0,0,0,0,1,0,17951,0,1,1,0.0,1,0,0,0,45,True,0
0,0,0,0,0.0,285,0.00,0.00,0.00,0.00,15,0,0,0.0,0.0,2024-08-24T14:00:00Z,0,9,0,0,0,0,2,0,20681,0,1,2,0.0,0,327,2329,2002,45,False,0
0,0,0,0,0.0,285,0.00,0.00,0.00,0.00,26,0,0,0.0,0.0,2024-08-31T14:00:00Z,0,2,0,0,0,0,3,0,20154,0,2,1,0.0,0,-1214,2419,3633,45,True,0
0,0,0,0,0.0,285,0.00,0.00,0.00,0.00,34,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,7,0,0,0,0,4,0,20459,0,2,2,0.0,0,-247,3019,3266,45,False,0
0,0,0,0,0.0,285,0.00,0.00,0.00,0.00,45,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,8,0,0,0,0,5,0,19781,0,1,1,0.0,0,-859,1009,1868,45,True,0
0,0,0,0,0.0,285,0.00,0.00,0.00,0.00,51,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,1,0,0,0,0,6,0,18525,0,2,4,0.0,0,-1337,855,2192,45,False,0
0,0,0,0,0.3,285,0.00,0.00,0.00,0.50,68,0,0,0.0,0.0,2024-10-05T14:00:00Z,2,3,0,0,0,0,7,0,17653,0,0,1,0.0,0,-1038,699,1737,45,True,1
0,0,0,0,0.0,285,0.00,0.00,0.00,0.00,78,0,0,0.0,0.0,2024-10-19T14:00:00Z,0,17,0,0,0,0,8,0,17869,0,3,2,0.0,0,-21,1274,1295,44,False,0
0,0,2,0,1.0,285,0.02,0.02,0.00,0.19,88,0,0,0.2,1.0,2024-10-25T19:00:00Z,16,16,0,0,0,0,9,0,21775,0,3,1,0.0,0,2953,4288,1335,44,True,1
0,0,2,0,1.1,285,0.24,0.29,0.05,0.00,93,0,0,0.7,1.8,2024-11-02T15:00:00Z,19,10,0,0,0,0,10,0,28060,0,1,1,4.0,1,5622,8109,2487,44,False,0
0,0,13,0,17.1,285,0.01,0.01,0.00,0.70,106,3,0,3.6,19.2,2024-11-10T14:00:00Z,90,14,0,0,0,0,11,0,30075,1,0,3,0.0,2,1879,5491,3612,44,False,0
0,0,9,0,4.6,285,0.01,0.01,0.00,2.75,117,2,0,0.9,4.4,2024-11-23T12:30:00Z,90,6,0,0,0,0,12,0,36479,1,2,1,0.0,1,5666,8848,3182,44,True,1
0,0,11,0,4.4,285,0.02,0.02,0.00,2.29,121,4,0,0.7,2.6,2024-11-30T15:00:00Z,63,4,0,0,0,0,13,0,40949,1,1,4,0.0,2,4580,7955,3375,44,False,0
0,0,9,0,6.0,285,0.00,0.00,0.00,3.10,137,1,0,2.3,17.4,2024-12-03T20:15:00Z,90,19,0,0,0,0,14,0,51135,1,1,3,0.0,1,9220,13117,3897,44,True,1
