assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,7,0,1,0,-4,0,0,6,0.5,0,0,22,0,0,1,2,1,0,0.2,22,0.0,0,2018-08-12T15:00:00Z,12 Aug 16:00,0,0,36,0,0,13,0,0,0,0,2,0,1,0,200168,0,0,2,2,0,5.0,1,0,0,0,95,True,0,0
0,6,0,0,0,2,0,0,5,10.6,0,0,22,0,0,14,2,1,0,1.5,547,4.2,1,2018-08-18T16:30:00Z,18 Aug 17:30,0,0,15,0,0,6,0,0,0,0,1,0,2,0,187776,0,0,0,2,3,0.0,1,-31583,6615,38198,95,False,0,0
1,17,0,0,0,13,0,1,11,22.9,1,0,22,0,0,21,0,0,0,6.7,1074,15.8,2,2018-08-25T14:00:00Z,25 Aug 15:00,0,0,45,0,0,19,0,0,0,0,0,0,3,0,142551,2,0,0,1,3,28.0,4,-49644,8917,58561,94,True,0,0
1,33,0,0,3,41,0,1,24,33.8,1,0,22,0,0,33,1,2,1,18.5,1605,60.6,3,2018-09-02T12:30:00Z,02 Sep 13:30,0,0,90,1,0,5,0,0,0,0,2,0,4,0,132534,3,0,2,3,2,91.0,12,-15607,7766,23373,94,False,1,0
1,29,0,0,0,11,0,3,23,30.2,1,0,22,0,0,46,3,1,0,8.8,2142,10.0,2,2018-09-15T14:00:00Z,15 Sep 15:00,0,0,90,1,0,15,0,0,0,0,1,0,5,0,216426,3,0,1,2,1,48.0,5,67926,91903,23977,94,False,0,0
0,27,0,0,2,33,1,3,18,3.9,0,0,22,0,0,51,4,0,1,7.1,2679,41.6,0,2018-09-23T15:00:00Z,23 Sep 16:00,0,0,90,0,0,8,0,0,0,0,3,0,6,0,248909,0,1,0,0,2,25.0,8,30296,52457,22161,94,True,1,0
1,26,1,2,0,6,1,3,18,13.3,1,0,22,0,0,61,2,0,0,5.1,3217,20.0,1,2018-09-29T14:00:00Z,29 Sep 15:00,0,0,90,1,0,18,0,0,0,0,2,0,7,0,369350,6,2,4,0,2,18.0,5,105056,118869,13813,95,True,0,0
0,25,0,0,2,58,0,1,18,4.5,1,0,22,0,0,74,2,1,2,10.4,3756,71.4,0,2018-10-07T11:00:00Z,07 Oct 12:00,0,0,79,1,0,9,0,0,0,0,7,0,8,0,478935,3,2,0,5,1,28.0,12,103368,126820,23452,95,False,1,0
0,35,0,1,0,3,0,2,27,8.7,0,0,22,0,0,81,1,1,0,8.5,4298,4.4,0,2018-10-22T19:00:00Z,22 Oct 20:00,0,0,90,2,0,11,0,0,0,0,5,0,9,0,832987,1,1,2,1,3,72.0,2,331507,352181,20674,97,True,0,0
0,29,0,0,0,5,0,1,21,15.7,1,0,22,0,0,93,1,2,0,3.6,4844,10.2,1,2018-10-28T13:30:00Z,28 Oct 13:30,0,0,90,0,0,7,0,0,0,0,5,0,10,0,908359,2,0,1,2,2,10.0,2,80343,136788,56445,98,False,0,0
0,21,0,1,1,22,0,1,17,25.2,0,0,22,0,0,101,2,1,1,17.3,5392,38.8,2,2018-11-03T17:30:00Z,03 Nov 17:30,0,0,90,0,0,12,0,0,0,0,1,0,11,0,754405,3,1,1,1,1,109.0,6,-142820,32924,175744,97,True,0,1
0,25,0,0,0,8,0,1,16,14.8,1,0,22,0,0,111,0,1,0,4.6,5942,7.6,1,2018-11-11T16:30:00Z,11 Nov 16:30,0,0,90,0,0,20,0,0,0,0,1,0,12,0,826027,2,1,0,1,1,24.0,2,53005,90725,37720,97,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,22,0,0,121,0,0,0,0.0,6494,0.0,0,2018-11-25T13:30:00Z,25 Nov 13:30,0,0,0,0,0,2,0,0,0,0,0,0,13,0,723170,0,0,0,2,1,0.0,0,-95058,30818,125876,97,False,0,0
0,8,0,0,2,31,0,0,7,4.6,1,0,22,0,0,131,0,0,1,5.2,7047,36.6,0,2018-12-02T14:05:00Z,02 Dec 14:05,0,0,45,0,1,17,0,0,0,0,0,0,14,0,545908,1,0,0,2,4,11.0,7,-179406,3925,183331,96,True,1,0
1,9,0,0,0,10,0,0,6,0.7,1,0,22,0,0,145,1,1,0,6.5,7603,37.2,0,2018-12-05T20:00:00Z,05 Dec 20:00,0,0,25,1,0,14,0,0,0,0,2,0,15,0,524253,1,0,0,2,2,27.0,4,-27113,31123,58236,96,False,0,0
0,13,0,1,0,-2,0,1,10,1.2,0,0,22,0,0,151,1,0,0,0.4,8161,0.0,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,45,1,0,10,0,0,0,0,3,0,16,0,659811,0,0,1,0,1,4.0,1,122304,150114,27810,96,True,0,0
1,15,0,0,0,10,0,0,9,26.8,0,0,22,0,0,167,0,1,0,5.2,8720,21.2,2,2018-12-16T13:30:00Z,16 Dec 13:30,0,0,45,1,1,16,0,0,0,0,2,0,17,0,615108,4,0,0,2,3,4.0,4,-37311,45520,82831,96,False,0,0
1,27,0,0,0,17,0,1,22,26.9,2,0,22,0,0,171,2,1,0,6.6,9282,25.2,2,2018-12-22T12:30:00Z,22 Dec 12:30,0,0,77,0,1,4,0,0,0,0,3,0,18,0,571396,2,0,0,1,3,14.0,5,-46569,19295,65864,96,True,0,0
1,22,1,0,1,20,0,1,17,12.3,3,0,22,0,0,181,0,1,0,6.0,9847,24.4,1,2018-12-26T17:15:00Z,26 Dec 17:15,0,0,61,0,0,3,0,0,0,0,1,0,19,0,507526,2,0,0,1,1,23.0,6,-64830,14765,79595,95,False,0,0
0,5,0,0,0,3,0,0,5,0.9,1,0,22,0,0,196,0,0,0,1.2,10415,1.4,0,2018-12-29T17:30:00Z,29 Dec 17:30,0,0,19,1,0,12,0,0,0,0,0,0,20,0,453935,0,0,0,1,5,10.0,1,-55235,15294,70529,95,False,0,0
0,24,0,1,0,22,0,1,16,11.3,1,0,22,0,0,201,0,1,1,11.7,10983,44.6,0,2019-01-01T15:00:00Z,01 Jan 15:00,0,0,74,3,0,9,0,0,0,0,2,0,21,0,426879,6,0,0,1,4,61.0,6,-31923,21267,53190,94,True,1,0
