assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,3,0,0,0,0,1,0,2562,0,0,2,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,12,0,0,0.0,0.0,2022-08-13T11:30:00Z,0,8,0,0,0,0,2,0,3511,0,1,2,0.0,0,-57,335,392,45,True,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,22,0,0,0.0,0.0,2022-08-20T14:00:00Z,0,7,0,0,0,0,3,0,3718,0,1,3,0.0,0,-179,452,631,45,False,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,32,0,0,0.0,0.0,2022-08-28T13:00:00Z,0,19,0,0,0,0,4,0,3551,0,1,0,0.0,0,-369,164,533,45,True,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,41,0,0,0.0,0.0,2022-08-31T18:30:00Z,0,1,0,0,0,0,5,0,3599,0,1,2,0.0,0,-170,211,381,45,False,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,51,0,0,0.0,0.0,2022-09-03T16:30:00Z,0,13,0,0,0,0,6,0,3313,0,1,1,0.0,0,-406,172,578,45,True,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,71,0,0,0.0,0.0,2022-09-16T19:00:00Z,0,17,0,0,0,0,8,0,2709,0,0,1,0.0,0,-136,0,136,45,True,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,85,0,0,0.0,0.0,2022-10-02T15:30:00Z,0,11,0,0,0,0,9,0,2571,0,0,0,0.0,0,-168,0,168,45,False,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2022-10-10T19:00:00Z,0,16,0,0,0,0,10,0,2432,0,1,1,0.0,0,-137,0,137,45,False,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,101,0,0,0.0,0.0,2022-10-16T13:00:00Z,0,6,0,0,0,0,11,0,2342,0,2,0,0.0,0,-92,0,92,45,True,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,116,0,0,0.0,0.0,2022-10-20T18:30:00Z,0,9,0,0,0,0,12,0,2260,0,0,3,0.0,0,-63,0,63,45,False,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,121,0,0,0.0,0.0,2022-10-23T13:00:00Z,0,4,0,0,0,0,13,0,2242,0,0,4,0.0,0,-43,0,43,45,True,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,140,0,0,0.0,0.0,2022-10-29T14:00:00Z,0,15,0,0,0,0,14,0,2188,0,0,4,0.0,0,-53,0,53,45,False,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,141,0,0,0.0,0.0,2022-11-06T14:00:00Z,0,14,0,0,0,0,15,0,2136,0,1,3,0.0,0,-53,0,53,45,True,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,152,0,0,0.0,0.0,2022-11-13T14:00:00Z,0,5,0,0,0,0,16,0,2096,0,2,1,0.0,0,-38,0,38,45,False,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,162,0,0,0.0,0.0,2022-12-26T17:30:00Z,0,12,0,0,0,0,17,0,2001,0,3,1,0.0,0,-97,0,97,45,True,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,178,0,0,0.0,0.0,2023-01-01T14:00:00Z,0,18,0,0,0,0,18,0,1977,0,2,0,0.0,0,-22,0,22,45,False,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,182,0,0,0.0,0.0,2023-01-04T20:00:00Z,0,20,0,0,0,0,19,0,1960,0,1,1,0.0,0,-20,0,20,45,True,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,191,0,0,0.0,0.0,2023-01-13T20:00:00Z,0,11,0,0,0,0,20,0,1939,0,1,2,0.0,0,-20,0,20,45,True,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,209,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,17,0,0,0,0,21,0,1920,0,1,0,0.0,0,-19,0,19,45,False,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,211,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,10,0,0,0,0,22,0,1906,0,4,2,0.0,0,-16,0,16,45,True,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,228,0,0,0.0,0.0,2023-02-12T16:30:00Z,0,13,0,0,0,0,23,0,1898,0,1,3,0.0,0,-7,0,7,45,False,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,231,0,0,0.0,0.0,2023-02-18T12:30:00Z,0,1,0,0,0,0,24,0,1893,0,4,2,0.0,0,-6,0,6,45,True,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,243,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,8,0,0,0,0,25,0,1880,0,2,0,0.0,0,-12,0,12,45,False,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,252,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,7,0,0,0,0,26,0,1873,0,0,1,0.0,0,-8,0,8,45,True,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,270,0,0,0.0,0.0,2023-03-12T14:00:00Z,0,19,0,0,0,0,27,0,1855,0,1,1,0.0,0,-19,0,19,45,False,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,272,0,0,0.0,0.0,2023-03-18T15:00:00Z,0,3,0,0,0,0,28,0,1849,0,0,3,0.0,0,-6,0,6,45,True,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,284,0,0,0.0,0.0,2023-04-01T16:30:00Z,0,6,0,0,0,0,29,0,1844,0,2,0,0.0,0,-4,0,4,45,False,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2023-04-04T18:45:00Z,0,10,0,0,0,0,29,0,1844,0,2,1,0.0,0,-4,0,4,45,False,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,291,0,0,0.0,0.0,2023-04-08T14:00:00Z,0,16,0,0,0,0,30,0,1842,0,0,2,0.0,0,-3,0,3,45,True,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,301,0,0,0.0,0.0,2023-04-15T11:30:00Z,0,15,0,0,0,0,31,0,1841,0,0,3,0.0,0,-1,0,1,45,True,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,313,0,0,0.0,0.0,2023-04-22T14:00:00Z,0,4,0,0,0,0,32,0,1837,0,1,1,0.0,0,-3,0,3,45,False,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,321,0,0,0.0,0.0,2023-04-25T18:45:00Z,0,9,0,0,0,0,33,0,1836,0,0,1,0.0,0,-2,0,2,45,True,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,339,0,0,0.0,0.0,2023-04-30T13:00:00Z,0,14,0,0,0,0,34,0,1832,0,0,1,0.0,0,-4,0,4,45,False,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,350,0,0,0.0,0.0,2023-05-06T14:00:00Z,0,20,0,0,0,0,35,0,1828,0,0,1,0.0,0,-4,0,4,45,False,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,352,0,0,0.0,0.0,2023-05-13T14:00:00Z,0,18,0,0,0,0,36,0,1826,0,1,2,0.0,0,-1,0,1,45,True,0
0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,364,0,0,0.0,0.0,2023-05-20T14:00:00Z,0,12,0,0,0,0,37,0,1827,0,1,1,0.0,0,0,0,0,45,False,0
