assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,293,0,0,6,0,0,0,0.0,293,0.0,0,2018-08-10T19:00:00Z,10 Aug 20:00,0,0,0,0,0,11,0,0,0,0,0,0,1,0,101792,0,0,0,1,2,0.0,0,0,0,0,60,True,0,0
0,59,0,0,0,13,0,4,46,19.8,1,0,293,0,0,11,0,3,0,3.7,818,17.2,1,2018-08-19T15:00:00Z,19 Aug 16:00,0,0,90,0,0,3,0,0,0,0,6,0,2,0,95357,1,0,0,2,3,0.0,1,-14541,1574,16115,60,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,293,0,0,26,0,0,0,0.0,1345,0.0,0,2018-08-27T19:00:00Z,27 Aug 20:00,0,0,0,0,0,17,0,0,0,0,0,0,3,0,88745,0,0,0,3,0,0.0,0,-10859,2172,13031,59,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,293,0,0,32,0,0,0,0.0,1876,0.0,0,2018-09-02T15:00:00Z,02 Sep 16:00,0,0,0,0,0,4,0,0,0,0,0,0,4,0,79094,0,0,0,2,0,0.0,0,-11937,1205,13142,59,False,0,0
1,53,0,0,0,23,0,5,43,45.3,1,0,293,0,0,49,2,1,0,6.6,2413,18.6,3,2018-09-15T16:30:00Z,15 Sep 17:30,0,0,90,0,0,18,0,0,0,0,5,0,5,0,71969,1,0,0,2,1,2.0,5,-8740,1062,9802,58,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,293,0,0,59,0,0,0,0.0,2950,0.0,0,2018-09-22T14:00:00Z,22 Sep 15:00,0,0,0,0,0,20,0,0,0,0,0,0,6,0,73071,0,0,0,1,1,0.0,0,-241,2593,2834,58,True,0,0
0,33,1,0,0,5,0,2,26,42.4,1,0,293,0,0,69,3,3,0,5.4,3488,11.8,3,2018-09-29T11:30:00Z,29 Sep 12:30,0,0,90,1,2,19,0,0,0,0,4,0,7,0,69097,7,0,0,1,3,0.0,0,-4486,822,5308,58,False,0,1
1,54,1,0,0,24,0,5,36,42.3,0,0,293,0,0,77,2,2,0,8.1,4027,34.6,2,2018-10-06T16:30:00Z,06 Oct 17:30,0,0,90,0,2,15,0,0,0,0,7,0,8,0,63788,0,0,0,2,3,4.0,4,-5519,262,5781,58,True,0,0
0,30,0,0,0,15,0,8,22,1.3,0,0,293,0,0,84,2,2,0,2.1,4569,15.2,0,2018-10-20T11:30:00Z,20 Oct 12:30,0,0,90,0,0,6,0,0,0,0,10,0,9,0,62481,0,3,1,2,2,4.0,0,-2065,766,2831,57,False,0,1
0,43,0,0,0,10,0,3,27,1.9,0,0,293,0,0,97,2,1,0,0.9,5115,7.2,0,2018-10-28T16:00:00Z,28 Oct 16:00,0,0,90,0,0,8,0,0,0,0,5,0,10,0,63035,0,2,0,1,2,0.0,2,-244,1396,1640,57,True,0,0
0,44,0,0,0,11,0,3,37,2.3,1,0,293,0,0,102,0,1,0,1.1,5663,7.8,0,2018-11-03T12:30:00Z,03 Nov 12:30,0,0,90,0,0,2,0,0,0,0,9,0,11,0,64432,0,0,1,2,1,1.0,1,419,2060,1641,57,False,0,1
