assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,13,0,19.9,117,0.19,0.19,0.00,0.98,10,1,0,3.1,11.4,2024-08-19T19:00:00Z,78,18,0,0,0,0,1,0,8082,1,1,1,0.0,2,0,0,0,50,True,0
1,0,19,0,38.5,117,0.19,0.19,0.00,1.74,15,2,0,6.6,25.8,2024-08-24T14:00:00Z,70,9,0,0,0,0,2,0,11229,1,1,2,2.0,5,1379,2588,1209,50,False,0
0,0,19,0,6.9,117,0.00,0.17,0.17,0.09,26,0,1,5.8,32.6,2024-08-31T14:00:00Z,22,2,0,0,0,0,3,0,16265,0,2,1,18.0,6,3328,6403,3075,50,True,0
0,0,0,0,0.0,117,0.00,0.00,0.00,0.00,34,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,7,0,0,0,0,4,0,35432,0,2,2,0.0,0,16246,24044,7798,50,False,0
0,0,-3,0,1.7,117,0.01,0.05,0.04,0.22,45,0,0,0.8,1.4,2024-09-21T14:00:00Z,34,8,0,0,0,0,5,0,32267,0,1,1,5.0,0,-2950,2982,5932,50,True,1
1,0,16,0,14.8,117,0.06,0.24,0.18,3.42,51,2,0,7.0,32.4,2024-09-28T14:00:00Z,84,1,0,0,0,0,6,0,24867,1,2,4,23.0,4,-7437,610,8047,50,False,1
0,3,40,1,16.5,117,0.15,0.45,0.30,1.66,68,0,1,9.1,44.4,2024-10-05T14:00:00Z,81,3,0,0,0,0,7,0,28397,1,0,1,30.0,11,2794,5788,2994,50,True,0
0,0,25,0,51.8,117,0.17,1.51,1.34,2.15,78,2,1,14.8,47.0,2024-10-19T14:00:00Z,90,17,0,0,0,0,8,0,106337,1,3,2,49.0,6,73258,79208,5950,50,False,1
0,0,15,0,37.6,117,0.09,0.21,0.12,1.73,88,3,0,7.5,22.6,2024-10-25T19:00:00Z,90,16,0,0,0,0,9,0,243830,1,3,1,15.0,2,132725,140312,7587,50,True,0
0,0,17,0,33.0,117,0.08,0.31,0.23,1.00,93,1,0,9.3,17.8,2024-11-02T15:00:00Z,90,10,0,0,0,0,10,0,337772,1,1,1,42.0,1,91153,110647,19494,51,False,1
0,0,6,0,50.1,117,0.38,0.38,0.00,0.70,106,3,0,6.6,13.6,2024-11-10T14:00:00Z,90,14,0,0,0,0,11,0,273372,1,0,3,2.0,1,-58284,12581,70865,51,False,1
0,0,0,0,0.0,117,0.00,0.00,0.00,0.00,117,0,0,0.0,0.0,2024-11-23T12:30:00Z,0,6,0,0,0,0,12,0,170129,0,2,1,0.0,0,-103446,1853,105299,50,True,0
0,1,32,0,10.5,117,0.02,0.80,0.78,2.29,121,4,1,8.8,41.4,2024-11-30T15:00:00Z,63,4,0,0,0,0,13,0,151331,1,1,4,36.0,8,-22162,6585,28747,50,False,0
