assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,567,0,0,34,0,0,0,0.0,2182,0.0,0,2016-09-10T16:30:00Z,10 Sep 17:30,0,0,0,0,0,9,0,0,0,0,0,0,4,0,8686,0,0,0,1,4,0.0,0,7082,8709,1627,85,False,0,0
0,29,0,1,3,53,1,1,23,7.9,1,0,567,0,0,44,1,0,2,16.2,2763,74.6,0,2016-09-17T14:00:00Z,17 Sep 15:00,0,0,90,1,0,3,0,0,0,0,7,0,5,0,8859,2,0,0,0,3,79.0,13,-573,1807,2380,85,True,1,0
0,34,0,0,0,8,0,0,23,17.6,1,0,567,0,0,54,1,4,0,3.2,3347,4.8,1,2016-09-24T11:30:00Z,24 Sep 12:30,0,0,90,0,0,11,0,0,0,0,5,0,6,0,69394,2,1,0,1,4,10.0,2,52552,59613,7061,85,False,0,0
0,18,0,0,0,1,1,0,12,11.8,1,0,567,0,0,64,1,0,0,4.3,3933,0.0,1,2016-10-02T13:15:00Z,02 Oct 14:15,0,0,77,0,0,13,0,0,0,0,4,0,7,0,79264,6,0,1,0,0,31.0,2,7284,20268,12984,85,True,0,0
0,7,0,0,0,1,0,0,3,0.3,0,0,567,0,0,73,1,1,0,0.2,4522,0.0,0,2016-10-15T11:30:00Z,15 Oct 12:30,0,0,24,0,0,4,0,0,0,0,1,0,8,0,74913,1,0,0,0,3,4.0,1,-7570,7657,15227,86,False,0,0
1,27,0,1,0,10,1,0,15,23.8,1,0,567,0,0,86,0,0,0,6.7,5114,14.0,1,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,74,1,0,5,0,0,0,0,2,0,9,0,70477,1,1,4,1,3,29.0,5,-5626,9727,15353,85,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,567,0,0,98,0,0,0,0.0,5708,0.0,0,2016-10-29T14:00:00Z,29 Oct 15:00,0,0,0,0,0,17,0,0,0,0,0,0,10,0,66349,0,0,0,1,1,0.0,0,-5389,5234,10623,85,False,0,0
0,26,0,0,1,31,0,2,20,10.6,1,0,567,0,0,106,0,2,1,9.0,6306,36.4,0,2016-11-06T16:30:00Z,06 Nov 16:30,0,0,90,1,0,19,0,0,0,0,1,0,11,0,41899,0,0,0,2,1,43.0,7,-24743,816,25559,83,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,567,0,0,119,0,0,0,0.0,6905,0.0,0,2016-11-19T15:00:00Z,19 Nov 15:00,0,0,0,0,0,18,0,0,0,0,0,0,12,0,44698,0,0,0,1,2,0.0,0,1423,6219,4796,83,False,0,0
0,6,0,0,0,24,0,0,5,2.0,0,0,567,0,0,125,1,1,1,5.0,7506,31.4,0,2016-11-26T15:00:00Z,26 Nov 15:00,0,0,26,1,0,12,0,0,0,0,1,0,13,0,36304,1,0,0,2,2,17.0,5,-8569,399,8968,83,True,0,0
