assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,91,0,0,10,0,0,0,0.0,91,0.0,0,2016-08-15T19:00:00Z,15 Aug 20:00,0,0,0,0,0,20,0,0,0,0,0,0,1,0,2444,0,0,0,1,2,0.0,0,0,0,0,55,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,91,0,0,17,0,0,0,0.0,616,0.0,0,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,0,0,0,18,0,0,0,0,0,0,2,0,2342,0,0,0,2,1,0.0,0,-555,51,606,54,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,91,0,0,21,0,0,0,0.0,1156,0.0,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1692,0,0,0,0,3,0.0,0,-750,20,770,54,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,91,0,0,39,0,0,0,0.0,1706,0.0,0,2016-09-11T15:00:00Z,11 Sep 16:00,0,0,0,0,0,16,0,0,0,0,0,0,4,0,1279,0,0,0,2,2,0.0,0,-421,3,424,54,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,91,0,0,41,0,0,0,0.0,2287,0.0,0,2016-09-16T19:00:00Z,16 Sep 20:00,0,0,0,0,0,9,0,0,0,0,0,0,5,0,1153,0,0,0,2,1,0.0,0,-127,0,127,54,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,91,0,0,51,0,0,0,0.0,2871,0.0,0,2016-09-24T16:30:00Z,24 Sep 17:30,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1066,0,0,0,0,3,0.0,0,-87,0,87,54,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,91,0,0,63,0,0,0,0.0,3457,0.0,0,2016-10-01T14:00:00Z,01 Oct 15:00,0,0,0,0,0,7,0,0,0,0,0,0,7,0,1057,0,0,0,2,0,0.0,0,-34,4,38,54,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,91,0,0,73,0,0,0,0.0,4046,0.0,0,2016-10-15T11:30:00Z,15 Oct 12:30,0,0,0,0,0,8,0,0,0,0,0,0,8,0,1029,0,0,0,0,3,0.0,0,-35,8,43,54,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,91,0,0,84,0,0,0,0.0,4638,0.0,0,2016-10-23T15:00:00Z,23 Oct 16:00,0,0,0,0,0,11,0,0,0,0,0,0,9,0,1008,0,0,0,0,4,0.0,0,-28,1,29,54,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,91,0,0,95,0,0,0,0.0,5232,0.0,0,2016-10-30T16:00:00Z,30 Oct 16:00,0,0,0,0,0,13,0,0,0,0,0,0,10,0,998,0,0,0,2,0,0.0,0,-13,6,19,54,False,0,0
