assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,8,0,0,301,0,0,0,0.0,17875,0.0,0,2017-04-05T18:45:00Z,05 Apr 19:45,0,0,0,0,0,20,0,0,0,0,0,0,31,0,9662,0,0,0,0,3,0.0,0,-5,5,10,46,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,8,0,0,312,0,0,0,0.0,18536,0.0,0,2017-04-10T19:00:00Z,10 Apr 20:00,0,0,0,0,0,5,0,0,0,0,0,0,32,0,9680,0,0,0,0,3,0.0,0,2,25,23,46,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,8,0,0,324,0,0,0,0.0,19198,0.0,0,2017-04-17T19:00:00Z,17 Apr 20:00,0,0,0,0,0,12,0,0,0,0,0,0,33,0,9730,0,0,0,2,1,0.0,0,-10,17,27,46,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,8,0,0,271,0,0,0,0.0,19861,0.0,0,2017-04-26T18:45:00Z,26 Apr 19:45,0,0,0,0,0,8,0,0,0,0,0,0,34,0,9807,0,0,0,0,1,0.0,0,-1,22,23,46,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,8,0,0,348,0,0,0,0.0,20601,0.0,0,2017-04-30T15:30:00Z,30 Apr 16:30,0,0,0,0,0,17,0,0,0,0,0,0,35,0,9848,0,0,0,0,2,0.0,0,2,25,23,46,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,8,0,0,351,0,0,0,0.0,21277,0.0,0,2017-05-07T15:00:00Z,07 May 16:00,0,0,0,0,0,11,0,0,0,0,0,0,36,0,9890,0,0,0,0,2,0.0,0,1,33,32,46,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,8,0,0,257,0,0,0,0.0,21276,0.0,0,2017-05-10T18:45:00Z,10 May 19:45,0,0,0,0,0,13,0,0,0,0,0,0,36,0,9890,0,0,0,2,0,0.0,0,1,33,32,46,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,8,0,0,366,0,0,0,0.0,22013,0.0,0,2017-05-13T16:30:00Z,13 May 17:30,0,0,0,0,0,14,0,0,0,0,0,0,37,0,9945,0,0,0,4,1,0.0,0,19,35,16,46,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,8,0,0,331,0,0,0,0.0,22012,0.0,0,2017-05-16T18:45:00Z,16 May 19:45,0,0,0,0,0,15,0,0,0,0,0,0,37,0,9945,0,0,0,0,2,0.0,0,19,35,16,46,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,8,0,0,371,0,0,0,0.0,23013,0.0,0,2017-05-21T14:00:00Z,21 May 15:00,0,0,0,0,0,6,0,0,0,0,0,0,38,0,10007,0,0,0,1,3,0.0,0,27,57,30,46,True,0,0
