assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0,1.8,36,0.00,0.74,0.74,2.80,6,4,0,1.7,3.8,2023-08-12T16:30:00Z,86,15,0,0,0,0,1,0,626098,1,1,5,11.0,-1,0,0,0,45,False,1
0,0,27,1,16.3,36,0.27,0.27,0.00,0.68,11,0,0,4.1,24.4,2023-08-20T13:00:00Z,90,9,0,0,0,0,2,0,696141,1,0,4,0.0,6,21738,65696,43958,45,True,0
0,3,45,0,3.7,36,0.02,1.37,1.35,0.73,25,1,2,16.5,80.6,2023-08-27T13:00:00Z,90,6,0,0,0,0,3,0,738209,1,3,1,81.0,17,22772,67447,44675,45,False,0
0,0,0,0,0.7,36,0.00,0.06,0.06,2.47,37,3,0,5.7,8.6,2023-09-03T13:00:00Z,90,11,1,0,0,0,4,0,1264751,1,0,3,48.0,-1,450873,501144,50271,46,False,0
0,0,6,0,10.1,36,0.04,0.72,0.68,1.17,41,1,0,4.3,14.8,2023-09-16T14:00:00Z,90,8,0,0,0,0,5,0,1639965,1,1,3,18.0,1,322364,397796,75432,47,True,1
0,0,26,1,2.0,36,0.01,0.07,0.06,1.35,55,0,0,4.6,12.6,2023-09-24T13:00:00Z,90,7,0,0,0,0,6,0,1701438,1,1,0,31.0,6,60222,154343,94121,47,False,0
1,1,26,0,10.9,36,0.48,0.48,0.00,1.71,61,1,0,5.5,38.2,2023-09-30T11:30:00Z,90,5,0,0,0,0,7,0,2006160,1,1,6,6.0,6,286632,349992,63360,48,True,0
0,0,6,0,1.0,36,0.01,0.24,0.23,1.05,80,1,0,3.7,9.6,2023-10-08T13:00:00Z,81,20,0,0,0,0,8,0,3083294,1,1,1,26.0,2,1019073,1059823,40750,50,False,0
0,0,14,0,3.3,36,0.01,0.01,0.00,1.15,81,1,0,3.0,24.6,2023-10-22T15:30:00Z,90,19,0,0,0,0,9,0,3336489,1,1,4,2.0,2,278997,335065,56068,51,True,0
0,0,26,1,23.1,36,0.32,0.32,0.00,0.11,92,0,0,3.5,9.8,2023-10-29T14:00:00Z,78,12,0,0,0,0,10,0,3540530,1,1,3,2.0,5,190665,259661,68996,51,True,1
0,0,12,0,18.8,36,0.15,0.30,0.15,0.41,108,2,0,2.9,5.2,2023-11-05T14:00:00Z,58,16,0,0,0,0,11,0,3628434,1,0,2,5.0,0,81517,134967,53450,52,False,0
0,0,13,0,0.7,36,0.00,0.16,0.16,0.93,112,1,0,4.8,13.2,2023-11-12T14:00:00Z,90,10,0,0,0,0,12,0,3486050,1,1,3,34.0,2,-131201,65656,196857,52,True,0
0,0,-1,0,0.3,36,0.00,0.09,0.09,1.18,130,1,0,0.3,0.0,2023-11-26T14:00:00Z,45,18,0,0,0,0,13,0,3121030,1,2,1,4.0,0,-346863,39319,386182,51,False,1
