name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Alex Scott,MID,Bournemouth,1.6,0,0,11,0,12.8,77,0.01,0.01,0.00,1.02,6,1,0,3.6,22.8,2024-08-17T14:00:00Z,62,16,0,0,0,0,1,0,4339,1,1,1,0.0,2,0,0,0,50,False,0,1
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,2.2,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,3,0,0,0,0,1,0,33324,0,1,1,0.0,0,0,0,0,45,True,0,1
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,20,0,0,0,0,1,0,8462,0,0,2,0.0,0,0,0,0,50,True,0,1
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2024-08-18T13:00:00Z,0,4,0,0,0,0,1,0,716,0,1,2,0.0,0,0,0,0,45,False,0,1
Ben Brereton Díaz,MID,Southampton,1.0,0,0,-2,0,14.0,584,0.02,0.32,0.30,0.25,5,1,0,3.3,2.6,2024-08-17T14:00:00Z,70,15,0,0,0,0,1,0,66244,1,0,1,16.0,1,0,0,0,55,False,1,1
Pau Torres,DEF,Aston Villa,1.9,0,0,17,0,1.9,52,0.01,0.01,0.00,2.46,7,1,0,3.1,29.2,2024-08-17T16:30:00Z,90,19,0,0,0,0,1,0,122710,1,2,1,0.0,2,0,0,0,45,False,0,1
Joel Ward,DEF,Crystal Palace,1.9,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2024-08-18T13:00:00Z,0,4,0,0,0,0,1,0,12469,0,1,2,0.0,0,0,0,0,45,False,0,1
Will Lankshear,FWD,Spurs,1.5,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2024-08-19T19:00:00Z,0,11,0,0,0,0,1,0,17747,0,1,1,0.0,0,0,0,0,45,False,0,1
Hwang Hee-chan,MID,Wolves,1.3,0,0,14,0,16.3,550,0.11,0.11,0.00,1.24,2,2,0,2.6,6.0,2024-08-17T14:00:00Z,90,1,0,0,0,0,1,0,83019,1,0,2,4.0,2,0,0,0,65,False,0,1
Mikey Moore,MID,Spurs,1.5,0,0,0,0,0.0,610,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2024-08-19T19:00:00Z,0,11,0,0,0,0,1,0,8413,0,1,1,0.0,0,0,0,0,45,False,0,1
