assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,7,1,3.2,28,0.08101,0.22641,0.14540,1.21190,1,0,0,4.9,7.4,2022-08-05T19:00:00Z,82,7,0,0,0,0,1,0,6018571,1,2,0,38.0,2,0,0,0,80,False,0
2,3,65,0,33.7,28,0.05486,1.96766,1.91280,0.33060,11,2,2,23.7,98.6,2022-08-13T14:00:00Z,83,10,0,0,0,0,2,0,6211795,1,2,4,105.0,19,-265945,105825,371770,80,True,0
1,0,15,1,23.1,28,0.02738,0.09028,0.06290,0.28090,21,0,0,10.3,25.6,2022-08-20T16:30:00Z,90,3,0,0,0,0,3,0,7496318,1,3,0,54.0,4,853585,882488,28903,81,False,1
0,0,0,0,27.6,28,0.14008,0.45078,0.31070,0.73840,31,1,0,11.5,8.2,2022-08-27T16:30:00Z,88,9,0,0,0,0,4,0,7962228,1,1,2,79.0,1,237640,268237,30597,82,True,1
0,0,19,0,12.3,28,0.08804,0.98434,0.89630,0.45140,41,1,1,14.2,37.8,2022-08-31T18:30:00Z,87,2,0,0,0,0,5,0,8026017,1,1,2,92.0,6,-70519,106179,176698,82,True,0
0,0,5,0,54.7,28,0.35324,0.41384,0.06060,1.55190,56,3,0,8.8,11.0,2022-09-04T15:30:00Z,90,14,0,0,0,0,6,0,8025951,1,1,3,22.0,1,-129699,102712,232411,82,False,1
0,1,30,1,4.5,28,0.02897,0.85567,0.82670,0.53270,72,0,1,12.5,43.6,2022-09-18T11:00:00Z,90,4,0,0,0,0,8,0,7527911,1,3,0,77.0,6,-339612,38460,378072,81,False,1
0,2,29,0,12.9,28,0.03124,1.44914,1.41790,1.57420,81,1,1,14.8,46.2,2022-10-01T11:30:00Z,79,18,0,0,0,0,9,0,7253158,1,1,3,89.0,8,-429297,67507,496804,80,True,0
1,0,12,0,2.6,28,0.06403,0.34913,0.28510,1.01220,91,2,0,6.2,7.4,2022-10-09T15:30:00Z,90,12,0,0,0,0,10,0,7286361,1,2,3,52.0,5,-21252,169445,190697,80,True,0
0,0,2,1,23.5,28,0.01534,0.08414,0.06880,1.71770,104,0,0,4.1,6.0,2022-10-16T13:00:00Z,81,11,0,0,0,0,11,0,7324047,1,1,0,11.0,2,2100,133178,131078,80,False,0
0,0,-7,0,4.4,28,0.08667,0.43117,0.34450,0.67380,127,1,0,6.9,12.0,2022-10-23T13:00:00Z,90,17,0,0,0,0,13,0,6433484,1,1,1,53.0,2,10073,184807,174734,80,False,0
2,1,31,1,45.5,28,0.57569,1.24559,0.66990,0.43140,131,0,0,20.4,51.6,2022-10-30T14:00:00Z,90,16,0,0,0,0,14,0,6337194,1,0,5,107.0,9,-110733,148650,259383,80,True,0
0,0,2,1,23.8,28,0.03990,0.58540,0.54550,0.29150,142,0,0,9.1,16.4,2022-11-06T12:00:00Z,90,6,0,0,0,0,15,0,6420680,1,1,0,51.0,2,59645,243765,184120,80,False,0
0,0,9,1,9.3,28,0.13672,0.48932,0.35260,0.67930,160,0,0,7.0,6.2,2022-11-12T19:45:00Z,90,20,0,0,0,0,16,0,6357613,1,2,0,54.0,2,-71731,202097,273828,80,False,0
0,0,0,0,0.0,28,0.00000,0.00000,0.00000,0.00000,161,0,0,0.0,0.0,2022-12-26T20:00:00Z,0,19,0,0,0,0,17,0,4183468,0,1,3,0.0,0,-2180978,52641,2233619,80,True,0
0,0,0,0,0.0,28,0.00000,0.00000,0.00000,0.00000,172,0,0,0.0,0.0,2022-12-31T17:30:00Z,0,5,0,0,0,0,18,0,3575324,0,4,2,0.0,0,-616984,873,617857,80,False,0
0,0,0,0,0.0,28,0.00000,0.00000,0.00000,0.00000,181,0,0,0.0,0.0,2023-01-03T19:45:00Z,0,15,0,0,0,0,19,0,3388877,0,0,0,0.0,0,-190663,699,191362,80,True,0
0,0,0,0,0.0,28,0.00000,0.00000,0.00000,0.00000,199,0,0,0.0,0.0,2023-01-15T16:30:00Z,0,18,0,0,0,0,20,0,3187556,0,2,0,0.0,0,-200638,969,201607,79,False,0
