assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,3,130,100,100,1,11334,0,0,-2,2,0.0,0,0,1,1.0,-0.5,0,Petr,0.0,9,0,20.4,1,False,205.0,0,0,0,0,585,,2018-09-29T17:31:14Z,48,0,0,0,11334.jpg,3.4,0,27,Cech,1.2,False,1,a,1,3,0.0,24,80399,119,125568,863,0.0,5.0,Cech,0
0,2,224,None,None,1,80201,0,0,-2,2,0.0,0,0,1,3.6,2.1,1,Bernd,2.6,21,0,30.8,2,False,307.8,0,0,0,0,1215,,None,48,0,0,0,80201.jpg,2.6,0,42,Leno,2.2,False,19,a,1,3,0.0,36,105393,4440,120372,3952,0.5,7.5,Leno,0
0,0,38,100,75,0,51507,0,0,-1,1,1.2,0,0,2,1.4,-0.1,1,Laurent,0.4,5,0,6.4,3,False,53.2,0,0,0,0,204,,2018-12-29T16:31:16Z,54,0,0,0,51507.jpg,1.0,0,0,Koscielny,0.2,False,6,a,1,3,9.0,3,8599,517,9794,357,0.1,0.6,Koscielny,1
4,3,261,75,75,3,98745,0,0,-1,1,181.5,0,0,2,1.5,0.4,0,Héctor,1.0,21,0,67.4,4,False,220.4,0,0,0,0,1440,Calf injury - 75% chance of playing,2018-12-16T16:01:16Z,54,1,0,0,98745.jpg,2.8,0,0,Bellerín,6.3,False,2,d,1,3,274.0,48,558244,391,1029282,9321,0.2,8.9,Bellerín,3
2,3,166,75,75,2,38411,0,0,-1,1,103.1,1,0,2,1.5,0.4,0,Nacho,1.0,11,1,46.4,5,False,198.4,0,0,0,0,780,Muscle injury - 75% chance of playing,2018-12-22T14:31:17Z,54,0,0,0,38411.jpg,3.7,0,0,Monreal,0.9,False,18,d,1,3,163.0,37,208187,57,224270,2219,0.2,6.9,Monreal,1
0,5,148,0,0,1,156074,0,0,-1,1,28.7,0,0,2,0.0,0.0,0,Rob,0.3,10,0,23.2,6,False,187.8,0,0,0,0,806,Anterior cruciate ligament  - Expected back 05 Jun,2018-12-05T23:01:16Z,44,0,0,0,156074.jpg,2.4,0,0,Holding,0.5,False,16,i,1,3,14.0,24,39433,33,56871,505,0.1,5.5,Holding,1
0,2,277,100,75,3,69140,0,0,-1,1,50.1,0,0,2,2.6,0.8,-1,Shkodran,1.6,24,2,65.3,7,False,436.2,0,0,0,0,1440,,2018-12-29T16:31:16Z,54,0,0,0,69140.jpg,2.7,0,0,Mustafi,1.1,False,20,a,1,3,165.0,46,79245,1573,111703,1008,0.3,8.5,Mustafi,5
3,6,150,100,100,1,111457,-1,1,-1,1,193.7,0,0,2,3.4,1.9,0,Sead,2.4,14,0,37.7,8,False,108.8,0,0,0,0,775,,2018-12-22T12:31:16Z,49,0,0,0,111457.jpg,3.6,0,0,Kolasinac,3.8,False,31,a,1,3,78.0,32,338505,7152,160135,11679,0.5,6.4,Kolasinac,1
0,0,0,0,0,0,233963,0,0,-3,3,0.0,0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,10,False,0.0,0,0,0,0,0,Groin Injury - Expected back 01 Jan,2018-09-25T09:01:13Z,47,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.1,False,27,i,1,3,0.0,0,1187,12,9518,49,0.0,0.0,Mavropanos,0
0,0,58,100,100,0,27335,0,0,-5,5,40.0,0,0,2,1.7,0.2,0,Stephan,0.7,13,0,12.5,11,False,69.2,0,0,0,0,565,,2018-12-16T16:01:16Z,45,0,0,0,27335.jpg,0.9,0,0,Lichtsteiner,0.9,False,12,a,1,3,15.0,8,21377,844,105324,767,0.2,1.8,Lichtsteiner,2
