assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,3,130,100,100,1,11334,0,0,-1,1,0.0,0,0,1,1.0,0.0,0,Petr,0.0,9,0,20.4,1,False,205.0,0,0,0,0,585,,2018-09-29T17:31:14Z,49,0,0,0,11334.jpg,3.4,0,27,Cech,1.4,False,1,a,1,3,0.0,24,78797,133,115961,521,0.0,4.9,Cech,0
0,1,140,None,None,0,80201,0,0,-2,2,0.0,0,0,1,3.8,2.8,2,Bernd,2.8,11,0,20.8,2,False,207.8,0,0,0,0,765,,None,48,0,0,0,80201.jpg,2.4,0,30,Leno,1.8,False,19,a,1,3,0.0,22,52480,3328,86645,614,0.6,4.6,Leno,0
0,0,0,75,75,0,51507,0,0,-1,1,0.0,0,0,2,0.8,0.0,0,Laurent,0.0,0,0,0.0,3,False,0.0,0,0,0,0,0,Lack of match fitness - 75% chance of playing,2018-07-05T14:31:07Z,54,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,6,d,1,3,0.0,0,738,43,4345,26,0.0,0.0,Koscielny,0
4,3,237,100,100,2,98745,0,0,-1,1,172.9,0,0,2,2.0,1.0,0,Héctor,1.0,19,0,66.1,4,False,218.4,0,0,0,0,1305,,2018-11-03T16:31:13Z,54,1,0,0,98745.jpg,2.8,0,0,Bellerín,10.7,False,2,a,1,3,271.0,42,405874,19259,619170,4002,0.2,7.8,Bellerín,3
1,2,124,75,75,2,38411,0,0,-1,1,75.1,1,0,2,0.8,0.0,0,Nacho,0.0,8,1,38.5,5,False,149.2,0,0,0,0,630,Hamstring injury - 75% chance of playing,2018-10-22T19:31:15Z,54,0,0,0,38411.jpg,4.3,0,0,Monreal,0.9,False,18,d,1,3,161.0,30,154222,51,173767,650,0.0,5.6,Monreal,1
0,5,148,25,None,1,156074,0,0,-1,1,28.7,0,0,2,0.6,1.5,1,Rob,1.5,10,0,23.2,6,False,187.8,0,0,0,0,806,Knee injury - 25% chance of playing,2018-12-05T23:01:16Z,44,0,0,0,156074.jpg,2.4,0,0,Holding,0.9,False,16,d,1,3,14.0,24,39106,1975,30409,1596,0.3,5.5,Holding,1
0,2,256,None,None,2,69140,0,0,-1,1,49.5,0,0,2,3.8,2.8,7,Shkodran,2.8,20,2,64.3,7,False,427.0,0,0,0,0,1330,,None,54,0,0,0,69140.jpg,2.8,0,0,Mustafi,1.4,False,20,a,1,3,165.0,42,47739,5469,60532,382,0.5,7.8,Mustafi,4
2,3,85,100,100,0,111457,0,0,-1,1,149.3,0,0,2,4.8,3.8,1,Sead,3.8,7,0,27.4,8,False,65.0,0,0,0,0,425,,2018-11-03T16:31:13Z,49,0,0,0,111457.jpg,3.4,0,0,Kolasinac,0.9,False,31,a,1,3,62.0,17,37561,13415,24789,403,0.8,3.5,Kolasinac,0
0,0,0,0,0,0,233963,0,0,-3,3,0.0,0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,10,False,0.0,0,0,0,0,0,Groin Injury - Expected back 08 Dec,2018-09-25T09:01:13Z,47,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.1,False,27,i,1,3,0.0,0,1070,10,9079,27,0.0,0.0,Mavropanos,0
0,0,13,100,100,0,27335,0,0,-5,5,20.6,0,0,2,1.3,0.3,1,Stephan,0.3,4,0,5.4,11,False,30.8,0,0,0,0,214,,2018-11-08T23:01:14Z,45,0,0,0,27335.jpg,1.0,0,0,Lichtsteiner,0.9,False,12,a,1,3,3.0,4,12390,203,98072,157,0.1,0.9,Lichtsteiner,1
