assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,3,130,100,100,1,11334,0,0,0,0,0.0,0,0,1,-0.5,0.5,0,Petr,0.0,9,0,20.4,1,False,205.0,0,0,0,0,585,,2018-09-29T17:31:14Z,50,0,0,0,11334.jpg,3.4,0,27,Cech,1.5,False,1,a,1,3,0.0,24,76882,517,104383,3322,0.0,4.8,Cech,0
0,0,55,None,None,0,80201,0,0,-2,2,0.0,0,0,1,1.5,2.5,1,Bernd,2.0,4,0,7.3,2,False,73.4,0,0,0,0,315,,None,48,0,0,0,80201.jpg,2.0,0,9,Leno,1.6,False,19,a,1,3,0.0,8,31882,1421,75932,4371,0.4,1.7,Leno,0
0,0,0,0,0,0,51507,0,0,-1,1,0.0,0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,3,False,0.0,0,0,0,0,0,Lack of match fitness - Expected back 11 Nov,2018-07-05T14:31:07Z,54,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,6,i,1,3,0.0,0,534,34,4035,82,0.0,0.0,Koscielny,0
4,3,194,75,None,2,98745,0,0,-1,1,129.2,0,0,2,2.8,4.8,1,Héctor,4.3,12,0,46.4,4,False,196.8,0,0,0,0,855,Muscle injury - 75% chance of playing,2018-10-28T17:01:16Z,54,1,0,0,98745.jpg,3.6,0,0,Bellerín,10.2,False,2,d,1,3,138.0,36,273336,7226,508562,92389,0.8,6.7,Bellerín,1
1,2,124,75,75,2,38411,0,0,0,0,75.1,1,0,2,0.9,1.7,0,Nacho,1.7,8,1,38.5,5,False,149.2,0,0,0,0,630,Hamstring injury - 75% chance of playing,2018-10-22T19:31:15Z,55,0,0,0,38411.jpg,4.3,0,0,Monreal,1.6,False,18,d,1,3,161.0,30,153765,190,129863,24259,0.3,5.5,Monreal,1
0,3,78,None,None,1,156074,0,0,-1,1,2.6,0,0,2,0.8,1.8,1,Rob,1.3,4,0,10.6,6,False,91.4,0,0,0,0,411,,None,44,0,0,0,156074.jpg,2.8,0,0,Holding,0.6,False,16,a,1,3,11.0,14,15618,1473,21999,1438,0.3,3.2,Holding,1
0,1,173,None,None,2,69140,0,0,-1,1,33.6,0,0,2,1.2,2.2,1,Shkodran,1.7,13,1,41.1,7,False,273.6,0,0,0,0,900,,None,54,0,0,0,69140.jpg,2.9,0,0,Mustafi,1.3,False,20,a,1,3,103.0,29,34616,1298,48755,4649,0.3,5.4,Mustafi,2
0,0,0,75,75,0,111457,0,0,-1,1,0.0,0,0,2,-0.4,0.4,0,Sead,0.0,0,0,0.0,8,False,0.0,0,0,0,0,0,Hamstring injury - 75% chance of playing,2018-10-22T22:31:15Z,49,0,0,0,111457.jpg,0.0,0,0,Kolasinac,0.3,False,31,d,1,3,0.0,0,1593,31,21276,406,0.0,0.0,Kolasinac,0
0,0,0,0,0,0,233963,0,0,-2,2,0.0,0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,10,False,0.0,0,0,0,0,0,Groin Injury - Expected back 11 Nov,2018-09-25T09:01:13Z,48,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.1,False,27,i,1,3,0.0,0,976,14,8569,155,0.0,0.0,Mavropanos,0
0,0,8,None,None,0,27335,0,0,-4,4,18.7,0,0,2,0.2,1.2,0,Stephan,0.7,3,0,3.5,11,False,13.4,0,0,0,0,160,,None,46,0,0,0,27335.jpg,1.0,0,0,Lichtsteiner,1.0,False,12,a,1,3,3.0,3,11231,696,91480,1605,0.2,0.7,Lichtsteiner,1
0,0,60,75,100,0,39476,-1,1,-4,4,12.1,0,0,2,-0.4,0.5,0,Sokratis,0.0,9,0,11.1,12,False,92.2,0,0,0,0,488,Ankle injury - 75% chance of playing,2018-11-02T13:31:13Z,51,0,0,0,39476.jpg,0.8,0,0,Papastathopoulos,1.2,False,5,d,1,3,6.0,5,13226,357,92309,2438,0.0,1.0,Sokratis,3
1,7,153,100,100,2,37605,0,0,-1,1,223.6,1,0,3,4.2,5.2,2,Mesut,4.7,9,3,51.9,13,False,197.6,0,0,0,0,656,,2018-10-07T10:31:16Z,84,0,0,0,37605.jpg,5.4,0,0,Özil,6.1,False,10,a,1,3,97.0,43,343879,18117,295594,63427,0.6,5.1,Özil,0
3,1,115,100,100,3,41792,0,0,-1,1,185.2,0,0,3,3.5,4.5,1,Aaron,4.0,6,1,50.6,14,False,164.2,0,0,0,0,520,,2018-08-02T07:01:09Z,74,0,0,0,41792.jpg,3.3,0,0,Ramsey,1.6,False,8,a,1,3,156.0,33,139731,1012,132889,29591,0.5,4.5,Ramsey,0
2,0,90,100,100,0,153133,0,0,0,0,86.4,0,0,3,1.5,2.5,2,Alex,2.0,7,1,29.7,15,False,103.8,0,0,0,0,413,,2018-09-03T09:01:13Z,55,0,0,0,153133.jpg,3.1,0,0,Iwobi,1.2,False,17,a,1,3,108.0,22,111055,3026,107201,6274,0.4,4.0,Iwobi,0
