assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,694,221,0,0,0.0,0.0,2022-01-23T14:00:00Z,0,5,0,0,0,0,23,0,0,0,0,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,694,236,0,0,0.0,0.0,2022-02-10T19:45:00Z,0,20,0,0,0,0,24,0,1944,1,0,0.0,0,1483,1855,372,45,False,0
0,0,0,0,0.0,694,251,0,0,0.0,0.0,2022-02-19T15:00:00Z,0,3,0,0,0,0,26,0,5113,1,2,0.0,0,1027,2088,1061,45,True,0
0,0,0,0,0.0,694,191,0,0,0.0,0.0,2022-02-24T19:45:00Z,0,20,0,0,0,0,26,0,5113,1,2,0.0,0,1027,2088,1061,45,True,0
0,0,0,0,0.0,694,279,0,0,0.0,0.0,2022-03-06T14:00:00Z,0,18,0,0,0,0,28,0,6380,3,2,0.0,0,405,1302,897,45,False,0
0,0,0,0,0.0,694,281,0,0,0.0,0.0,2022-03-13T16:30:00Z,0,9,0,0,0,0,29,0,9198,0,2,0.0,0,1736,2911,1175,45,True,0
0,0,0,0,0.0,694,261,0,0,0.0,0.0,2022-03-16T20:15:00Z,0,11,0,0,0,0,29,0,9198,2,0,0.0,0,1736,2911,1175,45,True,0
0,0,0,0,0.0,694,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,2,0,0,0,0,30,0,8359,1,0,0.0,0,89,1264,1175,45,False,0
0,0,0,0,0.0,694,304,0,0,0.0,0.0,2022-04-04T19:00:00Z,0,7,0,0,0,0,31,0,10267,0,3,0.0,0,1225,2034,809,45,False,0
0,0,0,0,0.0,694,311,0,0,0.0,0.0,2022-04-09T14:00:00Z,0,4,0,0,0,0,32,0,10932,2,1,0.0,0,620,1483,863,45,True,0
0,0,0,0,0.0,694,326,0,0,0.0,0.0,2022-04-16T14:00:00Z,0,16,0,0,0,0,33,0,13831,0,1,0.0,0,1316,2583,1267,45,False,0
0,0,0,0,0.0,694,243,0,0,0.0,0.0,2022-04-20T18:45:00Z,0,6,0,0,0,0,33,0,13831,4,2,0.0,0,1316,2583,1267,45,False,0
