assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,420,0,0,5,0,0,0,0.0,420,0.0,0,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,0,0,0,12,0,0,0,0,0,0,1,0,1133,0,0,0,0,4,0.0,0,0,0,0,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,420,0,0,20,0,0,0,0.0,945,0.0,0,2018-08-18T14:00:00Z,18 Aug 15:00,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1411,0,0,0,2,1,0.0,0,-112,214,326,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,420,0,0,21,0,0,0,0.0,1472,0.0,0,2018-08-25T14:00:00Z,25 Aug 15:00,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1106,0,0,0,1,3,0.0,0,-300,20,320,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,420,0,0,40,0,0,0,0.0,2003,0.0,0,2018-09-01T14:00:00Z,01 Sep 15:00,0,0,0,0,0,20,0,0,0,0,0,0,4,0,1004,0,0,0,1,0,0.0,0,-134,19,153,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,420,0,0,43,0,0,0,0.0,2540,0.0,0,2018-09-16T15:00:00Z,16 Sep 16:00,0,0,0,0,0,8,0,0,0,0,0,0,5,0,934,0,0,0,3,1,0.0,0,-83,19,102,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,420,0,0,60,0,0,0,0.0,3077,0.0,0,2018-09-23T12:30:00Z,23 Sep 13:30,0,0,0,0,0,6,0,0,0,0,0,0,6,0,910,0,0,0,0,0,0.0,0,-33,13,46,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,420,0,0,69,0,0,0,0.0,3615,0.0,0,2018-09-29T11:30:00Z,29 Sep 12:30,0,0,0,0,0,14,0,0,0,0,0,0,7,0,883,0,0,0,1,3,0.0,0,-34,6,40,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,420,0,0,71,0,0,0,0.0,4154,0.0,0,2018-10-05T19:00:00Z,05 Oct 20:00,0,0,0,0,0,3,0,0,0,0,0,0,8,0,867,0,0,0,0,1,0.0,0,-15,9,24,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,420,0,0,89,0,0,0,0.0,4696,0.0,0,2018-10-20T14:00:00Z,20 Oct 15:00,0,0,0,0,0,17,0,0,0,0,0,0,9,0,849,0,0,0,1,0,0.0,0,-25,12,37,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,420,0,0,95,0,0,0,0.0,5242,0.0,0,2018-10-27T16:30:00Z,27 Oct 17:30,0,0,0,0,0,11,0,0,0,0,0,0,10,0,839,0,0,0,1,1,0.0,0,-14,2,16,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,420,0,0,109,0,0,0,0.0,5790,0.0,0,2018-11-03T15:00:00Z,03 Nov 15:00,0,0,0,0,0,4,0,0,0,0,0,0,11,0,836,0,0,0,2,4,0.0,0,-7,6,13,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,420,0,0,115,0,0,0,0.0,6340,0.0,0,2018-11-10T15:00:00Z,10 Nov 15:00,0,0,0,0,0,10,0,0,0,0,0,0,12,0,836,0,0,0,1,1,0.0,0,-3,9,12,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,420,0,0,129,0,0,0,0.0,6892,0.0,0,2018-11-24T15:00:00Z,24 Nov 15:00,0,0,0,0,0,13,0,0,0,0,0,0,13,0,824,0,0,0,4,0,0.0,0,-16,6,22,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,420,0,0,139,0,0,0,0.0,7445,0.0,0,2018-12-01T15:00:00Z,01 Dec 15:00,0,0,0,0,0,15,0,0,0,0,0,0,14,0,822,0,0,0,3,0,0.0,0,-4,3,7,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,420,0,0,147,0,0,0,0.0,8001,0.0,0,2018-12-04T19:45:00Z,04 Dec 19:45,0,0,0,0,0,5,0,0,0,0,0,0,15,0,821,0,0,0,1,3,0.0,0,-4,1,5,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,420,0,0,160,0,0,0,0.0,8559,0.0,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,0,0,0,7,0,0,0,0,0,0,16,0,814,0,0,0,2,3,0.0,0,-7,1,8,50,True,0,0
