assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,28,0,0,0,13,0,6,19,20.4,1,0,57,0,0,1,3,1,0,4.2,57,22.0,0,2016-08-13T14:00:00Z,13 Aug 15:00,0,0,90,0,2,16,0,0,0,0,2,0,1,0,1702,1,4,0,1,0,0.0,1,0,0,0,45,True,0,1
0,15,0,0,0,18,1,4,11,0.4,0,0,57,0,0,12,1,0,0,0.6,582,5.6,0,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,90,0,0,9,0,0,0,0,2,0,2,0,2926,1,0,0,0,2,0.0,6,50,166,116,45,True,0,0
0,44,0,0,0,17,0,11,31,1.5,3,0,57,0,0,21,1,3,0,3.0,1122,26.4,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,90,0,0,4,0,0,0,0,4,0,3,0,6026,1,1,0,0,3,2.0,1,1253,1654,401,45,False,0,0
0,34,0,0,0,8,0,4,28,2.3,0,0,57,0,0,33,3,1,0,0.5,1672,1.6,0,2016-09-10T14:00:00Z,10 Sep 15:00,0,0,90,0,0,7,0,0,0,0,5,0,4,0,7231,1,0,1,1,1,1.0,2,427,1034,607,45,True,0,0
0,36,0,0,0,22,0,14,25,22.8,1,0,57,0,0,44,0,3,0,5.3,2253,30.4,1,2016-09-17T14:00:00Z,17 Sep 15:00,0,0,90,0,3,8,0,0,0,0,5,0,5,0,7733,1,2,0,0,3,0.0,1,155,490,335,45,False,0,0
0,34,0,0,0,18,1,1,21,1.4,0,0,57,0,0,60,2,0,0,0.2,2837,0.8,0,2016-09-26T19:00:00Z,26 Sep 20:00,0,0,90,0,0,18,0,0,0,0,3,0,6,0,8439,1,1,0,0,2,0.0,6,399,987,588,45,True,0,0
0,31,0,0,0,13,0,5,23,14.9,1,0,57,0,0,61,0,1,0,3.1,3423,15.8,1,2016-10-02T15:30:00Z,02 Oct 16:30,0,0,90,0,1,1,0,0,0,0,4,0,7,0,11679,1,0,0,1,0,0.0,2,2646,3282,636,45,True,0,0
0,27,0,0,0,11,0,8,17,15.2,1,0,57,0,0,78,2,3,0,2.7,4012,12.0,1,2016-10-16T15:00:00Z,16 Oct 16:00,0,0,90,0,1,13,0,0,0,0,2,0,8,0,16869,0,0,0,1,3,0.0,1,4221,5096,875,45,False,0,0
0,21,0,0,0,11,0,8,13,0.3,0,0,57,0,0,83,0,1,0,0.7,4604,7.0,0,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,82,0,0,6,0,0,0,0,6,0,9,0,17964,1,0,0,1,2,0.0,2,794,1557,763,45,True,0,0
0,11,0,0,0,6,0,4,9,0.3,0,0,57,0,0,93,0,0,0,0.4,5198,3.2,0,2016-10-29T14:00:00Z,29 Oct 15:00,0,0,43,0,0,11,0,0,0,0,3,0,10,0,17351,0,0,0,0,0,0.0,1,-731,277,1008,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,57,0,0,103,0,0,0,0.0,5796,0.0,0,2016-11-05T15:00:00Z,05 Nov 15:00,0,0,0,0,0,5,0,0,0,0,0,0,11,0,14814,0,0,0,2,3,0.0,0,-2578,124,2702,45,True,0,0
0,40,0,0,0,14,0,8,34,6.0,0,0,57,0,0,120,1,4,0,1.9,6395,13.2,0,2016-11-21T20:00:00Z,21 Nov 20:00,0,0,90,0,1,19,0,0,0,0,4,0,12,0,13278,1,0,0,0,4,0.0,0,-1578,194,1772,44,False,0,0
0,15,0,0,0,11,0,3,7,0.3,0,0,57,1,0,122,2,2,0,1.0,6996,9.4,0,2016-11-26T12:30:00Z,26 Nov 12:30,0,0,90,0,0,10,0,0,0,0,4,0,13,0,13578,0,4,0,2,1,0.0,1,223,672,449,44,True,0,0
0,41,0,0,0,20,0,10,34,32.8,0,0,57,0,0,136,0,2,0,5.9,7600,24.6,3,2016-12-03T15:00:00Z,03 Dec 15:00,0,0,90,0,0,14,0,0,0,0,8,0,14,0,15691,4,2,0,0,2,2.0,1,1929,2291,362,44,False,0,0
0,23,0,0,0,26,0,5,12,14.7,0,0,57,0,0,142,0,2,1,12.9,8205,47.0,1,2016-12-10T15:00:00Z,10 Dec 15:00,0,0,90,0,1,2,0,0,0,0,7,0,15,0,16892,0,1,0,2,3,67.0,7,1043,1557,514,44,True,0,0
0,29,0,0,0,11,0,4,19,13.0,0,0,57,0,0,154,0,1,0,3.0,8815,17.4,0,2016-12-14T19:45:00Z,14 Dec 19:45,0,0,90,0,3,20,0,0,0,0,3,0,16,0,20329,1,0,0,0,1,0.0,2,3142,3511,369,44,False,0,0
0,30,1,0,0,24,0,6,20,23.6,0,0,57,0,0,168,0,2,0,4.9,9429,25.0,1,2016-12-18T16:00:00Z,18 Dec 16:00,0,0,90,0,3,17,0,0,0,0,6,0,17,0,21196,2,4,0,1,2,0.0,1,732,1421,689,44,False,0,0
0,27,0,0,0,18,1,6,15,1.3,0,0,57,0,0,172,1,0,0,0.5,10045,3.2,0,2016-12-26T15:00:00Z,26 Dec 15:00,0,0,90,0,0,12,0,0,0,0,7,0,18,0,26268,1,0,0,0,1,0.0,5,4710,5642,932,44,True,0,1
