assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,-4,0,3.0,343,8,2,0,2.7,1.4,2020-09-14T17:00:00Z,90,20,0,0,0,0,1,0,17568,2,0,23.0,2,0,0,0,60,True,0
0,0,0,0,0.0,343,10,0,0,0.0,0.0,2020-09-21T17:00:00Z,0,2,0,0,0,0,2,0,21686,0,1,0.0,0,30,4385,4355,60,False,0
0,0,1,0,0.1,343,25,1,0,2.1,2.0,2020-09-27T11:00:00Z,16,10,0,0,0,0,3,0,17103,1,0,19.0,1,-5336,1203,6539,59,True,0
0,0,2,0,1.5,343,29,0,0,0.4,0.0,2020-10-04T13:00:00Z,14,1,0,0,0,0,4,0,13929,1,2,2.0,1,-3619,377,3996,58,False,0
0,2,26,0,0.3,343,46,0,1,5.1,33.2,2020-10-18T11:00:00Z,9,8,0,0,0,0,5,0,12462,1,1,17.0,7,-1828,465,2293,58,True,0
0,0,0,0,0.0,343,54,0,0,0.0,0.0,2020-10-24T19:00:00Z,0,11,0,0,0,0,6,0,12394,1,2,0.0,0,-400,761,1161,58,False,0
0,0,0,0,0.0,343,66,0,0,0.0,0.0,2020-10-31T12:30:00Z,0,12,0,0,0,0,7,0,11599,1,0,0.0,0,-911,372,1283,57,True,0
0,0,0,0,0.0,343,71,0,0,0.0,0.0,2020-11-07T17:30:00Z,0,5,0,0,0,0,8,0,10984,1,4,0.0,0,-701,235,936,57,False,0
0,0,0,0,0.0,343,86,0,0,0.0,0.0,2020-11-22T14:00:00Z,0,19,0,0,0,0,9,0,10603,1,0,0.0,0,-527,339,866,57,True,0
0,0,0,0,0.0,343,97,0,0,0.0,0.0,2020-11-28T20:00:00Z,0,18,0,0,0,0,10,0,10268,0,1,0.0,0,-394,112,506,56,False,0
