assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,144,0,0,0,0.0,8139,0.0,0,2018-12-05T19:45:00Z,05 Dec 19:45,0,0,0,0,0,9,0,0,0,0,0,0,15,0,0,0,0,0,1,1,0.0,0,0,0,0,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,157,0,0,0,0.0,8697,0.0,0,2018-12-08T19:45:00Z,08 Dec 19:45,0,0,0,0,0,17,0,0,0,0,0,0,16,0,147,0,0,0,2,0,0.0,0,91,103,12,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,162,0,0,0,0.0,9256,0.0,0,2018-12-15T15:00:00Z,15 Dec 15:00,0,0,0,0,0,7,0,0,0,0,0,0,17,0,387,0,0,0,0,1,0.0,0,138,186,48,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,174,0,0,0,0.0,9818,0.0,0,2018-12-22T15:00:00Z,22 Dec 15:00,0,0,0,0,0,6,0,0,0,0,0,0,18,0,476,0,0,0,1,0,0.0,0,43,114,71,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,185,0,0,0,0.0,10383,0.0,0,2018-12-26T15:00:00Z,26 Dec 15:00,0,0,0,0,0,13,0,0,0,0,0,0,19,0,624,0,0,0,1,2,0.0,0,57,123,66,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,195,0,0,0,0.0,10951,0.0,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,0,0,0,5,0,0,0,0,0,0,20,0,765,0,0,0,1,0,0.0,0,78,131,53,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,205,0,0,0,0.0,11519,0.0,0,2019-01-01T12:30:00Z,01 Jan 12:30,0,0,0,0,0,8,0,0,0,0,0,0,21,0,889,0,0,0,1,0,0.0,0,57,132,75,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,217,0,0,0,0.0,12089,0.0,0,2019-01-12T15:00:00Z,12 Jan 15:00,0,0,0,0,0,16,0,0,0,0,0,0,22,0,1046,0,0,0,2,1,0.0,0,45,164,119,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,230,0,0,0,0.0,12663,0.0,0,2019-01-19T12:30:00Z,19 Jan 12:30,0,0,0,0,0,20,0,0,0,0,0,0,23,0,1129,0,0,0,3,4,0.0,0,24,128,104,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,237,0,0,0,0.0,13242,0.0,0,2019-01-30T20:00:00Z,30 Jan 20:00,0,0,0,0,0,12,0,0,0,0,0,0,24,0,1279,0,0,0,1,1,0.0,0,65,154,89,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,247,0,0,0,0.0,13882,0.0,0,2019-02-03T14:05:00Z,03 Feb 14:05,0,0,0,0,0,14,0,0,0,0,0,0,25,0,1276,0,0,0,1,0,0.0,0,-35,72,107,40,True,0,0
