assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,147,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,17,0,0,0,0,15,0,0,0,2,0,0.0,0,0,0,0,40,False,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,153,0,0,0.0,0.0,2023-12-09T12:30:00Z,0,8,0,0,0,0,16,0,59,0,2,1,0.0,0,33,38,5,40,False,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,166,0,0,0.0,0.0,2023-12-17T16:30:00Z,0,14,0,0,0,0,17,0,96,0,0,0,0.0,0,-9,22,31,40,True,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,174,0,0,0.0,0.0,2023-12-23T17:30:00Z,0,1,0,0,0,0,18,0,140,0,1,1,0.0,0,8,18,10,40,True,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,185,0,0,0.0,0.0,2023-12-26T17:30:00Z,0,6,0,0,0,0,19,0,166,0,2,0,0.0,0,2,12,10,40,False,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,194,0,0,0.0,0.0,2024-01-01T20:00:00Z,0,15,0,0,0,0,20,0,212,0,2,4,0.0,0,4,15,11,40,True,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,202,0,0,0.0,0.0,2024-01-21T16:30:00Z,0,3,0,0,0,0,21,0,243,0,4,0,0.0,0,-10,27,37,40,False,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,219,0,0,0.0,0.0,2024-01-31T20:15:00Z,0,7,0,0,0,0,22,0,219,0,1,4,0.0,0,-22,0,22,40,True,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,221,0,0,0.0,0.0,2024-02-04T16:30:00Z,0,1,0,0,0,0,23,0,215,0,1,3,0.0,0,-7,0,7,40,False,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,234,0,0,0.0,0.0,2024-02-10T15:00:00Z,0,6,0,0,0,0,24,0,202,0,1,3,0.0,0,-13,0,13,40,True,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,241,0,0,0.0,0.0,2024-02-17T12:30:00Z,0,4,0,0,0,0,25,0,195,0,4,1,0.0,0,-7,0,7,40,False,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,257,0,0,0.0,0.0,2024-02-21T19:30:00Z,0,12,0,0,0,0,25,0,195,0,1,4,0.0,0,-7,0,7,40,True,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,268,0,0,0.0,0.0,2024-03-02T15:00:00Z,0,16,0,0,0,0,27,0,192,0,1,0,0.0,0,-2,0,2,40,False,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,277,0,0,0.0,0.0,2024-03-10T15:45:00Z,0,13,0,0,0,0,28,0,192,0,1,1,0.0,0,0,0,0,40,True,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,295,0,0,0.0,0.0,2024-03-31T13:00:00Z,0,5,0,0,0,0,30,0,192,0,1,2,0.0,0,0,0,0,40,True,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,308,0,0,0.0,0.0,2024-04-04T18:30:00Z,0,17,0,0,0,0,31,0,190,0,1,3,0.0,0,-2,0,2,40,True,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,317,0,0,0.0,0.0,2024-04-07T14:30:00Z,0,14,0,0,0,0,32,0,189,0,2,2,0.0,0,-1,0,1,40,False,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,326,0,0,0.0,0.0,2024-04-14T13:00:00Z,0,8,0,0,0,0,33,0,186,0,1,0,0.0,0,-4,0,4,40,True,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,335,0,0,0.0,0.0,2024-04-21T15:30:00Z,0,10,0,0,0,0,34,0,180,0,3,1,0.0,0,-6,0,6,40,False,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,285,0,0,0.0,0.0,2024-04-24T19:00:00Z,0,9,0,0,0,0,34,0,180,0,0,2,0.0,0,-6,0,6,40,False,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,349,0,0,0.0,0.0,2024-04-27T11:30:00Z,0,19,0,0,0,0,35,0,179,0,2,2,0.0,0,-1,0,1,40,False,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,357,0,0,0.0,0.0,2024-05-05T15:30:00Z,0,18,0,0,0,0,36,0,177,0,2,4,0.0,0,-2,0,2,40,True,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,361,0,0,0.0,0.0,2024-05-13T19:00:00Z,0,2,0,0,0,0,37,0,177,0,3,3,0.0,0,0,0,0,40,False,0
0,0,0,0,0.0,756,0.00,0.00,0.00,0.00,377,0,0,0.0,0.0,2024-05-19T15:00:00Z,0,20,0,0,0,0,38,0,177,0,0,2,0.0,0,0,0,0,40,True,0
