assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,8,0,0.0,586,191,0,0,0.0,0.0,2019-12-29T14:00:00Z,31,1,0,0,0,0,20,0,0,2,1,0.0,1,0,0,0,40,False,0
0,0,0,0,0.0,586,202,0,0,0.0,0.0,2020-01-01T12:30:00Z,0,4,0,0,0,0,21,0,4034,1,1,0.0,0,3603,4297,694,40,False,0
0,0,0,0,0.0,586,213,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,5,0,0,0,0,22,0,4951,0,3,0.0,0,620,1552,932,40,True,0
0,0,0,0,0.0,586,226,0,0,0.0,0.0,2020-01-18T17:30:00Z,0,13,0,0,0,0,23,0,5118,0,1,0.0,0,-46,733,779,40,False,0
0,0,0,0,0.0,586,232,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,3,0,0,0,0,24,0,5659,1,3,0.0,0,-77,717,473,40,False,0
0,0,0,0,0.0,586,250,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,19,0,0,0,0,25,0,6440,3,3,0.0,0,725,842,117,40,False,0
0,0,0,0,0.0,586,253,0,0,0.0,0.0,2020-02-08T17:30:00Z,0,18,0,0,0,0,26,0,7510,1,1,0.0,0,890,1346,456,40,True,0
0,0,0,0,0.0,586,268,0,0,0.0,0.0,2020-02-22T15:00:00Z,0,15,0,0,0,0,27,0,8076,1,1,0.0,0,312,847,535,40,False,0
0,0,0,0,0.0,586,273,0,0,0.0,0.0,2020-02-29T12:30:00Z,0,7,0,0,0,0,28,0,8117,1,0,0.0,0,-209,430,639,40,True,0
0,0,0,0,0.0,586,290,0,0,0.0,0.0,2020-03-07T15:00:00Z,0,20,0,0,0,0,29,0,8112,0,0,0.0,0,-133,402,535,40,False,0
0,0,0,0,0.0,586,293,0,0,0.0,0.0,2020-06-20T14:00:00Z,0,1,0,0,0,0,39,0,10092,1,2,0.0,0,1385,3609,2224,40,True,0
0,0,25,1,1.3,586,303,0,0,1.9,17.2,2020-06-23T17:00:00Z,90,9,0,0,0,0,40,0,10290,0,0,0.0,6,-4,522,526,40,False,0
0,0,0,0,0.5,586,314,2,0,0.0,0.0,2020-06-30T19:15:00Z,45,12,0,0,0,0,41,0,21835,3,0,0.0,0,9757,10686,929,40,True,0
0,0,22,1,12.5,586,327,0,0,2.4,7.0,2020-07-04T11:30:00Z,90,14,0,0,0,0,42,0,35763,1,0,4.0,5,11647,13683,2036,40,False,1
1,0,21,0,14.5,586,334,3,0,4.6,26.4,2020-07-08T19:15:00Z,90,10,0,0,0,0,43,0,54267,3,1,5.0,3,18826,20778,1952,40,True,1
0,0,2,0,0.3,586,343,1,0,0.4,1.2,2020-07-11T19:00:00Z,31,11,0,0,0,0,44,0,89692,5,0,2.0,1,31850,34356,2506,40,True,0
0,0,13,0,1.4,586,359,1,0,1.1,9.2,2020-07-16T19:15:00Z,67,16,0,0,0,0,45,0,107724,1,1,0.0,2,14201,17578,3377,40,False,0
0,0,23,1,1.8,586,363,0,0,1.0,6.4,2020-07-20T17:00:00Z,85,13,0,0,0,0,46,0,107129,0,0,2.0,6,7152,10033,2881,41,True,0
0,0,22,0,49.8,586,372,1,0,8.8,24.4,2020-07-26T15:00:00Z,90,5,0,0,0,0,47,0,124169,2,1,14.0,2,10335,14491,4156,41,False,0
