assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,322,3,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,5,0,0,0,0,1,0,3694,0,3,0.0,0,0,0,0,55,False,0
0,0,0,0,0.0,322,19,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,10,0,0,0,0,2,0,3889,2,1,0.0,0,-571,67,638,55,True,0
0,0,0,0,0.0,322,23,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,4,0,0,0,0,3,0,3550,2,0,0.0,0,-527,41,568,54,False,0
0,0,0,0,0.0,322,39,0,0,0.0,0.0,2019-08-31T11:30:00Z,0,12,0,0,0,0,4,0,3234,1,1,0.0,0,-415,36,451,54,True,0
0,0,0,0,0.0,322,47,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,15,0,0,0,0,5,0,2494,1,0,0.0,0,-749,9,758,54,False,0
0,0,0,0,0.0,322,59,0,0,0.0,0.0,2019-09-20T19:00:00Z,0,3,0,0,0,0,6,0,2305,3,1,0.0,0,-205,7,212,53,True,0
0,0,0,0,0.0,322,69,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,17,0,0,0,0,7,0,2143,1,2,0.0,0,-167,13,180,53,False,0
0,0,0,0,0.0,322,78,0,0,0.0,0.0,2019-10-06T13:00:00Z,0,6,0,0,0,0,8,0,2056,4,1,0.0,0,-94,8,102,53,True,0
0,0,0,0,0.0,322,90,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,20,0,0,0,0,9,0,1998,1,1,0.0,0,-63,7,70,53,False,0
0,0,0,0,0.0,322,98,0,0,0.0,0.0,2019-10-25T19:00:00Z,0,9,0,0,0,0,10,0,1982,9,0,0.0,0,-18,8,26,53,True,0
0,0,0,0,0.0,322,107,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,11,0,0,0,0,11,0,1947,1,2,0.0,0,-36,5,41,53,False,0
0,0,0,0,0.0,322,118,0,0,0.0,0.0,2019-11-09T15:00:00Z,0,8,0,0,0,0,12,0,1921,2,1,0.0,0,-27,11,38,53,True,0
0,0,0,0,0.0,322,121,0,0,0.0,0.0,2019-11-23T15:00:00Z,0,1,0,0,0,0,13,0,1898,2,2,0.0,0,-23,8,31,53,False,0
0,0,0,0,0.0,322,138,0,0,0.0,0.0,2019-11-30T17:30:00Z,0,18,0,0,0,0,14,0,1886,1,2,0.0,0,-16,5,21,53,True,0
0,0,0,0,0.0,322,150,0,0,0.0,0.0,2019-12-04T19:30:00Z,0,14,0,0,0,0,15,0,1879,1,2,0.0,0,-10,5,15,53,True,0
0,0,0,0,0.0,322,156,0,0,0.0,0.0,2019-12-08T14:00:00Z,0,13,0,0,0,0,16,0,1861,1,2,0.0,0,-18,4,22,53,False,0
0,0,0,0,0.0,322,169,0,0,0.0,0.0,2019-12-14T17:30:00Z,0,19,0,0,0,0,17,0,1856,1,0,0.0,0,-7,21,28,53,True,0
0,0,0,0,0.0,322,171,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,2,0,0,0,0,18,0,1833,3,1,0.0,0,-22,6,28,53,False,0
0,0,0,0,0.0,322,183,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,6,0,0,0,0,19,0,1831,2,0,0.0,0,-2,15,17,53,False,0
0,0,0,0,0.0,322,198,0,0,0.0,0.0,2019-12-28T15:00:00Z,0,7,0,0,0,0,20,0,1824,1,1,0.0,0,-11,5,16,53,True,0
0,0,0,0,0.0,322,208,0,0,0.0,0.0,2020-01-01T15:00:00Z,0,17,0,0,0,0,21,0,1819,0,1,0.0,0,-5,9,14,53,True,0
0,0,0,0,0.0,322,216,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,9,0,0,0,0,22,0,1804,2,1,0.0,0,-15,4,19,53,False,0
0,0,0,0,0.0,322,228,0,0,0.0,0.0,2020-01-18T15:00:00Z,0,20,0,0,0,0,23,0,1797,3,2,0.0,0,-9,3,12,53,True,0
0,0,0,0,0.0,322,239,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,7,0,0,0,0,24,0,1789,2,0,0.0,0,-9,2,11,53,False,0
