assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,23,0,13.4,31,6,3,1,8.7,49.6,2019-08-10T16:30:00Z,90,17,0,0,0,0,1,0,126685,1,3,24.0,7,0,0,0,55,False,0
0,0,7,0,30.4,31,12,2,0,8.7,13.6,2019-08-17T14:00:00Z,90,3,0,0,0,0,2,0,350521,2,1,43.0,2,159128,183128,24000,56,True,0
1,0,19,1,16.8,31,21,0,0,5.2,31.6,2019-08-23T19:00:00Z,90,8,0,0,0,0,3,0,330049,0,2,4.0,6,-15010,44518,59528,56,True,0
0,0,9,0,30.6,31,34,1,0,5.3,22.8,2019-08-31T14:00:00Z,90,7,0,0,0,0,4,0,458759,0,1,0.0,2,106304,150656,44352,56,False,0
0,0,10,1,14.1,31,41,0,0,5.7,11.8,2019-09-16T19:00:00Z,90,19,0,0,0,0,5,0,462327,0,0,31.0,3,3467,61506,58039,56,True,0
0,3,32,0,12.0,31,51,3,1,11.8,50.8,2019-09-22T15:30:00Z,90,1,0,0,0,0,6,0,429122,2,3,55.0,10,-33275,18690,51965,56,False,0
0,1,25,0,23.8,31,61,2,1,10.3,43.2,2019-09-28T14:00:00Z,90,5,0,0,0,0,7,0,574710,2,2,36.0,8,131317,158321,27004,57,True,0
0,0,16,0,18.2,31,77,1,0,4.0,12.0,2019-10-05T14:00:00Z,90,14,0,0,0,0,8,0,802738,5,1,10.0,1,214463,230374,15911,58,False,1
0,0,13,0,37.8,31,81,1,0,12.5,18.0,2019-10-19T14:00:00Z,90,4,0,0,0,0,9,0,907102,1,2,69.0,2,104117,148217,44100,59,True,0
0,0,4,0,2.1,31,95,3,0,4.0,12.2,2019-10-26T11:30:00Z,90,11,0,0,0,0,10,0,837159,0,3,26.0,2,-62373,17572,79945,59,False,0
1,0,24,0,17.9,31,102,2,0,6.1,36.8,2019-11-02T15:00:00Z,90,10,0,0,0,0,11,0,748369,2,1,6.0,5,-90144,20691,110835,58,True,0
0,0,13,0,17.2,31,120,2,0,5.6,12.6,2019-11-10T14:00:00Z,90,20,0,0,0,0,12,0,835041,1,2,26.0,2,75729,98915,23186,58,False,0
0,0,2,1,14.8,31,122,0,0,5.3,8.6,2019-11-25T20:00:00Z,90,13,0,0,0,0,13,0,878426,0,2,30.0,3,38476,89277,50801,58,True,0
0,0,11,0,32.0,31,135,2,0,5.4,18.0,2019-12-01T16:30:00Z,90,12,0,0,0,0,14,0,813918,2,2,4.0,2,-57931,18249,76180,59,False,0
0,0,16,0,32.9,31,147,2,0,5.4,19.4,2019-12-04T19:30:00Z,90,6,0,0,0,0,15,0,753673,1,2,2.0,2,-62857,4804,67661,59,False,0
0,0,10,0,21.5,31,151,4,0,4.3,12.0,2019-12-08T14:00:00Z,90,9,0,0,0,0,16,0,687714,4,1,9.0,1,-66863,6779,73642,58,True,1
0,0,16,0,38.7,31,168,2,0,5.2,13.4,2019-12-14T15:00:00Z,90,15,0,0,0,0,17,0,622146,0,2,0.0,2,-66283,9466,75749,58,False,0
0,0,3,0,1.1,31,171,0,0,0.0,0.0,2019-12-21T15:00:00Z,7,16,0,0,0,0,18,0,595690,3,1,0.0,1,-23403,20534,43937,57,True,0
0,0,0,0,0.0,31,181,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,14,0,0,0,0,19,0,415125,0,1,0.0,0,-184274,622,184896,56,True,0
0,0,0,0,0.0,31,199,0,0,0.0,0.0,2019-12-28T15:00:00Z,0,18,0,0,0,0,20,0,349946,0,3,0.0,0,-68130,160,68290,56,False,0
0,0,0,0,0.0,31,203,0,0,0.0,0.0,2020-01-01T12:30:00Z,0,5,0,0,0,0,21,0,293761,2,1,0.0,0,-57271,147,57418,55,False,0
0,0,0,0,0.0,31,211,0,0,0.0,0.0,2020-01-12T16:30:00Z,0,11,0,0,0,0,22,0,252415,6,1,0.0,0,-41422,76,41498,55,True,0
0,0,0,0,0.0,31,222,0,0,0.0,0.0,2020-01-18T15:00:00Z,0,4,0,0,0,0,23,0,230283,1,1,0.0,0,-22382,56,22438,55,False,0
0,0,0,0,0.0,31,231,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,18,0,0,0,0,24,0,220639,1,2,0.0,0,-9700,41,9741,55,True,0
0,0,0,0,0.0,31,241,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,3,0,0,0,0,25,0,209886,1,2,0.0,0,-11057,50,11107,54,False,0
0,0,0,0,0.0,31,252,0,0,0.0,0.0,2020-02-16T14:00:00Z,0,17,0,0,0,0,26,0,204819,3,2,0.0,0,-5351,21,5372,54,True,0
0,0,0,0,0.0,31,269,0,0,0.0,0.0,2020-02-22T15:00:00Z,0,16,0,0,0,0,27,0,199718,0,2,0.0,0,-5081,39,5120,54,False,0
0,0,0,0,0.0,31,285,0,0,0.0,0.0,2020-03-09T20:00:00Z,0,9,0,0,0,0,29,0,194615,0,4,0.0,0,-2337,84,2421,54,False,0
0,0,8,1,0.8,31,271,0,0,3.7,10.4,2020-06-17T17:00:00Z,75,15,0,0,0,0,39,0,296692,0,0,26.0,3,94135,131761,37626,54,True,0
0,0,6,0,1.7,31,291,2,0,0.7,0.0,2020-06-21T15:15:00Z,86,6,0,0,0,0,39,0,296692,2,1,6.0,2,94135,131761,37626,54,True,0
0,0,7,0,1.6,31,306,1,0,2.6,1.0,2020-06-24T17:00:00Z,76,13,0,0,0,0,40,0,246731,1,1,23.0,2,-36917,2552,39469,54,False,0
0,0,6,0,14.8,31,312,1,0,2.3,6.0,2020-06-27T11:30:00Z,30,20,0,0,0,0,41,0,234757,1,0,2.0,1,-15532,948,16480,54,True,0
0,0,7,0,15.7,31,324,2,0,2.0,3.6,2020-07-05T15:30:00Z,90,10,0,0,0,0,42,0,217604,0,2,1.0,1,-17090,302,17392,53,False,1
0,0,6,0,25.3,31,332,3,0,4.9,8.8,2020-07-09T19:15:00Z,58,12,0,0,0,0,43,0,211776,3,0,15.0,1,-7072,243,7315,53,True,0
0,0,8,1,11.3,31,341,0,0,3.0,11.4,2020-07-12T13:15:00Z,90,7,0,0,0,0,44,0,207533,0,2,7.0,3,-4414,573,4987,53,True,0
0,0,9,0,21.9,31,355,1,0,3.7,7.4,2020-07-16T17:00:00Z,90,8,0,0,0,0,45,0,203816,1,1,8.0,2,-3348,273,3621,53,False,0
0,0,3,1,1.6,31,361,0,0,2.7,4.0,2020-07-21T19:15:00Z,90,1,0,0,0,0,46,0,202818,0,1,21.0,3,-1514,310,1824,52,True,0
1,0,8,0,33.3,31,380,1,0,6.8,19.6,2020-07-26T15:00:00Z,90,19,0,0,0,0,47,0,201394,1,1,15.0,5,-1144,991,2135,52,False,0
