assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,197,0,0,9,0,0,0,0.0,197,0.0,0,2016-08-14T12:30:00Z,14 Aug 13:30,0,0,0,0,0,11,0,0,0,0,0,0,1,0,161687,0,0,0,3,1,0.0,0,0,0,0,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,197,0,0,20,0,0,0,0.0,722,0.0,0,2016-08-21T15:00:00Z,21 Aug 16:00,0,0,0,0,0,20,0,0,0,0,0,0,2,0,172001,0,0,0,0,1,0.0,0,-3173,7253,10426,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,197,0,0,22,0,0,0,0.0,1262,0.0,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,0,0,0,5,0,0,0,0,0,0,3,0,168734,0,0,0,1,1,0.0,0,-7728,6695,14423,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,197,0,0,32,0,0,0,0.0,1812,0.0,0,2016-09-10T14:00:00Z,10 Sep 15:00,0,0,0,0,0,19,0,0,0,0,0,0,4,0,162683,0,0,0,0,1,0.0,0,-9279,10460,19739,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,197,0,0,45,0,0,0,0.0,2393,0.0,0,2016-09-17T14:00:00Z,17 Sep 15:00,0,0,0,0,0,10,0,0,0,0,0,0,5,0,162291,0,0,0,0,4,0.0,0,-2056,6887,8943,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,197,0,0,52,0,0,0,0.0,2977,0.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,0,0,0,6,0,0,0,0,0,0,6,0,161013,0,0,0,0,1,0.0,0,-3025,10541,13566,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,197,0,0,69,0,0,0,0.0,3563,0.0,0,2016-10-01T14:00:00Z,01 Oct 15:00,0,0,0,0,0,18,0,0,0,0,0,0,7,0,162618,0,0,0,2,2,0.0,0,408,7715,7307,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,197,0,0,72,0,0,0,0.0,4152,0.0,0,2016-10-15T14:00:00Z,15 Oct 15:00,0,0,0,0,0,7,0,0,0,0,0,0,8,0,162349,0,0,0,1,6,0.0,0,-1464,5069,6533,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,197,0,0,82,0,0,0,0.0,4744,0.0,0,2016-10-22T11:30:00Z,22 Oct 12:30,0,0,0,0,0,17,0,0,0,0,0,0,9,0,153202,0,0,0,0,0,0.0,0,-9274,1111,10385,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,197,0,0,94,0,0,0,0.0,5338,0.0,0,2016-10-29T14:00:00Z,29 Oct 15:00,0,0,0,0,0,12,0,0,0,0,0,0,10,0,145467,0,0,0,0,2,0.0,0,-7788,365,8153,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,197,0,0,102,0,0,0,0.0,5936,0.0,0,2016-11-05T15:00:00Z,05 Nov 15:00,0,0,0,0,0,15,0,0,0,0,0,0,11,0,138192,0,0,0,2,1,0.0,0,-7337,612,7949,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,197,0,0,116,0,0,0,0.0,6535,0.0,0,2016-11-19T15:00:00Z,19 Nov 15:00,0,0,0,0,0,14,0,0,0,0,0,0,12,0,135096,0,0,0,1,0,0.0,0,-3353,1964,5317,40,False,0,0
0,26,0,0,0,2,0,5,19,1.5,0,0,197,0,0,121,2,2,0,3.7,7136,10.2,0,2016-11-27T14:15:00Z,27 Nov 14:15,0,0,80,0,0,1,0,0,0,0,7,0,13,0,134032,3,0,0,1,3,25.0,0,-1271,1071,2342,40,False,0,1
