assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0,2.7,42,8,2,0,0.8,1.4,2021-08-14T14:00:00Z,59,18,0,0,0,0,1,0,82948,2,3,4.0,1,0,0,0,60,False,0
0,1,23,1,7.2,42,11,0,1,6.5,33.4,2021-08-21T14:00:00Z,90,14,0,0,0,0,2,0,75151,0,2,24.0,9,-12994,4106,17100,60,True,0
0,0,2,0,36.9,42,21,1,0,4.8,6.4,2021-08-28T14:00:00Z,90,3,0,0,0,0,3,0,117718,1,1,5.0,1,30007,43936,13929,60,True,1
0,0,0,0,0.0,42,33,0,0,0.0,0.0,2021-09-11T16:30:00Z,0,6,0,0,0,0,4,0,90355,0,3,0.0,0,-27344,14800,42144,60,False,0
0,0,0,0,0.0,42,41,0,0,0.0,0.0,2021-09-18T16:30:00Z,0,8,0,0,0,0,5,0,76271,0,3,0.0,0,-16252,5919,22171,60,True,0
0,0,0,0,0.0,42,58,0,0,0.0,0.0,2021-09-25T11:30:00Z,0,13,0,0,0,0,6,0,59938,1,0,0.0,0,-17277,2478,19755,59,False,0
0,0,0,0,0.0,42,68,0,0,0.0,0.0,2021-10-03T13:00:00Z,0,17,0,0,0,0,7,0,50986,1,2,0.0,0,-9771,1131,10902,58,False,0
0,0,0,0,0.0,42,72,0,0,0.0,0.0,2021-10-16T14:00:00Z,0,20,0,0,0,0,8,0,46633,3,2,0.0,0,-5000,1458,6458,58,True,0
0,0,3,0,1.0,42,81,0,0,0.1,0.0,2021-10-22T19:00:00Z,13,1,0,0,0,0,9,0,42920,1,3,0.0,1,-3947,718,4665,57,False,0
0,0,2,0,10.5,42,91,2,0,1.3,2.0,2021-10-31T16:30:00Z,18,19,0,0,0,0,10,0,39504,4,1,0.0,1,-3713,484,4197,57,True,0
0,0,-1,0,11.6,42,109,1,0,4.9,0.0,2021-11-05T20:00:00Z,78,16,0,0,0,0,11,0,38127,0,1,39.0,1,-1750,548,2298,57,False,1
0,0,3,0,1.0,42,111,0,0,0.2,1.4,2021-11-20T15:00:00Z,6,4,0,0,0,0,12,0,37583,0,2,0.0,1,-821,1358,2179,56,True,0
1,0,18,0,11.3,42,126,1,0,3.6,22.6,2021-11-27T15:00:00Z,13,7,0,0,0,0,13,0,36690,2,1,2.0,4,-1016,750,1766,56,False,0
0,0,0,0,0.0,42,131,0,0,0.0,0.0,2021-12-01T20:15:00Z,0,12,0,0,0,0,14,0,36683,2,1,0.0,0,-189,760,949,56,True,0
0,0,0,0,0.0,42,141,0,0,0.0,0.0,2021-12-05T16:30:00Z,0,9,0,0,0,0,15,0,35720,1,2,0.0,0,-1024,556,1580,56,True,0
