first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Folarin,Balogun,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,44,FWD
Cédric,Alves Soares,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,DEF
Mohamed,Elneny,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
Fábio,Ferreira Vieira,0,2,7,34,1,15.3,23.0,25.0,0,22,6.3,0,0,0,0.1,54,MID
Gabriel,dos Santos Magalhães,0,0,2,24,0,0.0,13.2,0.0,0,7,1.3,0,0,0,19.0,49,DEF
Kai,Havertz,0,0,5,235,2,67.7,14.8,34.0,0,12,11.6,1,0,1,2.9,74,MID
Rob,Holding,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,DEF
Gabriel,Fernando de Jesus,0,0,1,1,0,0.3,3.0,35.0,0,1,3.8,0,0,0,1.4,79,FWD
Jorge Luiz,Frello Filho,0,0,2,17,1,7.3,7.8,0.0,0,9,1.5,0,0,0,0.2,54,MID
Jakub,Kiwior,0,0,2,91,2,4.9,16.4,14.0,0,14,3.6,0,0,0,0.1,44,DEF
Marcus,Oliveira Alencar,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Gabriel,Martinelli Silva,0,1,10,244,3,58.1,37.6,100.0,0,39,19.6,1,0,0,13.6,80,MID
Eddie,Nketiah,2,1,18,195,1,34.8,58.8,97.0,2,56,19.0,2,0,0,7.0,56,FWD
Martin,Ødegaard,1,0,15,262,2,55.6,68.4,65.0,3,53,18.8,1,0,0,22.8,85,MID
Thomas,Partey,0,0,6,235,2,58.2,53.4,15.0,0,55,12.7,1,0,0,0.4,49,MID
Nicolas,Pépé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,MID
Aaron,Ramsdale,0,0,9,270,3,0.0,40.2,0.0,0,45,4.0,1,0,0,17.2,50,GK
Rúnar Alex,Rúnarsson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK
Bukayo,Saka,2,0,21,268,3,139.7,115.4,134.0,4,78,38.9,1,0,0,66.6,87,MID
William,Saliba,0,1,14,270,3,29.3,78.8,9.0,2,65,11.7,1,0,0,28.3,52,DEF
Albert,Sambi Lokonga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Emile,Smith Rowe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,54,MID
Nuno,Varela Tavares,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,DEF
Kieran,Tierney,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,44,DEF
Takehiro,Tomiyasu,0,0,4,106,1,8.1,10.0,9.0,0,22,2.5,1,1,0,0.2,45,DEF
Leandro,Trossard,0,0,2,62,2,54.7,14.8,10.0,0,18,7.9,0,0,0,2.8,68,MID
Benjamin,White,0,0,9,270,3,43.9,53.0,6.0,1,52,10.3,1,0,1,9.3,55,DEF
Granit,Xhaka,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,60,MID
Oleksandr,Zinchenko,0,0,2,35,1,24.7,7.4,4.0,0,13,3.7,0,0,0,5.1,49,DEF
David,Raya Martin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.0,49,GK
Declan,Rice,0,0,7,270,3,30.4,65.2,33.0,0,58,12.9,1,0,0,5.3,55,MID
Reiss,Nelson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Jurriën,Timber,0,0,0,49,0,2.4,3.6,0.0,0,3,0.6,0,0,1,1.1,48,DEF
