first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Folarin,Balogun,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,FWD
Cédric,Alves Soares,0,0,3,59,0,4.3,2.0,0.0,0,15,0.6,0,0,0,0.5,38,DEF
Mohamed,Elneny,0,1,6,25,0,2.1,4.0,10.0,0,16,1.6,0,0,0,0.1,44,MID
Fábio,Ferreira Vieira,1,3,23,282,2,78.0,82.2,79.0,0,67,23.8,1,1,0,0.1,54,MID
Gabriel,dos Santos Magalhães,3,1,121,2534,23,113.7,598.0,361.0,6,547,107.5,12,0,4,28.1,54,DEF
Kai,Havertz,9,7,133,2106,19,462.4,537.0,697.0,11,369,169.5,12,0,9,6.9,74,MID
Gabriel,Fernando de Jesus,4,5,73,1349,11,364.0,321.6,715.0,10,230,140.2,10,0,6,2.8,77,FWD
Jorge Luiz,Frello Filho,0,2,42,894,11,186.0,155.4,16.0,1,175,35.7,4,0,1,0.2,53,MID
Jakub,Kiwior,1,3,59,850,8,104.4,219.0,90.0,1,233,41.5,5,0,1,1.3,43,DEF
Marcus,Oliveira Alencar,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Gabriel,Martinelli Silva,6,5,111,1824,20,625.6,448.0,663.0,6,372,173.2,10,0,1,4.6,76,MID
Eddie,Nketiah,5,4,71,1065,10,136.3,235.0,417.0,5,206,77.2,6,0,3,3.2,50,FWD
Martin,Ødegaard,7,7,148,2560,20,1180.0,718.6,621.0,21,575,252.1,15,0,2,17.7,86,MID
Thomas,Partey,0,0,13,366,2,65.5,65.2,19.0,0,82,15.1,2,0,0,0.1,48,MID
Nicolas,Pépé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Aaron,Ramsdale,0,0,20,540,5,0.0,73.2,0.0,0,90,7.3,2,0,0,5.5,45,GK
Rúnar Alex,Rúnarsson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK
Bukayo,Saka,14,10,193,2495,25,1097.7,928.4,1092.0,25,668,312.0,12,0,3,57.8,90,MID
William,Saliba,2,1,132,2880,26,130.5,585.8,112.0,8,640,82.9,14,0,4,40.2,59,DEF
Emile,Smith Rowe,0,2,24,322,3,69.9,62.4,118.0,0,72,24.7,3,0,0,0.1,53,MID
Kieran,Tierney,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,DEF
Takehiro,Tomiyasu,1,1,42,709,7,74.5,157.4,66.0,3,161,29.5,3,1,0,0.2,45,DEF
Leandro,Trossard,8,2,100,1207,9,315.3,408.0,583.0,8,280,130.6,7,0,0,2.0,65,MID
Benjamin,White,2,5,141,2469,23,449.1,593.0,160.0,11,632,120.3,14,0,7,18.8,60,DEF
Granit,Xhaka,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,60,MID
Oleksandr,Zinchenko,1,2,102,1668,15,443.7,385.8,133.0,16,453,96.3,9,0,2,5.9,50,DEF
David,Raya Martin,0,0,105,2340,21,0.0,343.6,0.0,3,455,34.2,12,0,1,10.1,51,GK
Declan,Rice,6,5,130,2685,25,558.9,774.6,307.0,13,616,164.3,13,0,3,6.1,55,MID
Reiss,Nelson,0,0,16,256,1,87.7,42.8,39.0,0,58,16.9,1,0,1,0.0,48,MID
Jurriën,Timber,0,0,0,49,0,2.4,3.6,0.0,0,3,0.6,0,0,1,0.4,46,DEF
Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK
Charles,Sagoe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Reuell,Walters,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Bradley,Ibrahim,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Myles,Lewis-Skelly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Ethan,Nwaneri,0,0,1,13,0,12.3,2.0,4.0,0,3,1.8,0,0,0,0.0,45,MID
Mauro,Bandeira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
James,Sweet,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Alexandre,Moreno Lopera,2,0,48,1023,20,156.6,217.6,152.0,5,208,52.6,3,0,2,2.6,50,DEF
Leon,Bailey,9,10,130,1723,26,600.1,581.0,535.0,8,424,171.4,5,0,4,3.6,55,MID
Emiliano,Buendía Stati,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,57,MID
Matty,Cash,2,1,58,1894,32,206.7,419.6,372.0,4,309,100.0,3,0,6,10.7,45,DEF
Calum,Chambers,0,0,1,71,2,0.5,14.4,0.0,0,11,1.5,0,0,1,1.9,38,DEF
Philippe,Coutinho Correia,0,0,2,24,1,2.8,4.0,12.0,0,7,1.8,0,0,0,0.2,58,MID
Keinan,Davis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,FWD
Leander,Dendoncker,1,1,20,118,3,3.9,59.2,37.0,3,64,10.0,0,0,0,0.0,49,MID
Diego Carlos,Santos Silva,0,0,50,1521,26,58.6,308.2,82.0,1,295,44.9,6,0,4,0.4,44,DEF
Lucas,Digne,1,4,80,1956,29,511.9,379.4,187.0,5,374,107.9,6,0,6,2.9,46,DEF
Douglas Luiz,Soares de Paulo,9,5,142,2661,47,817.4,742.6,377.0,25,628,193.9,6,0,10,6.8,55,MID
Jhon,Durán,3,1,33,335,6,43.7,120.0,129.0,4,99,28.6,0,0,5,0.2,50,FWD
Kortney,Hause,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF
Tim,Iroegbunam,0,0,8,120,5,3.4,17.6,0.0,0,26,2.0,0,0,0,0.0,44,MID
Boubacar,Kamara,0,1,40,1653,22,292.7,256.2,44.0,1,247,59.1,7,1,7,0.1,50,MID
Ezri,Konsa Ngoyo,1,1,85,2620,42,161.7,493.2,212.0,7,506,86.9,7,0,5,2.2,45,DEF
Emiliano,Martínez Romero,0,0,111,2790,44,20.0,737.8,0.0,19,602,75.8,8,0,4,12.1,53,GK
John,McGinn,6,4,108,2554,42,640.7,600.8,346.0,9,454,159.0,7,1,7,0.9,53,MID
Tyrone,Mings,0,0,0,30,2,13.0,3.6,5.0,0,5,2.2,0,0,0,1.1,41,DEF
Robin,Olsen,0,0,4,180,5,0.0,66.8,0.0,0,37,6.7,0,0,0,0.6,39,GK
Jaden,Philogene-Bidace,0,0,1,3,1,0.3,0.4,2.0,0,3,0.3,0,0,0,0.1,45,MID
Jacob,Ramsey,1,1,29,848,12,159.3,124.0,182.0,0,101,46.7,0,0,2,0.1,59,MID
Morgan,Sanson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Viljami,Sinisalo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Youri,Tielemans,1,6,66,1433,23,315.3,309.4,117.0,1,273,74.4,4,0,3,0.4,56,MID
Bertrand,Traoré,0,0,2,10,0,0.0,3.0,0.0,0,6,0.3,0,0,0,0.0,50,MID
Ollie,Watkins,19,15,208,2794,45,529.5,958.8,1285.0,28,705,277.3,7,0,4,37.2,88,FWD
Wesley,Moraes Ferreira da Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,FWD
Pau,Torres,2,0,79,2102,30,134.3,419.8,128.0,4,405,68.3,6,0,1,3.2,46,DEF
Moussa,Diaby,5,10,122,1774,29,519.3,433.2,547.0,8,365,149.7,7,0,1,6.0,63,MID
Omari,Kellyman,0,0,1,13,0,0.3,0.4,2.0,0,3,0.3,0,0,0,0.0,45,MID
Filip,Marschall,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Nicolò,Zaniolo,2,0,33,810,13,109.5,142.2,338.0,0,32,58.5,2,0,7,0.1,54,MID
Oliwier,Zych,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Clément,Lenglet,0,1,25,1063,22,40.7,241.2,103.0,0,197,38.4,2,0,2,0.2,45,DEF
Sam,Proctor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Tommi,O'Reilly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
James,Wright,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Kaine,Kesler-Hayden,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,40,DEF
Morgan,Rogers,1,1,21,431,10,65.2,96.2,76.0,0,68,23.6,2,0,2,0.0,50,MID
Joe,Gauci,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,39,GK
Jaidon,Anthony,0,0,3,151,5,4.6,9.0,16.0,0,4,3.0,0,0,1,0.0,49,MID
Philip,Billing,2,3,57,1331,34,302.2,301.0,266.0,3,218,86.7,2,1,3,0.3,51,MID
David,Brooks,1,1,23,271,7,112.4,88.2,113.0,2,71,31.4,0,0,1,0.0,47,MID
Ryan,Christie,0,4,75,2460,49,578.3,493.6,323.0,5,358,139.8,6,0,5,0.1,50,MID
Lewis,Cook,0,3,63,2247,41,579.3,419.4,57.0,5,359,105.8,6,1,5,0.1,50,MID
Siriki,Dembélé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Ryan,Fredericks,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,43,DEF
James,Hill,0,0,3,70,1,2.2,22.4,0.0,0,14,2.5,0,0,0,0.1,40,DEF
Lloyd,Kelly,0,1,38,1268,27,122.4,225.4,44.0,5,235,39.2,3,0,2,0.1,45,DEF
Gavin,Kilkenny,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,MID
Justin,Kluivert,6,1,82,1460,17,249.2,314.0,472.0,2,204,103.8,8,0,4,0.8,46,MID
Jamal,Lowe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Emiliano,Marcondes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,43,MID
Chris,Mepham,0,1,16,613,16,40.0,142.6,27.0,0,113,21.0,1,0,2,0.1,43,DEF
Kieffer,Moore,1,0,14,100,2,27.9,37.4,81.0,2,38,14.1,0,0,0,0.2,46,FWD
Norberto,Murara Neto,0,0,107,2700,50,0.0,829.0,0.0,14,565,82.9,7,0,5,7.0,47,GK
Dango,Ouattara,1,1,42,840,18,200.6,219.6,229.0,3,160,65.2,3,0,2,0.0,47,MID
Ben,Pearson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
