assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,4,1,18.5,152,4,0,0,3.5,6.8,2019-08-10T14:00:00Z,90,7,0,0,0,0,1,0,29043,0,0,10.0,2,0,0,0,65,False,1
0,3,38,1,34.9,152,15,0,1,12.9,53.2,2019-08-17T14:00:00Z,90,18,0,0,0,0,2,0,37116,0,1,41.0,11,1576,6759,5183,65,True,0
0,0,5,0,1.7,152,21,1,0,0.9,2.8,2019-08-23T19:00:00Z,61,2,0,0,0,0,3,0,147543,0,2,4.0,2,90298,108386,18088,65,False,0
0,0,3,0,1.5,152,35,0,0,1.6,2.8,2019-09-01T13:00:00Z,14,20,0,0,0,0,4,0,157751,2,3,12.0,1,7654,42116,34462,65,True,0
0,0,2,0,4.6,152,42,1,0,2.3,0.8,2019-09-15T13:00:00Z,19,3,0,0,0,0,5,0,130770,1,3,18.0,1,-27978,9191,37169,65,False,0
0,0,0,0,12.6,152,55,1,0,2.4,5.8,2019-09-21T14:00:00Z,54,15,0,0,0,0,6,0,114519,2,0,6.0,0,-18406,5559,23965,65,True,1
0,0,0,0,0.0,152,65,0,0,0.0,0.0,2019-09-28T16:30:00Z,0,11,0,0,0,0,7,0,87302,3,1,0.0,0,-27480,1404,28884,65,True,0
0,0,0,0,0.0,152,73,0,0,0.0,0.0,2019-10-05T14:00:00Z,0,5,0,0,0,0,8,0,67388,0,1,0.0,0,-20536,158,20694,65,False,0
0,2,30,1,12.8,152,85,0,1,10.1,47.2,2019-10-19T11:30:00Z,90,19,0,0,0,0,9,0,63074,0,2,41.0,10,-5241,747,5988,65,True,0
0,0,1,0,0.7,152,92,1,0,0.2,0.0,2019-10-26T14:00:00Z,29,4,0,0,0,0,10,0,69391,2,3,2.0,1,5132,6596,1464,65,False,0
0,0,0,0,0.0,152,106,0,0,0.0,0.0,2019-11-03T16:30:00Z,0,17,0,0,0,0,11,0,57271,1,1,0.0,0,-11613,488,12101,65,True,0
0,0,0,0,0.0,152,118,0,0,0.0,0.0,2019-11-09T15:00:00Z,0,16,0,0,0,0,12,0,51397,2,1,0.0,0,-6111,62,6173,65,False,0
0,0,0,0,0.0,152,126,0,0,0.0,0.0,2019-11-23T15:00:00Z,0,14,0,0,0,0,13,0,47449,2,0,0.0,0,-4050,91,4141,64,True,0
0,0,0,0,0.0,152,133,0,0,0.0,0.0,2019-12-01T16:30:00Z,0,9,0,0,0,0,14,0,46216,1,2,0.0,0,-1374,40,1414,64,False,0
1,0,15,0,17.0,152,149,2,0,4.0,22.6,2019-12-04T20:15:00Z,55,10,0,0,0,0,15,0,45834,2,5,0.0,4,-459,133,592,64,False,0
0,0,4,0,0.5,152,154,0,0,0.2,1.4,2019-12-07T12:30:00Z,4,6,0,0,0,0,16,0,46009,1,3,0.0,1,29,533,504,64,True,0
0,0,6,1,14.0,152,167,0,0,2.6,9.0,2019-12-15T14:00:00Z,70,12,0,0,0,0,17,0,45638,1,1,3.0,3,-522,453,975,64,False,0
0,0,0,0,0.0,152,174,0,0,0.0,0.0,2019-12-21T12:30:00Z,0,1,0,0,0,0,18,0,46415,0,0,0.0,0,399,1038,639,64,True,0
0,0,17,1,37.8,152,185,0,0,6.1,11.6,2019-12-26T15:00:00Z,76,5,0,0,0,0,19,0,46436,0,1,12.0,3,-3,809,812,64,True,0
0,0,0,0,0.0,152,196,0,0,0.0,0.0,2019-12-28T15:00:00Z,0,13,0,0,0,0,20,0,46916,2,1,0.0,0,357,898,541,64,False,0
0,0,0,0,0.0,152,205,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,11,0,0,0,0,21,0,46170,1,2,0.0,0,-861,431,1292,64,False,0
0,0,15,1,51.6,152,215,0,0,8.4,16.4,2020-01-11T15:00:00Z,71,4,0,0,0,0,22,0,45300,0,1,16.0,3,-975,454,1429,64,True,0
0,0,1,0,3.8,152,230,1,0,0.6,0.6,2020-01-18T15:00:00Z,45,19,0,0,0,0,23,0,46815,1,1,2.0,1,1245,2082,837,64,False,0
1,0,16,1,27.5,152,233,0,0,8.4,28.6,2020-01-21T19:30:00Z,82,13,0,0,0,0,24,0,47142,2,2,28.0,6,177,1223,1046,64,True,0
0,0,0,0,0.0,152,249,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,18,0,0,0,0,25,0,49619,3,2,0.0,0,2090,3418,1328,64,False,0
0,1,25,0,2.3,152,255,1,1,6.6,42.6,2020-02-08T12:30:00Z,64,7,0,0,0,0,26,0,48789,1,3,21.0,8,-860,990,1850,64,True,0
