assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,5,0,1.9,702,240,2,0,2.6,5.6,2022-02-09T19:45:00Z,30,16,0,0,0,0,24,0,2606,3,2,18.0,1,2357,2745,388,50,True,0
0,0,11,0,30.7,702,249,2,0,4.7,12.6,2022-02-13T14:00:00Z,90,20,0,0,0,0,25,0,3993,2,0,4.0,1,1396,2060,664,50,True,1
0,0,7,0,0.7,702,257,2,0,1.8,17.2,2022-02-19T17:30:00Z,90,12,0,0,0,0,26,0,6032,3,2,0.0,2,1268,2090,822,50,False,0
0,0,6,0,3.5,702,124,0,0,0.8,4.2,2022-02-23T19:30:00Z,45,5,0,0,0,0,26,0,6032,0,1,0.0,1,1268,2090,822,50,False,0
0,0,0,0,0.0,702,267,0,0,0.0,0.0,2022-02-26T12:30:00Z,0,10,0,0,0,0,27,0,4117,4,0,0.0,0,-873,814,1687,50,False,0
0,0,12,1,4.8,702,278,0,0,2.0,12.8,2022-03-07T20:00:00Z,90,8,0,0,0,0,28,0,2621,0,5,2.0,3,-1721,160,1881,49,True,0
0,0,18,0,33.8,702,288,3,0,7.1,17.6,2022-03-12T17:30:00Z,87,13,0,0,0,0,29,0,3951,2,3,20.0,2,1036,1552,516,49,False,0
1,2,30,1,20.8,702,153,0,0,6.4,43.6,2022-03-16T19:30:00Z,90,4,0,0,0,0,29,0,3951,2,0,0.0,8,1036,1552,516,49,False,0
0,0,18,0,6.2,702,298,1,0,1.7,9.6,2022-03-20T16:30:00Z,90,19,0,0,0,0,30,0,5988,1,3,1.0,2,1821,2171,350,49,True,0
0,0,13,0,15.1,702,308,1,0,4.9,25.6,2022-04-03T15:30:00Z,74,14,0,0,0,0,31,0,6656,1,5,8.0,1,861,1736,875,49,True,1
