assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,17,0,0,1,0,0,0,0.0,17,0.0,0,2017-08-11T18:45:00Z,11 Aug 19:45,0,0,0,0,0,9,0,0,0,0,0,0,1,0,1541,0,0,0,3,4,0.0,0,0,0,0,70,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,17,0,0,16,0,0,0,0.0,528,0.0,0,2017-08-19T16:30:00Z,19 Aug 17:30,0,0,0,0,0,15,0,0,0,0,0,0,2,0,1777,0,0,0,0,1,0.0,0,-319,82,401,70,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,17,0,0,28,0,0,0,0.0,1044,0.0,0,2017-08-27T15:00:00Z,27 Aug 16:00,0,0,0,0,0,10,0,0,0,0,0,0,3,0,1801,0,0,0,0,4,0.0,0,-227,54,281,70,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,17,0,0,31,0,0,0,0.0,1575,0.0,0,2017-09-09T14:00:00Z,09 Sep 15:00,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1952,0,0,0,0,3,0.0,0,-178,68,246,70,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,17,0,0,49,0,0,0,0.0,2119,0.0,0,2017-09-17T12:30:00Z,17 Sep 13:30,0,0,0,0,0,5,0,0,0,0,0,0,5,0,2026,0,0,0,0,0,0.0,0,-58,48,106,70,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,17,0,0,60,0,0,0,0.0,2665,0.0,0,2017-09-25T19:00:00Z,25 Sep 20:00,0,0,0,0,0,19,0,0,0,0,0,0,6,0,2141,0,0,0,0,2,0.0,0,-76,53,129,70,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,17,0,0,68,0,0,0,0.0,3215,0.0,0,2017-10-01T11:00:00Z,01 Oct 12:00,0,0,0,0,0,3,0,0,0,0,0,0,7,0,2236,0,0,0,0,2,0.0,0,-71,45,116,70,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,17,0,0,80,0,0,0,0.0,3769,0.0,0,2017-10-14T16:30:00Z,14 Oct 17:30,0,0,0,0,0,18,0,0,0,0,0,0,8,0,2288,0,0,0,1,2,0.0,0,-79,39,118,70,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,17,0,0,82,0,0,0,0.0,4326,0.0,0,2017-10-22T12:30:00Z,22 Oct 13:30,0,0,0,0,0,7,0,0,0,0,0,0,9,0,2315,0,0,0,5,2,0.0,0,-28,27,55,69,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,17,0,0,91,0,0,0,0.0,4885,0.0,0,2017-10-28T14:00:00Z,28 Oct 15:00,0,0,0,0,0,16,0,0,0,0,0,0,10,0,2343,0,0,0,1,2,0.0,0,-31,33,64,69,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,17,0,0,110,0,0,0,0.0,5448,0.0,0,2017-11-05T14:15:00Z,05 Nov 14:15,0,0,0,0,0,11,0,0,0,0,0,0,11,0,2379,0,0,0,1,3,0.0,0,-33,23,56,69,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,17,0,0,111,0,0,0,0.0,6014,0.0,0,2017-11-18T12:30:00Z,18 Nov 12:30,0,0,0,0,0,17,0,0,0,0,0,0,12,0,2450,0,0,0,0,2,0.0,0,-24,34,58,69,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,17,0,0,130,0,0,0,0.0,6583,0.0,0,2017-11-26T14:00:00Z,26 Nov 14:00,0,0,0,0,0,4,0,0,0,0,0,0,13,0,2470,0,0,0,1,0,0.0,0,-22,13,35,69,False,0,0
