assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,6,0,24.6,586,0.14,0.14,0.00,0.54,30,0,0,3.8,9.0,2022-08-21T13:00:00Z,27,19,0,0,0,0,3,0,2673,0,2,0,4.0,1,2064,2706,642,45,False,0
0,0,20,1,41.2,586,0.69,0.71,0.02,1.38,34,0,0,6.4,16.2,2022-08-27T14:00:00Z,78,11,0,0,0,0,4,0,6360,1,0,1,7.0,6,2642,3826,1184,45,True,0
1,1,20,0,2.6,586,0.01,0.01,0.00,0.50,44,2,0,1.2,5.0,2022-08-30T18:30:00Z,62,9,0,0,0,0,5,0,37925,1,1,2,4.0,4,29279,31391,2112,45,False,1
0,0,3,0,0.5,586,0.01,0.01,0.00,0.00,53,0,0,0.1,0.0,2022-09-04T13:00:00Z,1,10,0,0,0,0,6,0,101579,0,2,5,0.0,1,57026,65743,8717,45,True,0
0,0,10,0,15.7,586,0.12,0.12,0.00,1.31,87,3,0,3.9,22.8,2022-10-01T14:00:00Z,75,12,0,0,0,0,9,0,56914,1,3,3,0.0,0,-11889,1609,13498,45,False,1
0,0,7,0,6.8,586,0.06,0.06,0.00,0.78,93,1,0,1.6,7.6,2022-10-08T16:30:00Z,66,18,0,0,0,0,10,0,56342,1,1,0,2.0,2,-1302,5181,6483,45,True,0
0,0,10,0,30.2,586,0.21,0.21,0.00,0.44,102,1,0,4.7,15.2,2022-10-14T19:00:00Z,45,4,0,0,0,0,11,0,63325,1,0,2,2.0,1,6267,9541,3274,45,False,0
0,0,0,0,0.0,586,0.00,0.00,0.00,0.00,114,0,0,0.0,0.0,2022-10-18T18:30:00Z,0,16,0,0,0,0,12,0,70966,0,0,0,0.0,0,3382,7417,4035,45,True,0
0,0,-2,0,1.4,586,0.03,0.07,0.04,0.16,125,1,0,0.0,0.0,2022-10-22T14:00:00Z,24,13,0,0,0,0,13,0,54816,0,1,3,0.0,0,-12042,466,12508,45,False,1
1,2,25,0,49.4,586,0.05,0.08,0.03,1.36,134,1,0,9.7,25.4,2022-10-29T14:00:00Z,90,6,0,0,0,0,14,0,48400,1,1,4,22.0,7,-6824,987,7811,45,True,0
0,0,8,0,19.2,586,0.05,0.09,0.04,1.10,150,2,0,4.9,7.6,2022-11-05T15:00:00Z,81,20,0,0,0,0,15,0,70886,1,3,2,22.0,1,20298,22846,2548,45,False,0
0,0,7,0,2.7,586,0.01,0.02,0.01,1.45,152,2,0,1.9,4.2,2022-11-13T14:00:00Z,80,2,0,0,0,0,16,0,80159,1,2,1,12.0,1,9227,17266,8039,45,True,0
0,0,10,0,13.1,586,0.02,0.02,0.00,1.91,170,1,0,3.6,16.4,2022-12-26T15:00:00Z,90,17,0,0,0,0,17,0,82484,1,3,1,6.0,2,1615,46210,44595,45,False,0
0,0,11,0,7.2,586,0.01,0.01,0.00,2.88,172,4,0,2.4,14.8,2022-12-31T17:30:00Z,90,1,0,0,0,0,18,0,82293,1,4,2,2.0,0,-611,4616,5227,45,True,0
0,0,15,0,13.5,586,0.03,0.05,0.02,1.31,186,1,0,4.0,18.2,2023-01-03T19:45:00Z,90,8,0,0,0,0,19,0,83995,1,4,1,8.0,2,1443,6370,4927,45,False,0
0,0,25,1,14.4,586,0.02,0.02,0.00,1.03,193,0,0,3.3,10.4,2023-01-14T15:00:00Z,90,12,0,0,0,0,20,0,80881,1,0,3,8.0,6,-3306,6188,9494,45,True,0
2,2,33,0,29.5,586,0.09,0.10,0.01,1.30,206,2,0,7.9,47.4,2023-01-21T15:00:00Z,90,10,0,0,0,0,21,0,122798,1,2,2,2.0,9,39730,45749,6019,45,False,0
0,0,23,1,6.1,586,0.06,0.07,0.01,1.34,213,0,0,2.2,12.8,2023-02-04T15:00:00Z,90,3,0,0,0,0,22,0,310318,1,0,1,3.0,6,179325,195544,16219,46,True,0
1,2,33,0,45.3,586,0.37,0.44,0.07,0.89,223,1,0,10.2,50.0,2023-02-11T15:00:00Z,90,7,0,0,0,0,23,0,377768,1,1,1,7.0,7,66440,78934,12494,46,False,0
0,2,27,1,23.1,586,0.06,0.15,0.09,0.13,233,0,0,4.5,7.2,2023-02-18T15:00:00Z,61,9,0,0,0,0,24,0,487143,1,1,0,15.0,8,106493,115394,8901,47,True,0
0,0,27,1,24.1,586,0.06,0.08,0.02,0.38,254,0,0,3.8,11.0,2023-03-04T15:00:00Z,75,19,0,0,0,0,26,0,828445,1,0,4,3.0,6,347482,404147,56665,47,True,0
0,0,16,0,6.3,586,0.02,0.04,0.02,1.54,265,2,0,2.5,10.4,2023-03-11T15:00:00Z,90,11,0,0,0,0,27,0,1365716,1,2,2,8.0,1,520045,535422,15377,48,False,0
0,2,27,1,33.7,586,0.05,0.14,0.09,1.20,73,0,0,7.9,26.0,2023-03-15T19:30:00Z,90,7,0,0,0,0,27,0,1365716,1,0,1,19.0,8,520045,535422,15377,48,True,0
0,0,17,0,58.0,586,0.28,0.36,0.08,1.50,283,3,0,8.9,18.8,2023-04-01T14:00:00Z,82,4,0,0,0,0,29,0,1482142,1,3,3,12.0,1,262833,283754,20921,48,True,0
0,0,23,1,26.4,586,0.14,0.16,0.02,1.92,62,0,0,5.4,20.6,2023-04-04T18:45:00Z,90,3,0,0,0,0,29,0,1482142,1,2,0,7.0,6,262833,283754,20921,48,False,0
0,0,14,0,19.7,586,0.14,0.14,0.00,0.83,299,2,0,3.6,14.2,2023-04-08T14:00:00Z,90,18,0,0,0,0,30,0,1426327,1,1,2,2.0,1,-36315,44972,81287,48,False,0
0,0,8,0,13.9,586,0.02,0.29,0.27,0.60,302,1,0,5.7,18.2,2023-04-15T14:00:00Z,90,6,0,0,0,0,31,0,1408968,1,2,1,25.0,2,-18468,37158,55626,48,False,0
0,0,5,0,8.5,586,0.02,0.08,0.06,1.56,324,2,0,1.3,0.0,2023-04-26T18:30:00Z,72,16,0,0,0,0,33,0,1460864,1,1,3,10.0,1,158399,184543,26144,48,False,0
1,0,37,1,41.4,586,0.13,0.60,0.47,0.70,334,0,0,8.5,32.4,2023-04-29T14:00:00Z,90,20,0,0,0,0,34,0,1576013,1,0,6,11.0,9,96739,142306,45567,48,True,0
0,1,28,1,35.4,586,0.02,0.04,0.02,1.38,274,0,0,6.3,19.0,2023-05-04T19:00:00Z,90,14,0,0,0,0,34,0,1576013,1,0,1,9.0,7,96739,142306,45567,48,True,0
0,0,9,0,21.6,586,0.07,0.11,0.04,2.28,342,5,0,3.9,8.8,2023-05-08T16:30:00Z,90,8,0,0,0,0,35,0,1839585,1,5,1,9.0,0,274395,289241,14846,49,True,0
1,3,37,1,12.4,586,0.29,0.51,0.22,0.84,351,0,1,8.9,50.0,2023-05-14T15:30:00Z,90,1,0,0,0,0,36,0,1987023,1,3,0,27.0,17,143866,183632,39766,49,False,1
