assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,359,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,20,0,0,0,0,1,0,28676,2,0,0.0,0,0,0,0,60,True,0
0,0,0,0,0.0,359,10,0,0,0.0,0.0,2020-09-21T17:00:00Z,0,2,0,0,0,0,2,0,18158,0,1,0.0,0,-11948,1069,13017,60,False,0
0,0,0,0,0.0,359,25,0,0,0.0,0.0,2020-09-27T11:00:00Z,0,10,0,0,0,0,3,0,10410,1,0,0.0,0,-8115,130,8245,59,True,0
0,0,0,0,0.0,359,29,0,0,0.0,0.0,2020-10-04T13:00:00Z,0,1,0,0,0,0,4,0,7857,1,2,0.0,0,-2894,42,2936,59,False,0
0,0,0,0,0.0,359,46,0,0,0.0,0.0,2020-10-18T11:00:00Z,0,8,0,0,0,0,5,0,6546,1,1,0.0,0,-1399,88,1487,58,True,0
0,0,0,0,0.0,359,54,0,0,0.0,0.0,2020-10-24T19:00:00Z,0,11,0,0,0,0,6,0,6011,1,2,0.0,0,-590,38,628,58,False,0
0,0,0,0,0.0,359,66,0,0,0.0,0.0,2020-10-31T12:30:00Z,0,12,0,0,0,0,7,0,5845,1,0,0.0,0,-206,239,445,58,True,0
0,0,0,0,0.0,359,71,0,0,0.0,0.0,2020-11-07T17:30:00Z,0,5,0,0,0,0,8,0,5384,1,4,0.0,0,-464,29,493,58,False,0
0,0,0,0,0.0,359,86,0,0,0.0,0.0,2020-11-22T14:00:00Z,0,19,0,0,0,0,9,0,5138,1,0,0.0,0,-259,41,300,58,True,0
0,0,5,0,20.9,359,97,0,0,3.8,4.4,2020-11-28T20:00:00Z,16,18,0,0,0,0,10,0,5067,0,1,13.0,1,-90,42,132,58,False,0
0,0,0,0,0.0,359,105,0,0,0.0,0.0,2020-12-06T14:15:00Z,0,9,0,0,0,0,11,0,5310,2,1,0.0,0,169,329,160,58,True,0
0,0,1,0,0.1,359,117,1,0,0.2,0.0,2020-12-13T12:00:00Z,20,16,0,0,0,0,12,0,5111,0,3,2.0,1,-205,58,263,58,False,0
0,0,-1,0,0.7,359,124,0,0,2.9,4.2,2020-12-17T20:00:00Z,27,13,0,0,0,0,13,0,5114,3,2,24.0,1,-20,84,104,58,True,0
0,0,0,0,0.0,359,129,0,0,0.0,0.0,2020-12-20T12:00:00Z,0,3,0,0,0,0,14,0,5237,1,1,0.0,0,94,218,124,58,False,0
0,0,0,0,0.8,359,146,1,0,0.2,0.0,2020-12-26T20:00:00Z,14,7,0,0,0,0,15,0,5170,1,0,2.0,1,-86,159,245,58,True,0
