assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,580,31,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,1,0,0,0,0,4,0,2476,0,1,0.0,0,1577,2132,555,45,False,0
0,0,14,0,0.6,580,47,3,0,1.8,17.4,2021-09-18T14:00:00Z,90,18,0,0,0,0,5,0,2861,3,1,0.0,1,120,653,533,45,True,0
0,0,7,0,10.7,580,55,1,0,2.4,13.0,2021-09-25T14:00:00Z,68,8,0,0,0,0,6,0,3573,0,2,0.0,1,317,887,570,45,False,1
0,0,25,1,0.3,580,62,0,0,1.9,18.6,2021-10-02T14:00:00Z,90,5,0,0,0,0,7,0,3858,0,0,0.0,6,39,636,597,45,False,0
0,0,17,1,0.1,580,78,0,0,1.9,11.0,2021-10-16T14:00:00Z,90,4,0,0,0,0,8,0,4591,0,0,8.0,5,401,872,471,45,True,1
0,0,13,0,0.3,580,84,7,0,1.7,15.6,2021-10-23T11:30:00Z,90,6,0,0,0,0,9,0,5365,0,7,1.0,-1,516,959,443,45,False,0
0,0,7,0,0.4,580,97,2,0,1.6,11.8,2021-10-31T14:00:00Z,90,10,0,0,0,0,10,0,5608,2,1,4.0,1,-105,845,950,45,True,0
0,0,0,0,0.0,580,102,0,0,0.0,0.0,2021-11-06T15:00:00Z,0,3,0,0,0,0,11,0,5709,2,1,0.0,0,-85,686,771,45,False,0
0,0,0,0,0.0,580,117,0,0,0.0,0.0,2021-11-20T15:00:00Z,0,16,0,0,0,0,12,0,4894,1,2,0.0,0,-838,107,945,45,True,0
0,0,0,0,0.0,580,130,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,20,0,0,0,0,13,0,4935,0,0,0.0,0,-102,266,368,45,True,0
0,0,0,0,0.0,580,138,0,0,0.0,0.0,2021-11-30T19:30:00Z,0,14,0,0,0,0,14,0,4916,1,1,0.0,0,-95,242,337,45,False,0
0,0,0,0,0.0,580,147,0,0,0.0,0.0,2021-12-05T14:00:00Z,0,17,0,0,0,0,15,0,4667,0,3,0.0,0,-312,103,415,45,False,0
0,0,12,0,0.2,580,160,1,0,7.5,22.4,2021-12-11T17:30:00Z,90,13,0,0,0,0,16,0,4632,1,0,52.0,2,-131,107,238,45,True,0
0,0,9,0,0.2,580,167,1,0,1.8,17.4,2021-12-14T19:45:00Z,45,2,0,0,0,0,17,0,5552,2,0,0.0,1,818,1069,251,44,True,0
0,0,7,0,0.2,580,187,5,0,1.2,11.4,2021-12-26T15:00:00Z,90,1,0,0,0,0,19,0,4785,5,0,0.0,0,-132,151,283,44,True,0
