assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,4,1,15.8,78,1,0,0,2.6,6.2,2021-08-13T19:00:00Z,90,1,0,0,0,0,1,0,2065056,0,2,4.0,2,0,0,0,65,True,0
0,0,5,1,1.4,78,13,0,0,7.2,4.2,2021-08-21T14:00:00Z,90,7,0,0,0,0,2,0,2181813,0,0,66.0,2,1996,132302,130306,65,False,0
0,1,22,0,15.1,78,21,1,1,7.9,31.2,2021-08-28T14:00:00Z,90,2,0,0,0,0,3,0,1707531,1,1,33.0,6,-475891,46038,521929,64,False,1
0,0,15,0,36.8,78,32,1,0,5.5,8.2,2021-09-11T14:00:00Z,90,4,0,0,0,0,4,0,1395526,1,0,10.0,2,-342559,121918,464477,64,True,0
1,3,46,1,28.3,78,50,0,1,11.3,54.8,2021-09-18T11:30:00Z,90,20,0,0,0,0,5,0,1107587,2,0,30.0,12,-295137,35395,330532,63,False,0
1,0,19,0,26.3,78,52,3,0,7.5,21.6,2021-09-25T16:30:00Z,90,11,0,0,0,0,6,0,1158358,3,3,27.0,5,27849,140593,112744,63,True,0
0,0,8,0,28.7,78,69,1,0,6.4,15.8,2021-10-03T13:00:00Z,90,19,0,0,0,0,7,0,1235115,2,1,19.0,2,66774,150519,83745,63,False,0
0,0,4,0,1.5,78,73,1,0,5.3,12.8,2021-10-16T16:30:00Z,90,6,0,0,0,0,8,0,1270414,1,0,39.0,2,26852,127563,100711,64,True,0
0,0,3,0,32.8,78,82,2,0,9.3,16.8,2021-10-24T13:00:00Z,90,9,0,0,0,0,9,0,1486617,2,1,43.0,2,205450,261368,55918,65,True,0
0,0,0,0,0.4,78,92,3,0,4.3,0.0,2021-10-30T14:00:00Z,90,5,0,0,0,0,10,0,1739899,1,3,43.0,2,238131,316225,78094,66,False,0
0,0,2,0,3.4,78,102,2,0,3.4,2.6,2021-11-06T15:00:00Z,90,15,0,0,0,0,11,0,1975809,2,1,28.0,1,224320,281534,57214,67,True,1
0,0,22,0,11.4,78,116,3,1,10.2,44.4,2021-11-20T15:00:00Z,90,14,0,0,0,0,12,0,1830244,3,3,46.0,6,-136963,54415,191378,67,False,0
0,3,36,1,6.2,78,122,0,1,7.3,50.0,2021-11-28T14:00:00Z,90,8,0,0,0,0,13,0,1821342,0,1,17.0,9,-17244,61266,78510,67,True,0
0,0,5,0,12.0,78,140,2,0,8.0,11.8,2021-12-02T19:30:00Z,90,17,0,0,0,0,14,0,1854659,0,2,56.0,2,28665,86337,57672,67,False,0
0,0,0,0,0.0,78,143,0,0,0.0,0.0,2021-12-05T14:00:00Z,0,10,0,0,0,0,15,0,1946010,2,2,0.0,0,86245,151043,64798,67,False,0
0,0,0,0,0.0,78,152,0,0,0.0,0.0,2021-12-10T20:00:00Z,0,18,0,0,0,0,16,0,1279628,1,2,0.0,0,-632695,21089,653784,66,True,0
0,0,5,0,34.8,78,182,2,0,8.2,11.2,2021-12-26T20:00:00Z,90,4,0,0,0,0,19,0,1091551,0,2,36.0,1,51666,82016,30350,66,False,1
0,0,9,0,1.2,78,192,1,0,1.5,11.6,2021-12-29T20:15:00Z,90,12,0,0,0,0,20,0,1003057,1,0,2.0,2,-34846,9588,44434,66,True,0
0,0,1,0,13.2,78,202,1,0,1.6,0.0,2022-01-02T14:00:00Z,90,2,0,0,0,0,21,0,1266111,1,2,5.0,1,119122,167369,48247,66,True,1
0,0,-4,0,2.4,78,176,4,0,6.3,1.2,2022-01-11T19:45:00Z,90,16,0,0,0,0,21,0,1266111,1,4,59.0,1,119122,167369,48247,66,False,1
0,0,5,0,7.2,78,214,3,0,6.0,14.4,2022-01-16T14:00:00Z,90,11,0,0,0,0,22,0,1001060,0,3,38.0,2,-100361,38596,138957,66,False,0
0,2,34,0,32.3,78,162,3,1,16.3,47.0,2022-01-19T20:00:00Z,90,13,0,0,0,0,22,0,1001060,3,1,84.0,8,-100361,38596,138957,66,True,0
