assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,52,0,0,0,0.0,3197,0.0,0,2017-09-23T14:00:00Z,23 Sep 15:00,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,1,2,0.0,0,0,0,0,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,61,0,0,0,0.0,3747,0.0,0,2017-09-30T14:00:00Z,30 Sep 15:00,0,0,0,0,0,9,0,0,0,0,0,0,7,0,7664,0,0,0,0,0,0.0,0,6202,7014,812,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,79,0,0,0,0.0,4301,0.0,0,2017-10-14T14:00:00Z,14 Oct 15:00,0,0,0,0,0,17,0,0,0,0,0,0,8,0,11351,0,0,0,0,1,0.0,0,2883,3717,834,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,87,0,0,0,0.0,4858,0.0,0,2017-10-21T14:00:00Z,21 Oct 15:00,0,0,0,0,0,15,0,0,0,0,0,0,9,0,11751,0,0,0,2,1,0.0,0,265,638,373,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,92,0,0,0,0.0,5417,0.0,0,2017-10-28T16:30:00Z,28 Oct 17:30,0,0,0,0,0,5,0,0,0,0,0,0,10,0,12283,0,0,0,1,0,0.0,0,323,833,510,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,104,0,0,0,0.0,5980,0.0,0,2017-11-04T15:00:00Z,04 Nov 15:00,0,0,0,0,0,13,0,0,0,0,0,0,11,0,12711,0,0,0,1,0,0.0,0,254,650,396,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,112,0,0,0,0.0,6546,0.0,0,2017-11-18T15:00:00Z,18 Nov 15:00,0,0,0,0,0,8,0,0,0,0,0,0,12,0,12938,0,0,0,0,4,0.0,0,75,408,333,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,127,0,0,0,0.0,7115,0.0,0,2017-11-25T15:00:00Z,25 Nov 15:00,0,0,0,0,0,16,0,0,0,0,0,0,13,0,13156,0,0,0,0,0,0.0,0,139,350,211,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,136,0,0,0,0.0,7685,0.0,0,2017-11-29T19:45:00Z,29 Nov 19:45,0,0,0,0,0,4,0,0,0,0,0,0,14,0,13247,0,0,0,2,1,0.0,0,25,215,190,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,142,0,0,0,0.0,8256,0.0,0,2017-12-03T13:30:00Z,03 Dec 13:30,0,0,0,0,0,14,0,0,0,0,0,0,15,0,13275,0,0,0,1,1,0.0,0,-30,196,226,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,152,0,0,0,0.0,8830,0.0,0,2017-12-09T15:00:00Z,09 Dec 15:00,0,0,0,0,0,6,0,0,0,0,0,0,16,0,13253,0,0,0,2,2,0.0,0,-82,194,276,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,164,0,0,0,0.0,9407,0.0,0,2017-12-13T20:00:00Z,13 Dec 20:00,0,0,0,0,0,12,0,0,0,0,0,0,17,0,13361,0,0,0,0,1,0.0,0,62,279,217,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,172,0,0,0,0.0,9985,0.0,0,2017-12-17T16:30:00Z,17 Dec 16:30,0,0,0,0,0,10,0,0,0,0,0,0,18,0,13421,0,0,0,4,0,0.0,0,24,236,212,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,549,0,0,186,0,0,0,0.0,10565,0.0,0,2017-12-23T15:00:00Z,23 Dec 15:00,0,0,0,0,0,11,0,0,0,0,0,0,19,0,13577,0,0,0,0,4,0.0,0,92,339,247,40,False,0,0
