assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,48,0,0,0,1,1,1,38,6.1,1,0,535,0,0,39,1,0,0,0.9,2093,1.6,0,2017-09-10T15:00:00Z,10 Sep 16:00,0,0,68,0,0,13,0,0,0,0,3,0,4,0,108550,7,0,1,1,0,1.0,3,104734,116298,11564,50,True,0,0
0,16,0,0,0,7,0,2,13,3.6,5,0,535,0,0,46,0,0,0,1.4,2637,10.6,0,2017-09-16T16:30:00Z,16 Sep 17:30,0,0,57,0,0,17,0,0,0,0,7,0,5,0,125778,4,0,0,0,0,0.0,1,14951,30342,15391,50,False,0,0
0,6,0,0,0,4,0,0,5,5.3,0,0,535,0,0,57,0,1,0,1.0,3183,2.6,0,2017-09-23T14:00:00Z,23 Sep 15:00,0,0,5,0,1,18,0,0,0,0,0,0,6,0,120067,0,0,0,2,1,2.0,1,-6944,11260,18204,50,True,0,0
0,67,0,0,0,15,0,0,59,27.8,2,0,535,0,0,67,1,1,0,4.2,3733,11.6,2,2017-09-30T14:00:00Z,30 Sep 15:00,0,0,90,0,0,20,0,0,0,0,12,0,7,0,102049,2,2,1,0,1,3.0,1,-18558,3379,21937,50,False,0,1
0,0,0,0,0,0,0,0,0,0.0,0,0,535,0,0,78,0,0,0,0.0,4287,0.0,0,2017-10-14T14:00:00Z,14 Oct 15:00,0,0,0,0,0,8,0,0,0,0,0,0,8,0,78741,0,0,0,0,2,0.0,0,-23711,2872,26583,49,True,0,0
0,44,0,0,0,12,0,3,40,22.6,2,0,535,0,0,88,0,2,0,4.1,4844,9.2,1,2017-10-21T14:00:00Z,21 Oct 15:00,0,0,77,0,0,9,0,0,0,0,4,0,9,0,64933,6,1,1,2,1,9.0,2,-13873,474,14347,49,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,535,0,0,91,0,0,0,0.0,5403,0.0,0,2017-10-28T14:00:00Z,28 Oct 15:00,0,0,0,0,0,1,0,0,0,0,0,0,10,0,47859,0,0,0,1,2,0.0,0,-17146,418,17564,49,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,535,0,0,107,0,0,0,0.0,5966,0.0,0,2017-11-04T15:00:00Z,04 Nov 15:00,0,0,0,0,0,3,0,0,0,0,0,0,11,0,38233,0,0,0,1,0,0.0,0,-9655,96,9751,48,True,0,0
0,33,0,0,0,5,0,1,27,14.4,3,0,535,0,0,114,1,2,0,3.3,6532,1.6,1,2017-11-18T15:00:00Z,18 Nov 15:00,0,0,90,0,0,4,0,0,0,0,3,0,12,0,32967,6,0,3,0,2,17.0,2,-5319,244,5563,48,False,0,0
0,42,0,0,0,11,1,1,33,10.1,3,0,535,0,0,127,1,0,0,4.2,7101,4.8,0,2017-11-25T15:00:00Z,25 Nov 15:00,0,0,70,0,0,2,0,0,0,0,5,0,13,0,30495,2,2,2,0,0,27.0,3,-2536,361,2897,48,True,0,0
