assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,290,6,0,0,0.0,0.0,2021-08-14T11:30:00Z,0,10,0,0,0,0,1,0,135410,1,5,0.0,0,0,0,0,40,True,0
0,0,0,0,0.0,290,16,0,0,0.0,0.0,2021-08-21T14:00:00Z,0,12,0,0,0,0,2,0,155546,0,5,0.0,0,-7120,11847,10233,40,False,0
0,0,14,0,3.1,290,26,2,0,1.7,14.0,2021-08-28T14:00:00Z,90,9,0,0,0,0,3,0,184362,2,1,0.0,1,20771,30162,9391,40,True,0
0,0,15,0,11.8,290,31,1,0,4.1,25.2,2021-09-11T14:00:00Z,90,1,0,0,0,0,4,0,492960,0,1,4.0,2,263252,370968,107716,40,False,0
0,0,6,0,2.3,290,47,3,0,1.9,4.6,2021-09-18T14:00:00Z,90,18,0,0,0,0,5,0,581362,3,1,12.0,0,90238,139279,49041,40,True,1
0,0,5,0,3.9,290,55,2,0,1.1,0.8,2021-09-25T14:00:00Z,85,8,0,0,0,0,6,0,573614,0,2,6.0,0,-6917,29814,36731,40,False,1
0,0,0,0,0.0,290,62,0,0,0.0,0.0,2021-10-02T14:00:00Z,0,5,0,0,0,0,7,0,556897,0,0,0.0,0,-18149,20172,38321,40,False,0
0,0,0,0,0.0,290,78,0,0,0.0,0.0,2021-10-16T14:00:00Z,0,4,0,0,0,0,8,0,524840,0,0,0.0,0,-33161,7888,41049,40,True,0
0,0,5,0,11.6,290,84,4,0,2.0,6.2,2021-10-23T11:30:00Z,45,6,0,0,0,0,9,0,496808,0,7,2.0,-1,-28155,2736,30891,40,False,0
0,0,0,0,0.0,290,97,0,0,0.0,0.0,2021-10-31T14:00:00Z,0,10,0,0,0,0,10,0,464163,2,1,0.0,0,-33711,2187,35898,40,True,0
0,0,16,0,22.1,290,102,1,0,4.8,19.8,2021-11-06T15:00:00Z,90,3,0,0,0,0,11,0,444718,2,1,6.0,2,-21496,1346,22842,40,False,0
