assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,488,0,0,5,0,0,0,0.0,488,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,0,0,0,7,0,0,0,0,0,0,1,0,10521,0,0,0,0,1,0.0,0,0,0,0,55,False,0,0
0,11,0,0,0,-2,0,0,8,14.4,0,0,488,0,0,18,1,0,0,8.7,999,12.2,1,2017-08-20T12:30:00Z,20 Aug 13:30,0,0,38,0,0,8,0,0,0,0,1,0,2,0,8439,2,0,0,0,1,60.0,0,-2898,683,3581,55,False,0,1
0,22,0,0,1,31,1,1,14,17.2,0,0,488,0,0,26,4,0,1,7.6,1515,32.2,2,2017-08-26T14:00:00Z,26 Aug 15:00,0,0,71,0,1,20,0,0,0,0,4,0,3,0,7480,1,0,1,0,3,27.0,7,-1338,1271,2609,55,True,1,0
0,29,0,0,0,6,1,1,16,26.3,0,0,488,0,0,39,1,0,0,14.3,2046,14.4,2,2017-09-10T15:00:00Z,10 Sep 16:00,0,0,78,0,0,16,0,0,0,0,3,0,4,0,18158,1,0,1,1,0,102.0,2,8779,13149,4370,55,False,0,0
0,18,0,3,0,-6,0,1,12,11.9,0,0,488,0,0,45,0,1,0,5.6,2590,3.4,1,2017-09-16T14:00:00Z,16 Sep 15:00,0,0,77,0,0,15,0,0,0,0,2,0,5,0,31867,1,0,3,1,2,41.0,2,12948,17736,4788,55,True,0,0
0,9,0,2,0,-2,0,0,7,3.0,1,0,488,0,0,59,2,1,0,1.3,3136,0.0,0,2017-09-24T15:00:00Z,24 Sep 16:00,0,0,70,0,0,3,0,0,0,0,0,0,6,0,42345,1,1,2,0,1,13.0,2,9398,16097,6699,55,False,0,0
0,21,0,0,2,31,0,2,9,3.3,0,0,488,0,0,70,2,1,1,6.4,3686,41.6,0,2017-10-01T15:30:00Z,01 Oct 16:30,0,0,78,0,0,10,0,0,0,0,1,0,7,0,36729,2,2,0,1,1,19.0,8,-6056,3504,9560,55,True,0,0
0,15,0,0,0,5,0,0,12,25.0,1,0,488,0,0,77,1,1,0,3.9,4240,1.4,2,2017-10-15T15:00:00Z,15 Oct 16:00,0,0,67,0,0,14,0,0,0,0,2,0,8,0,72034,1,0,2,2,2,13.0,2,33179,42041,8862,55,False,0,0
0,16,0,0,0,4,1,4,10,11.3,0,0,488,0,0,85,2,0,0,2.0,4797,6.8,1,2017-10-21T14:00:00Z,21 Oct 15:00,0,0,77,0,0,6,0,0,0,0,1,0,9,0,74334,0,0,0,0,1,2.0,1,1673,10995,9322,55,True,0,1
0,34,0,0,0,4,0,3,22,17.1,1,0,488,0,0,94,2,1,0,3.6,5356,6.2,1,2017-10-30T20:00:00Z,30 Oct 20:00,0,0,90,0,0,4,0,0,0,0,2,0,10,0,65710,2,0,1,0,1,13.0,2,-9082,4662,13744,55,False,0,0
