assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,171,0.00000,0.00000,0.00000,0.00000,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,1,0,0,0,0,1,0,17030,0,2,0,0.0,0,0,0,0,55,True,0
0,0,1,0,14.0,171,0.03511,0.03511,0.00000,0.05350,16,0,0,1.6,2.0,2022-08-15T19:00:00Z,2,12,0,0,0,0,2,0,12914,0,1,1,0.0,1,-4387,239,4626,55,False,0
0,0,1,0,1.4,171,0.00035,0.00035,0.00000,0.32310,22,0,0,0.4,2.2,2022-08-20T14:00:00Z,20,2,0,0,0,0,3,0,14124,0,1,3,0.0,1,-47,1935,1982,55,True,0
0,0,3,0,0.0,171,0.00000,0.00000,0.00000,0.47670,37,1,0,0.2,2.0,2022-08-27T14:00:00Z,16,13,0,0,0,0,4,0,13668,0,2,4,0.0,1,-1503,969,2472,55,False,0
0,0,14,1,19.2,171,0.09279,0.26249,0.16970,0.78230,43,0,0,4.4,7.4,2022-08-30T18:30:00Z,79,4,0,0,0,0,5,0,13914,1,1,1,17.0,3,-755,1043,1798,55,True,0
0,0,10,0,18.3,171,0.04572,0.04572,0.00000,1.14340,57,0,0,2.8,9.2,2022-09-03T14:00:00Z,28,15,0,0,0,0,6,0,16149,0,0,0,0.0,1,1023,2800,1777,55,False,0
0,0,16,0,36.2,171,0.08592,0.08592,0.00000,1.13870,83,2,0,5.4,13.8,2022-10-01T14:00:00Z,90,6,0,0,0,0,9,0,15342,1,2,1,4.0,2,-377,693,1070,54,True,0
1,1,20,0,43.3,171,0.33415,0.38485,0.05070,0.88010,95,1,0,8.6,33.8,2022-10-09T13:00:00Z,84,11,0,0,0,0,10,0,17086,1,1,2,9.0,5,1388,2552,1164,54,True,1
0,0,1,0,0.3,171,0.00011,0.00011,0.00000,0.39130,105,0,0,0.1,0.2,2022-10-15T11:30:00Z,25,10,0,0,0,0,11,0,18841,0,0,0,0.0,1,1518,2511,993,54,False,0
1,0,24,0,66.3,171,0.35768,0.44028,0.08260,0.62220,115,1,0,11.8,31.6,2022-10-18T19:15:00Z,79,20,0,0,0,0,12,0,18978,1,1,2,20.0,5,30,1188,1158,54,True,0
0,0,9,0,2.2,171,0.01292,0.32742,0.31450,0.47910,123,1,0,4.2,2.6,2022-10-22T14:00:00Z,61,8,0,0,0,0,13,0,21592,1,0,3,37.0,2,2298,3596,1298,54,False,0
0,0,9,1,15.3,171,0.03873,0.13163,0.09290,1.27080,135,0,0,4.8,12.6,2022-10-29T14:00:00Z,85,17,0,0,0,0,14,0,20863,1,0,1,20.0,3,-850,1432,2282,54,True,0
0,3,37,0,46.6,171,0.15763,0.30313,0.14550,0.26160,149,1,1,14.7,47.0,2022-11-06T14:00:00Z,90,19,0,0,0,0,15,0,19964,1,2,1,53.0,10,-1065,1012,2077,54,False,0
0,0,10,0,21.6,171,0.11399,0.11399,0.00000,1.13890,157,1,0,3.1,7.8,2022-11-12T15:00:00Z,90,16,0,0,0,0,16,0,29747,1,0,1,2.0,2,8996,10523,1527,54,False,0
0,0,4,0,1.4,171,0.00841,0.19121,0.18280,2.32960,165,3,0,3.0,4.2,2022-12-26T15:00:00Z,83,9,0,0,0,0,17,0,29046,1,3,0,24.0,2,-877,11544,12421,54,True,0
2,3,36,1,41.6,171,0.19989,0.22749,0.02760,0.55810,171,0,0,9.7,45.8,2022-12-31T15:00:00Z,87,3,0,0,0,0,18,0,27473,1,2,0,10.0,12,-1667,1242,2909,54,False,0
0,0,8,0,28.4,171,0.11426,0.22666,0.11240,1.35290,185,4,0,5.2,3.2,2023-01-04T20:00:00Z,72,18,0,0,0,0,19,0,32098,1,4,0,20.0,2,3919,6205,2286,54,True,0
0,0,11,0,31.5,171,0.06911,0.09511,0.02600,1.64050,194,1,0,5.8,17.2,2023-01-15T14:00:00Z,90,6,0,0,0,0,20,0,50775,1,0,1,9.0,2,14170,19985,5815,54,False,0
0,2,25,0,52.8,171,0.18083,0.23923,0.05840,2.10460,63,1,1,11.7,47.4,2023-01-18T20:00:00Z,90,14,0,0,0,0,20,0,50775,1,1,1,17.0,9,14170,19985,5815,54,True,0
