assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,171,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,1,0,0,0,0,1,0,17030,0,2,0,0.0,0,0,0,0,55,True,0
0,0,1,0,14.0,171,0.04,0.04,0.00,0.05,16,0,0,1.6,2.0,2022-08-15T19:00:00Z,2,12,0,0,0,0,2,0,12914,0,1,1,0.0,1,-4387,239,4626,55,False,0
0,0,1,0,1.4,171,0.00,0.00,0.00,0.32,22,0,0,0.4,2.2,2022-08-20T14:00:00Z,20,2,0,0,0,0,3,0,14124,0,1,3,0.0,1,-47,1935,1982,55,True,0
0,0,3,0,0.0,171,0.00,0.00,0.00,0.48,37,1,0,0.2,2.0,2022-08-27T14:00:00Z,16,13,0,0,0,0,4,0,13668,0,2,4,0.0,1,-1503,969,2472,55,False,0
0,0,14,1,19.2,171,0.09,0.26,0.17,0.78,43,0,0,4.4,7.4,2022-08-30T18:30:00Z,79,4,0,0,0,0,5,0,13914,1,1,1,17.0,3,-755,1043,1798,55,True,0
0,0,10,0,18.3,171,0.05,0.05,0.00,1.14,57,0,0,2.8,9.2,2022-09-03T14:00:00Z,28,15,0,0,0,0,6,0,16149,0,0,0,0.0,1,1023,2800,1777,55,False,0
0,0,16,0,36.2,171,0.09,0.09,0.00,1.14,83,2,0,5.4,13.8,2022-10-01T14:00:00Z,90,6,0,0,0,0,9,0,15342,1,2,1,4.0,2,-377,693,1070,54,True,0
1,1,20,0,43.3,171,0.33,0.38,0.05,0.88,95,1,0,8.6,33.8,2022-10-09T13:00:00Z,84,11,0,0,0,0,10,0,17086,1,1,2,9.0,5,1388,2552,1164,54,True,1
0,0,1,0,0.3,171,0.00,0.00,0.00,0.39,105,0,0,0.1,0.2,2022-10-15T11:30:00Z,25,10,0,0,0,0,11,0,18841,0,0,0,0.0,1,1518,2511,993,54,False,0
1,0,24,0,66.3,171,0.36,0.44,0.08,0.62,115,1,0,11.8,31.6,2022-10-18T19:15:00Z,79,20,0,0,0,0,12,0,18978,1,1,2,20.0,5,30,1188,1158,54,True,0
0,0,9,0,2.2,171,0.01,0.32,0.31,0.48,123,1,0,4.2,2.6,2022-10-22T14:00:00Z,61,8,0,0,0,0,13,0,21592,1,0,3,37.0,2,2298,3596,1298,54,False,0
