assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,405,8,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,6634,2,3,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,405,12,0,0,0.0,0.0,2021-08-21T16:30:00Z,0,4,0,0,0,0,2,0,6994,0,2,0.0,0,-417,472,889,45,False,0
0,0,0,0,0.0,405,27,0,0,0.0,0.0,2021-08-29T13:00:00Z,0,17,0,0,0,0,3,0,6902,0,1,0.0,0,-448,449,897,45,False,0
0,0,0,0,0.0,405,40,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,20,0,0,0,0,4,0,7043,2,0,0.0,0,-289,1022,1311,45,True,0
0,0,0,0,0.0,405,47,0,0,0.0,0.0,2021-09-18T14:00:00Z,0,15,0,0,0,0,5,0,7511,3,1,0.0,0,90,1029,939,45,False,0
0,0,0,0,0.0,405,60,0,0,0.0,0.0,2021-09-25T14:00:00Z,0,14,0,0,0,0,6,0,7616,1,1,0.0,0,-114,712,826,45,True,0
0,0,0,0,0.0,405,65,0,0,0.0,0.0,2021-10-02T14:00:00Z,0,10,0,0,0,0,7,0,7501,0,1,0.0,0,-231,450,681,45,False,0
0,0,0,0,0.0,405,80,0,0,0.0,0.0,2021-10-16T11:30:00Z,0,11,0,0,0,0,8,0,7854,5,0,0.0,0,200,1049,849,45,True,0
0,0,0,0,0.0,405,86,0,0,0.0,0.0,2021-10-23T14:00:00Z,0,8,0,0,0,0,9,0,7395,5,2,0.0,0,-538,287,825,45,False,0
0,0,0,0,0.0,405,99,0,0,0.0,0.0,2021-10-30T14:00:00Z,0,16,0,0,0,0,10,0,8371,1,0,0.0,0,429,1274,845,44,True,0
0,0,0,0,0.0,405,101,0,0,0.0,0.0,2021-11-07T14:00:00Z,0,1,0,0,0,0,11,0,9178,0,1,0.0,0,516,1473,957,44,False,0
0,0,0,0,0.0,405,119,0,0,0.0,0.0,2021-11-20T15:00:00Z,0,13,0,0,0,0,12,0,8025,1,4,0.0,0,-1069,188,1257,44,True,0
0,0,0,0,0.0,405,127,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,9,0,0,0,0,13,0,7651,2,4,0.0,0,-409,140,549,44,False,0
0,0,0,0,0.0,405,135,0,0,0.0,0.0,2021-12-01T19:30:00Z,0,6,0,0,0,0,14,0,7605,2,1,0.0,0,-69,248,317,44,True,0
0,0,0,0,0.0,405,148,0,0,0.0,0.0,2021-12-04T17:30:00Z,0,12,0,0,0,0,15,0,7227,3,1,0.0,0,-376,52,428,44,True,0
0,0,0,0,0.0,405,152,0,0,0.0,0.0,2021-12-10T20:00:00Z,0,3,0,0,0,0,16,0,6992,1,2,0.0,0,-242,145,387,44,False,0
0,0,0,0,0.0,405,200,0,0,0.0,0.0,2021-12-28T15:00:00Z,0,19,0,0,0,0,20,0,6414,4,1,0.0,0,-14,87,101,44,True,0
0,0,0,0,0.0,405,210,0,0,0.0,0.0,2022-01-01T15:00:00Z,0,17,0,0,0,0,21,0,6374,1,0,0.0,0,-34,173,207,44,True,0
0,0,0,0,0.0,405,216,0,0,0.0,0.0,2022-01-15T15:00:00Z,0,14,0,0,0,0,22,0,6997,1,1,0.0,0,-34,342,376,43,False,0
