h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.422704,2.27616,0.422704,2.27616,"{'att': 312, 'def': 22}","{'att': 101, 'def': 23}",2,9,0,1,0.2253,l,2023-08-12 14:00:00,0,0,1,0,-1.853456
a,0.551038,1.37181,0.551038,1.37181,"{'att': 238, 'def': 19}","{'att': 238, 'def': 15}",4,6,1,2,0.6533,l,2023-08-18 18:45:00,0,0,1,0,-0.820772
h,0.762232,3.84804,0.762232,3.08687,"{'att': 406, 'def': 11}","{'att': 92, 'def': 14}",3,22,1,2,0.07400000000000001,l,2023-08-27 13:00:00,0,0,1,0,-2.3246379999999998
h,1.575,2.73871,1.575,2.73871,"{'att': 256, 'def': 20}","{'att': 225, 'def': 26}",5,3,2,2,0.5813999999999999,d,2023-09-02 11:30:00,0,1,0,1,-1.1637100000000002
a,0.790655,2.15909,0.790655,2.15909,"{'att': 306, 'def': 21}","{'att': 133, 'def': 28}",4,21,1,2,0.49179999999999996,l,2023-09-16 14:00:00,0,0,1,0,-1.3684349999999998
h,0.579392,5.1082,0.579392,5.1082,"{'att': 373, 'def': 25}","{'att': 262, 'def': 30}",5,11,0,8,0.018000000000000002,l,2023-09-24 15:30:00,0,0,1,0,-4.528808
a,0.911997,3.19753,0.911997,3.19753,"{'att': 319, 'def': 15}","{'att': 226, 'def': 16}",5,16,0,2,0.21350000000000002,l,2023-09-30 14:00:00,0,0,1,0,-2.285533
a,0.251809,2.26612,0.251809,2.26612,"{'att': 242, 'def': 23}","{'att': 168, 'def': 27}",0,9,1,3,0.1633,l,2023-10-07 14:00:00,0,0,1,0,-2.0143109999999997
h,1.41074,1.46187,0.649567,1.46187,"{'att': 296, 'def': 21}","{'att': 135, 'def': 11}",7,7,1,2,1.3211,l,2023-10-21 19:00:00,0,0,1,0,-0.812303
a,0.0281554,3.03496,0.0281554,2.27379,"{'att': 402, 'def': 13}","{'att': 191, 'def': 16}",1,9,0,5,0.0162,l,2023-10-28 14:00:00,0,0,1,0,-2.2456346
h,1.10165,1.14803,0.340518,1.14803,"{'att': 310, 'def': 32}","{'att': 120, 'def': 5}",3,4,2,1,1.276,w,2023-11-04 15:00:00,1,0,0,3,-0.8075120000000001
a,0.84434,1.08601,0.84434,1.08601,"{'att': 413, 'def': 33}","{'att': 201, 'def': 16}",13,4,1,1,1.1143,d,2023-11-12 14:00:00,0,1,0,1,-0.24166999999999994
h,0.816227,3.13975,0.816227,3.13975,"{'att': 275, 'def': 26}","{'att': 193, 'def': 11}",7,7,1,3,0.2165,l,2023-11-25 15:00:00,0,0,1,0,-2.323523
a,0.618131,2.60469,0.618131,2.60469,"{'att': 275, 'def': 18}","{'att': 194, 'def': 17}",3,13,0,5,0.2195,l,2023-12-02 15:00:00,0,0,1,0,-1.9865590000000002
h,0.834172,1.80116,0.834172,1.80116,"{'att': 363, 'def': 14}","{'att': 57, 'def': 18}",2,14,0,2,0.6531,l,2023-12-06 19:30:00,0,0,1,0,-0.9669880000000001
h,0.841976,0.644638,0.841976,0.644638,"{'att': 268, 'def': 22}","{'att': 147, 'def': 20}",6,7,1,0,1.5383,w,2023-12-09 15:00:00,1,0,0,3,0.1973379999999999
