h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.90756,1.45316,1.1464,1.45316,"{'att': 282, 'def': 20}","{'att': 182, 'def': 31}",11,7,2,2,1.7563,d,2023-08-13 13:00:00,0,1,0,1,-0.3067599999999999
a,3.46888,0.399899,2.70772,0.399899,"{'att': 243, 'def': 19}","{'att': 241, 'def': 23}",13,8,3,0,2.9282,w,2023-08-19 14:00:00,1,0,0,3,2.307821
h,0.948011,1.06061,0.948011,1.06061,"{'att': 160, 'def': 25}","{'att': 318, 'def': 25}",5,5,1,1,1.2513,d,2023-08-26 14:00:00,0,1,0,1,-0.112599
h,3.07185,2.11013,3.07185,2.11013,"{'att': 137, 'def': 24}","{'att': 294, 'def': 21}",15,5,2,2,2.0028,d,2023-09-02 14:00:00,0,1,0,1,0.9617200000000001
a,0.633678,1.50126,0.633678,0.740091,"{'att': 215, 'def': 27}","{'att': 176, 'def': 23}",4,8,0,1,0.5686,l,2023-09-16 16:30:00,0,0,1,0,-0.10641300000000009
h,1.57402,2.51497,1.57402,2.51497,"{'att': 210, 'def': 15}","{'att': 359, 'def': 25}",6,10,1,3,0.7358,l,2023-09-23 16:30:00,0,0,1,0,-0.94095
a,1.75862,0.800317,1.75862,0.800317,"{'att': 219, 'def': 14}","{'att': 327, 'def': 8}",11,2,1,1,2.0866,d,2023-10-01 13:00:00,0,1,0,1,0.9583030000000001
a,1.02509,1.29356,1.02509,1.29356,"{'att': 194, 'def': 23}","{'att': 171, 'def': 20}",2,17,1,2,1.1315,l,2023-10-07 14:00:00,0,0,1,0,-0.26847
h,3.15685,0.693129,3.15685,0.693129,"{'att': 271, 'def': 28}","{'att': 220, 'def': 15}",15,3,3,0,2.7946,w,2023-10-21 14:00:00,1,0,0,3,2.463721
a,2.48137,1.71801,2.48137,1.71801,"{'att': 270, 'def': 13}","{'att': 175, 'def': 29}",6,16,2,0,1.9344000000000001,w,2023-10-28 11:30:00,1,0,0,3,0.76336
h,1.82944,1.75505,1.82944,1.75505,"{'att': 168, 'def': 14}","{'att': 306, 'def': 23}",9,6,3,2,1.3871,w,2023-11-04 15:00:00,1,0,0,3,0.07438999999999996
a,1.44954,1.56004,1.44954,1.56004,"{'att': 233, 'def': 22}","{'att': 178, 'def': 27}",8,11,0,3,1.2795,l,2023-11-12 14:00:00,0,0,1,0,-0.11050000000000004
h,1.66315,1.82699,1.66315,1.82699,"{'att': 179, 'def': 21}","{'att': 115, 'def': 15}",4,4,0,1,1.2753999999999999,l,2023-11-25 17:30:00,0,0,1,0,-0.16383999999999999
h,3.25952,0.227176,3.25952,0.227176,"{'att': 141, 'def': 29}","{'att': 300, 'def': 10}",4,3,3,1,2.9280999999999997,w,2023-12-02 15:00:00,1,0,0,3,3.032344
a,1.22007,1.54099,0.458899,1.54099,"{'att': 298, 'def': 26}","{'att': 215, 'def': 24}",2,19,1,2,1.0969,l,2023-12-06 19:30:00,0,0,1,0,-1.0820910000000001
a,0.644638,0.841976,0.644638,0.841976,"{'att': 147, 'def': 20}","{'att': 268, 'def': 22}",7,6,0,1,1.0960999999999999,l,2023-12-09 15:00:00,0,0,1,0,-0.1973379999999999
h,0.796812,1.4664,0.796812,1.4664,"{'att': 203, 'def': 39}","{'att': 114, 'def': 18}",4,13,1,2,0.8138000000000001,l,2023-12-17 14:00:00,0,0,1,0,-0.669588
h,2.59347,1.89483,2.59347,1.89483,"{'att': 220, 'def': 21}","{'att': 298, 'def': 22}",15,7,1,4,1.8538,l,2023-12-27 19:30:00,0,0,1,0,0.6986399999999999
a,1.28731,1.61057,1.28731,1.61057,"{'att': 186, 'def': 20}","{'att': 256, 'def': 28}",6,13,1,3,1.1175000000000002,l,2023-12-30 15:00:00,0,0,1,0,-0.3232600000000001
h,1.94219,1.22251,1.94219,1.22251,"{'att': 184, 'def': 23}","{'att': 247, 'def': 19}",4,9,3,2,1.9264000000000001,w,2024-01-20 17:30:00,1,0,0,3,0.7196800000000001
a,1.59637,3.36194,1.59637,3.36194,"{'att': 208, 'def': 22}","{'att': 114, 'def': 21}",13,15,2,3,0.388,l,2024-01-31 19:30:00,0,0,1,0,-1.76557
h,0.865741,2.10785,0.865741,2.10785,"{'att': 286, 'def': 11}","{'att': 161, 'def': 16}",3,12,1,3,0.5676,l,2024-02-05 20:00:00,0,0,1,0,-1.2421090000000001
a,1.84908,1.05781,1.84908,1.05781,"{'att': 317, 'def': 20}","{'att': 110, 'def': 19}",3,7,2,0,2.0106,w,2024-02-10 15:00:00,1,0,0,3,0.7912700000000001
h,1.69518,3.08952,1.69518,3.08952,"{'att': 272, 'def': 20}","{'att': 162, 'def': 22}",10,11,1,4,0.5613,l,2024-02-17 12:30:00,0,0,1,0,-1.39434
a,0.503799,2.53766,0.503799,2.53766,"{'att': 193, 'def': 11}","{'att': 173, 'def': 14}",1,19,0,1,0.23420000000000002,l,2024-02-20 18:30:00,0,0,1,0,-2.033861
a,1.33683,2.06873,1.33683,2.06873,"{'att': 168, 'def': 26}","{'att': 286, 'def': 20}",11,5,2,4,0.8093,l,2024-02-26 20:00:00,0,0,1,0,-0.7319
h,2.4732,2.1523,2.4732,2.1523,"{'att': 364, 'def': 27}","{'att': 122, 'def': 21}",3,9,2,2,1.5665000000000002,d,2024-03-02 15:00:00,0,1,0,1,0.32089999999999996
