assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,646,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2023-08-12T12:00:00Z,0,16,0,0,0,0,1,0,0,0,1,2,0.0,0,0,0,0,40,True,0
0,0,0,0,0.0,646,0.00,0.00,0.00,0.00,12,0,0,0.0,0.0,2023-08-21T19:00:00Z,0,8,0,0,0,0,2,0,1045,0,1,0,0.0,0,159,185,26,40,False,0
0,0,0,0,0.0,646,0.00,0.00,0.00,0.00,21,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,10,0,0,0,0,3,0,2167,0,2,2,0.0,0,258,396,138,40,True,0
0,0,0,0,0.0,646,0.00,0.00,0.00,0.00,31,0,0,0.0,0.0,2023-09-03T15:30:00Z,0,14,0,0,0,0,4,0,3114,0,1,3,0.0,0,190,413,223,40,True,0
0,0,0,0,0.0,646,0.00,0.00,0.00,0.00,43,0,0,0.0,0.0,2023-09-17T15:30:00Z,0,9,0,0,0,0,5,0,3949,0,1,0,0.0,0,241,504,263,40,False,0
0,0,0,0,0.0,646,0.00,0.00,0.00,0.00,51,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,18,0,0,0,0,6,0,4114,0,2,2,0.0,0,14,232,218,40,True,0
0,0,0,0,0.0,646,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,3,0,0,0,0,7,0,4433,0,4,0,0.0,0,128,369,241,40,False,0
0,0,0,0,0.0,646,0.00,0.00,0.00,0.00,71,0,0,0.0,0.0,2023-10-08T15:30:00Z,0,13,0,0,0,0,8,0,4674,0,0,1,0.0,0,50,375,325,40,True,0
0,0,0,0,0.0,646,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,7,0,0,0,0,9,0,4801,0,2,2,0.0,0,18,257,239,40,False,0
0,0,0,0,0.0,646,0.00,0.00,0.00,0.00,91,0,0,0.0,0.0,2023-10-28T14:00:00Z,0,17,0,0,0,0,10,0,4906,0,0,5,0.0,0,18,268,250,40,True,0
