first_name,second_name,id
Fábio,Ferreira Vieira,1
Gabriel,Fernando de Jesus,2
Gabriel,dos Santos Magalhães,3
Kai,Havertz,4
Karl,Hein,5
Jurriën,Timber,6
Jorge Luiz,Frello Filho,7
Jakub,Kiwior,8
Gabriel,Martinelli Silva,9
Reiss,Nelson,10
Eddie,Nketiah,11
Ethan,Nwaneri,12
Martin,Ødegaard,13
Aaron,Ramsdale,14
David,Raya Martin,15
Declan,Rice,16
Bukayo,Saka,17
William,Saliba,18
Emile,Smith Rowe,19
Thomas,Partey,20
Kieran,Tierney,21
Tomiyasu,Takehiro,22
Leandro,Trossard,23
Benjamin,White,24
Oleksandr,Zinchenko,25
Riccardo,Calafiori,578
Álex,Moreno Lopera,26
Cameron,Archer,27
Leon,Bailey,28
Ross,Barkley,29
Enzo,Barrenechea,30
Emiliano,Buendía Stati,31
Matty,Cash,32
Leander,Dendoncker,33
Moussa,Diaby,34
Diego Carlos,Santos Silva,35
Lucas,Digne,36
Lewis,Dobbin,37
Jhon,Durán,38
Joe,Gauci,39
Kortney,Hause,40
Samuel,Iling-Junior,41
Boubacar,Kamara,42
Kaine,Kesler-Hayden,43
Ezri,Konsa Ngoyo,44
Ian,Maatsen,45
Filip,Marschall,46
Emiliano,Martínez Romero,47
John,McGinn,48
Tyrone,Mings,49
Kosta,Nedeljković,50
Robin,Olsen,51
Pau,Torres,52
Jacob,Ramsey,53
Morgan,Rogers,54
Viljami,Sinisalo,55
Lino,da Cruz Sousa,56
Youri,Tielemans,57
Ollie,Watkins,58
Amadou,Onana,233
Jaden,Philogene,569
Max,Aarons,59
Tyler,Adams,60
Jaidon,Anthony,61
David,Brooks,62
Ryan,Christie,63
Lewis,Cook,64
Enes,Ünal,65
Romain,Faivre,66
Hamed,Traorè,67
James,Hill,68
Daniel,Jebbison,69
Milos,Kerkez,70
Justin,Kluivert,71
Chris,Mepham,72
Norberto,Murara Neto,73
Dango,Ouattara,74
Alex,Paulsen,75
Philip,Billing,76
Alex,Scott,77
Antoine,Semenyo,78
Marcos,Senesi,79
Luis,Sinisterra,80
Adam,Smith,81
Dominic,Solanke-Mitchell,82
Marcus,Tavernier,83
Mark,Travers,84
Illia,Zabarnyi,85
Dean,Huijsen,580
Kristoffer,Ajer,86
Ethan,Brierley,87
Nathan,Collins,88
Mikkel,Damsgaard,89
Josh,Dasilva,90
Mark,Flekken,91
Rico,Henry,92
Aaron,Hickey,93
Vitaly,Janelt,94
Mathias,Jensen,95
Kim,Ji-soo,96
Yunus Emre,Konak,97
Keane,Lewis-Potter,98
Bryan,Mbeumo,99
Ben,Mee,100
Christian,Nørgaard,101
Frank,Onyeka,102
Myles,Peart-Harris,103
Ethan,Pinnock,104
Mads,Roerslev Rasmussen,105
Kevin,Schade,106
Igor Thiago,Nascimento Rodrigues,107
Ivan,Toney,108
Hákon,Valdimarsson,109
Yoane,Wissa,110
Yehor,Yarmoliuk,111
Mathias,Jorgensen,112
Simon,Adingra,113
Benicio,Baker-Boaitey,114
Carlos,Baleba,115
Valentín,Barco,116
Facundo,Buonanotte,117
Amario,Cozier-Duberry,118
Mahmoud,Dahoud,119
Lewis,Dunk,120
Julio,Enciso,121
Pervis,Estupiñán,122
Evan,Ferguson,123
Billy,Gilmour,124
Pascal,Groß,125
Jack,Hinshelwood,126
Ibrahim,Osman,127
Igor Julio,dos Santos de Paulo,128
João Pedro,Junqueira de Jesus,129
Kacper,Kozłowski,130
Tariq,Lamptey,131
Solly,March,132
Adrian,Mazilu,133
James,Milner,134
Yankuba,Minteh,135
Mitoma,Kaoru,136
Jakub,Moder,137
Mark,O’Mahony,138
Odeluga,Offiah,139
Cameron,Peupion,140
Jeremy,Sarmiento Morante,141
Jason,Steele,142
Deniz,Undav,143
Jan Paul,van Hecke,144
Joël,Veltman,145
Bart,Verbruggen,146
Adam,Webster,147
Danny,Welbeck,148
Mats,Wieffer,149
Andrey,Nascimento dos Santos,150
Ângelo Gabriel,Borges Damaceno,151
Kepa,Arrizabalaga,152
Benoît,Badiashile,153
Lucas,Bergström,154
Marcus,Bettinelli,155
Armando,Broja,156
Moisés,Caicedo Corozo,157
Cesare,Casadei,158
Trevoh,Chalobah,159
Ben,Chilwell,160
Carney,Chukwuemeka,161
Levi,Colwill,162
Marc,Cucurella Saseta,163
David Datro,Fofana,164
Deivid Washington,de Souza Eugênio,165
Kiernan,Dewsbury-Hall,166
Axel,Disasi,167
Enzo,Fernández,168
Conor,Gallagher,169
Alfie,Gilchrist,170
Malo,Gusto,171
Reece,James,172
Omari,Kellyman,173
Roméo,Lavia,174
Romelu,Lukaku Bolingoli,175
Malang,Sarr,176
Noni,Madueke,177
Marc,Guiu Paz,178
Mykhailo,Mudryk,179
Nicolas,Jackson,180
Christopher,Nkunku,181
Cole,Palmer,182
Đorđe,Petrović,183
Renato,Palma Veiga,184
Robert,Sánchez,185
Raheem,Sterling,186
Tosin,Adarabioyo,187
Lesley,Ugochukwu,188
Wesley,Fofana,189
Caleb,Wiley,575
Filip,Jørgensen,581
Naouirou,Ahamada,190
Joachim,Andersen,191
Jordan,Ayew,192
Cheick,Doucouré,193
Chris,Richards,194
Chadi,Riad Dnanou,195
Nathaniel,Clyne,196
Malcolm,Ebiowei,197
Odsonne,Edouard,198
Eberechi,Eze,199
Marc,Guéhi,200
Dean,Henderson,201
Rob,Holding,202
Will,Hughes,203
Sam,Johnstone,204
Daichi,Kamada,205
Jefferson,Lerma Solís,206
Jean-Philippe,Mateta,207
Matheus,França de Oliveira,208
Remi,Matthews,209
Tyrick,Mitchell,210
Daniel,Muñoz,211
David,Ozoh,212
Jesurun,Rak-Sakyi,213
Jeffrey,Schlupp,214
Joel,Ward,215
Adam,Wharton,216
Abdoulaye,Doucouré,217
Norberto Bercique,Gomes Betuncal,218
Jarrad,Branthwaite,219
Dominic,Calvert-Lewin,220
Séamus,Coleman,221
Idrissa,Gueye,222
James,Garner,223
Jack,Harrison,224
Mason,Holgate,225
Tim,Iroegbunam,226
João,Neves Virgínia,227
Michael,Keane,228
Neal,Maupay,229
Dwight,McNeil,230
Vitalii,Mykolenko,231
Iliman,Ndiaye,232
Nathan,Patterson,234
Jordan,Pickford,235
James,Tarkowski,236
Youssef,Ramalho Chermiti,237
Ashley,Young,238
Jesper,Lindstrøm,577
Jake,O'Brien,582
Adama,Traoré,239
Andreas,Hoelgebaum Pereira,240
Calvin,Bassey,241
Steven,Benda,242
Tom,Cairney,243
Timothy,Castagne,244
Issa,Diop,245
Luke,Harris,246
Alex,Iwobi,247
Bernd,Leno,248
Saša,Lukić,249
Kevin,Mbabu,250
Rodrigo,Muniz Carvalho,251
Raúl,Jiménez,252
Tim,Ream,253
Harrison,Reed,254
Antonee,Robinson,255
Jay,Stansfield,256
Kenny,Tete,257
Carlos Vinícius,Alves Morais,258
Harry,Wilson,259
Ryan,Sessegnon,579
Ali,Al-Hamadi,260
Elkan,Baggott,261
Nathan,Broadhead,262
Cameron,Burgess,263
