assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,removed,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,None,0,0,False,True,0,0,0,0,438098,None,,0,0,-1,1,0.0,789,340,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Fábio,0.0,770,330,0,0,0,False,0.0,789,340,1,False,0.0,789,340,0,0,0,0,0,0,0,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,2024-08-29T11:06:25.241953Z,54,133,81,p438098,0,0,None,0,,438098.jpg,0.0,788,340,0,None,False,0,0,Ferreira Vieira,0.0,713,294,False,None,0,0,u,1,3,None,0.0,786,339,0,439,0,2822,0,0.0,0.0,Fábio Vieira,0
2,1997-04-03,6,152,True,True,0,0,2,0.3,205651,None,,0,0,-5,5,119.5,257,30,None,,2,4,0.0,0.0,0,0.52,0.08,3.57,0.54,3.05,5.82,0.87,0.46,Gabriel,0.0,791,83,5,0.75,3,False,52.6,263,31,2,False,154.4,330,31,600,0,0,0,0,0,0,0,Knee injury - Expected back 01 Jun,2025-01-12T22:00:07.802845Z,65,43,19,p205651,0,0,None,0,,205651.jpg,2.5,223,28,0,30,False,0,0.0,Fernando de Jesus,1.1,202,31,False,None,6,0.9,i,1,3,2022-07-04,255.0,121,32,42,1238056,35,1408594,518,0.0,6.5,G.Jesus,4
2,1997-12-19,9,459,True,True,0,0,10,0.38,226597,None,,0,0,2,-2,208.8,181,38,None,,2,2,0.0,0.0,0,1.21,0.05,3.91,0.15,2.70,23.09,0.88,0.1,Gabriel,0.2,410,136,22,0.84,3,False,108.2,106,21,3,False,584.6,65,24,2363,0,0,0,0,0,0,0,Hamstring injury - Unknown return date,2025-04-01T22:00:07.982867Z,62,62,5,p226597,0,0,None,0,,226597.jpg,4.2,38,2,0,30,False,0,0.0,dos Santos Magalhães,13.2,30,12,False,None,28,1.07,i,1,3,2020-09-01,287.0,105,7,117,5092562,133,5304693,74943,0.0,18.9,Gabriel,4
3,1999-06-11,14,340,True,True,0,0,7,0.34,219847,None,,0,0,-3,3,257.0,147,15,None,,1,4,0.0,0.0,0,1.63,0.08,11.02,0.54,9.39,19.00,0.93,0.46,Kai,0.0,795,86,20,0.98,9,False,142.6,64,15,4,False,467.2,130,16,1839,0,0,0,0,0,0,0,Hamstring injury - Expected back 01 Jun,2025-02-12T09:00:08.755570Z,77,14,5,p219847,0,0,3,0,,219847.jpg,4.6,21,9,0,80,False,0,0.0,Havertz,5.8,70,14,False,None,21,1.03,i,1,3,2023-06-28,701.0,28,12,96,2589582,89,3522822,2137,0.0,12.5,Havertz,4
0,None,0,0,False,True,0,0,0,0,463748,None,,0,0,0,0,0.0,589,55,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Karl,0.0,478,56,0,0,0,False,0.0,605,68,5,False,0.0,605,68,0,0,0,0,0,0,0,0,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z,40,670,56,p463748,0,0,None,0,,463748.jpg,0.0,611,67,0,None,False,0,0,Hein,0.0,640,71,False,None,0,0,u,1,3,None,0.0,549,37,0,0,0,4601,13,0.0,0.0,Hein,0
3,2001-06-17,9,426,True,True,100,100,11,0.41,445122,None,,0,0,2,-2,296.8,121,25,None,,2,2,0.0,7.7,4,1.30,0.05,2.53,0.1,1.23,21.09,0.79,0.05,Jurriën,2.6,138,35,21,0.78,1,False,94.2,134,34,6,False,393.0,166,60,2415,0,0,0,0,0,0,0,,2025-04-01T22:00:08.054376Z,57,99,9,p445122,0,0,None,0,,445122.jpg,3.8,68,11,0,152,False,0,0.0,Timber,6.1,65,21,False,None,27,1.01,a,1,3,2023-07-14,254.0,122,12,114,1933403,10462,1262076,110025,0.5,20.0,J.Timber,7
0,1991-12-20,0,109,True,True,25,25,2,0.26,85955,None,,0,0,-4,4,88.8,291,176,None,,0,3,0.0,0.9,0,0.59,0.08,0.65,0.09,0.06,5.83,0.75,0.01,Jorge Luiz,0.6,325,152,7,0.9,0,False,14.2,407,197,7,False,44.6,425,195,700,0,0,0,0,0,0,0,Rib Injury - 25% chance of playing,2025-04-12T20:00:08.048837Z,46,348,227,p85955,0,0,None,0,,85955.jpg,1.4,397,188,0,106,False,0,0.0,Frello Filho,0.2,366,114,False,None,9,1.16,d,1,3,2023-01-31,8.0,430,222,19,30740,5,50144,311,0.1,4.1,Jorginho,5
0,2000-02-15,0,125,True,True,None,None,2,0.24,440854,None,,0,0,-2,2,55.2,340,110,None,,1,2,0.0,10.1,13,0.23,0.03,0.40,0.05,0.17,8.69,1.03,0.02,Jakub,3.8,78,18,10,1.19,1,False,26.2,357,119,8,False,176.2,303,111,757,0,0,0,0,0,0,0,,None,48,313,40,p440854,0,0,None,0,,440854.jpg,2.5,212,68,0,172,False,0,0.0,Kiwior,1.3,177,68,False,None,6,0.71,a,1,3,2023-01-23,30.0,363,119,32,279975,6335,66034,16940,0.8,6.7,Kiwior,0
4,2001-06-18,6,363,True,True,100,100,9,0.42,444145,None,,0,0,-5,5,498.0,63,50,None,,1,3,0.0,9.7,10,3.78,0.17,9.57,0.44,5.79,20.20,0.93,0.27,Gabriel,3.6,85,34,20,0.92,7,False,176.2,34,26,9,False,485.8,125,44,1949,0,0,0,0,0,0,0,,2025-02-06T00:00:08.092348Z,65,46,23,p444145,0,0,None,0,,444145.jpg,3.8,70,32,0,30,False,0,0.0,Martinelli Silva,2.5,123,39,False,None,21,0.97,a,1,3,2019-07-15,777.0,17,9,111,1263893,5170,1324064,26281,0.6,17.1,Martinelli,1
2,2007-03-21,4,232,True,True,100,100,4,0.45,499175,None,,0,0,0,0,231.7,163,112,None,,0,3,0.0,9.3,7,1.64,0.18,2.79,0.31,1.15,4.75,0.53,0.13,Ethan,3.4,97,37,3,0.34,4,False,73.8,191,101,12,False,278.2,230,101,804,0,0,0,0,0,0,0,,2025-01-04T22:00:06.872110Z,45,425,265,p499175,0,0,None,0,,499175.jpg,2.6,192,79,0,241,False,0,0.0,Nwaneri,1.8,150,49,False,None,10,1.12,a,1,3,2022-09-17,228.0,138,89,63,712758,1356,524995,32929,0.8,14.0,Nwaneri,1
