first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Fábio,Ferreira Vieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID
Gabriel,Fernando de Jesus,3,2,42,600,5,119.5,154.4,255.0,6,152,52.6,2,0,4,1.1,65,FWD
Gabriel,dos Santos Magalhães,3,2,117,2363,22,208.8,584.6,287.0,9,459,108.2,10,0,4,13.2,62,DEF
Kai,Havertz,9,3,96,1839,20,257.0,467.2,701.0,14,340,142.6,7,0,4,5.8,77,FWD
Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Jurriën,Timber,1,3,114,2415,21,296.8,393.0,254.0,9,426,94.2,11,0,7,6.1,57,DEF
Jorge Luiz,Frello Filho,0,0,19,700,7,88.8,44.6,8.0,0,109,14.2,2,0,5,0.2,46,MID
Jakub,Kiwior,1,0,32,757,10,55.2,176.2,30.0,0,125,26.2,2,0,0,1.3,48,DEF
Gabriel,Martinelli Silva,7,4,111,1949,20,498.0,485.8,777.0,6,363,176.2,9,0,1,2.5,65,MID
Ethan,Nwaneri,4,2,63,804,3,231.7,278.2,228.0,4,232,73.8,4,0,1,1.8,45,MID
Martin,Ødegaard,2,6,90,2036,17,860.9,430.6,445.0,7,426,173.8,10,0,4,5.1,82,MID
David,Raya Martin,0,0,130,3060,29,0.7,685.4,0.0,9,512,68.7,12,0,2,28.5,56,GK
Declan,Rice,2,7,105,2570,27,900.1,616.8,333.0,12,547,184.6,10,1,5,3.5,62,MID
Bukayo,Saka,6,11,119,1450,17,725.2,566.4,715.0,18,478,200.6,6,0,3,19.8,105,MID
William,Saliba,2,0,127,2814,25,146.9,635.8,116.0,14,538,90.2,12,1,2,29.5,66,DEF
Thomas,Partey,4,3,99,2433,25,326.4,558.8,170.0,8,513,105.9,8,0,4,0.7,49,MID
Kieran,Tierney,0,0,15,174,0,90.5,40.4,13.0,0,63,14.5,1,0,0,0.1,43,DEF
Tomiyasu,Takehiro,0,0,1,6,0,0.3,0.4,9.0,0,2,1.0,0,0,0,0.0,48,DEF
Leandro,Trossard,8,6,136,2265,23,543.4,543.4,723.0,16,500,180.6,10,1,2,3.3,67,MID
Benjamin,White,0,1,37,853,8,108.4,165.8,64.0,0,150,33.8,4,0,2,2.2,61,DEF
Oleksandr,Zinchenko,0,1,36,443,0,63.3,55.0,53.0,2,122,17.0,4,0,1,0.9,48,DEF
Norberto,Murara Neto,0,0,7,180,2,0.0,77.8,0.0,0,30,7.8,0,0,0,0.7,41,GK
Raheem,Sterling,0,2,23,424,3,117.6,63.6,112.0,0,51,29.1,1,0,1,0.8,67,MID
Riccardo,Calafiori,2,1,37,921,12,116.2,249.6,174.0,1,133,53.9,1,0,4,1.2,58,DEF
Myles,Lewis-Skelly,1,0,30,1072,12,129.2,141.2,48.0,0,181,31.5,4,2,2,0.4,45,MID
Mikel,Merino,6,2,85,1391,13,241.1,411.4,449.0,8,301,110.1,4,0,2,2.7,61,MID
Salah-Eddine,Oulad M'hand,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Tommy,Setford,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GK
Maldini,Kacurri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Ismeal,Kabia,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Josh,Nichols,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Nathan,Butler-Oyedeji,0,0,1,6,0,0.0,3.0,17.0,0,5,2.0,0,0,0,0.2,45,FWD
Mikel,Arteta,0,0,81,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,14.1,15,AM
Jack,Porter,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Jimi,Gower,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Jack,Henry-Francis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Leon,Bailey,1,2,46,1131,19,234.8,144.4,323.0,2,169,69.8,2,0,3,0.7,62,MID
Ross,Barkley,3,1,41,552,9,126.1,210.0,202.0,5,156,53.7,1,0,3,0.2,52,MID
Enzo,Barrenechea,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Emiliano,Buendía Stati,0,0,11,89,2,23.2,16.4,16.0,0,37,5.2,0,0,1,0.1,51,MID
Matty,Cash,1,1,57,1709,20,156.7,293.8,128.0,1,203,57.9,4,0,6,1.1,44,DEF
Leander,Dendoncker,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,MID
Moussa,Diaby,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,65,MID
Diego Carlos,Santos Silva,0,0,21,828,15,9.2,150.6,54.0,1,69,21.5,2,0,1,0.3,45,DEF
Lucas,Digne,0,5,81,2239,36,568.2,488.8,112.0,6,351,116.8,5,0,4,5.7,45,DEF
Lewis,Dobbin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Jhon,Durán,7,0,53,622,14,68.9,273.8,334.0,9,222,67.5,2,1,3,1.6,57,FWD
Joe,Gauci,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40,GK
Kortney,Hause,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,39,DEF
Samuel,Iling-Junior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID
Boubacar,Kamara,0,0,39,1367,21,165.1,264.6,42.0,1,234,47.3,3,0,2,0.0,50,MID
Kaine,Kesler-Hayden,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Ezri,Konsa Ngoyo,1,0,76,2576,43,108.4,434.8,116.0,7,353,66.0,5,0,0,6.4,44,DEF
Ian,Maatsen,1,2,43,874,14,271.4,234.6,177.0,0,162,68.4,1,0,2,1.4,45,DEF
Filip,Marschall,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Emiliano,Martínez Romero,0,0,90,2880,45,20.0,733.8,0.0,2,379,75.5,5,0,4,11.4,50,GK
John,McGinn,1,3,65,1987,34,428.2,245.2,241.0,1,312,91.2,5,0,7,0.7,52,MID
Tyrone,Mings,0,1,41,1050,11,48.5,214.6,70.0,5,185,33.5,3,0,1,0.2,44,DEF
Kosta,Nedeljković,0,0,5,121,4,7.2,22.8,0.0,0,11,3.0,0,0,0,0.5,39,DEF
Robin,Olsen,0,0,8,180,4,0.0,37.0,0.0,0,21,3.7,1,0,0,0.1,45,GK
Pau,Torres,0,0,41,1729,31,66.9,302.0,98.0,2,200,46.9,3,0,1,0.7,42,DEF
Jacob,Ramsey,1,4,64,1480,24,273.5,226.8,225.0,3,254,72.4,4,0,2,0.3,54,MID
Morgan,Rogers,8,9,145,2764,39,631.8,659.8,652.0,15,476,194.4,7,0,9,20.2,57,MID
Viljami,Sinisalo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Lino,da Cruz Sousa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Youri,Tielemans,2,7,109,2915,44,944.0,753.0,303.0,12,645,200.0,6,0,4,1.2,55,MID
Ollie,Watkins,15,7,168,2258,38,314.6,703.2,1033.0,29,573,203.1,7,0,2,17.6,89,FWD
Axel,Disasi,1,0,33,851,12,75.6,169.6,51.0,0,133,29.7,3,0,3,0.4,42,DEF
Amadou,Onana,3,0,55,1345,23,142.6,307.2,209.0,5,264,66.1,3,0,4,2.1,48,MID
Marcus,Rashford,6,4,95,1414,15,451.1,398.4,369.0,9,333,122.1,7,0,2,6.5,67,MID
Lamare,Bogarde,0,0,6,473,11,33.3,84.8,15.0,0,22,13.3,0,0,2,0.2,39,DEF
Sil,Swinkels,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Oliwier,Zych,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40,GK
Kadan,Young,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,MID
Ben,Broggio,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Jamaldeen,Jimoh,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Donyell,Malen,3,0,31,267,5,31.4,134.8,159.0,3,107,32.2,0,0,0,0.3,53,MID
Andrés,García,0,0,8,316,5,68.4,45.6,7.0,0,26,12.0,0,0,0,0.1,45,DEF
Unai,Emery,0,0,77,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,5.6,8,AM
Marco,Asensio,3,2,37,477,8,174.4,180.4,213.0,6,131,56.9,1,0,1,3.0,62,MID
Max,Aarons,0,0,8,84,0,3.2,13.2,0.0,0,31,1.7,1,0,0,0.1,43,DEF
Tyler,Adams,0,3,48,1524,24,204.2,342.4,75.0,1,246,62.3,5,0,6,0.1,49,MID
Jaidon,Anthony,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
David,Brooks,2,1,46,798,11,253.1,167.4,235.0,2,181,64.9,2,0,3,0.0,49,MID
Ryan,Christie,2,3,76,2114,28,576.8,514.0,303.0,5,435,139.6,8,0,9,0.1,49,MID
Lewis,Cook,1,4,78,2706,38,705.7,577.8,112.0,3,474,139.6,5,0,8,0.2,50,MID
Enes,Ünal,2,1,32,330,3,56.1,104.0,207.0,4,97,35.9,2,0,2,0.1,54,FWD
Romain,Faivre,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Hamed,Traorè,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
James,Hill,0,1,17,443,9,38.4,97.0,29.0,0,55,16.6,1,0,1,0.5,39,DEF
Daniel,Jebbison,0,0,10,65,1,37.8,21.0,38.0,0,32,9.7,0,0,1,1.1,45,FWD
Milos,Kerkez,2,6,121,2897,40,526.3,643.2,209.0,10,487,137.8,8,0,4,19.3,53,DEF
Justin,Kluivert,12,6,149,2024,26,617.6,692.6,698.0,14,507,201.0,11,0,7,13.0,60,MID
Chris,Mepham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Dango,Ouattara,7,4,108,1835,21,445.0,591.4,737.0,7,411,177.0,7,0,2,1.5,47,MID
Alex,Paulsen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Philip,Billing,0,0,10,176,4,102.4,54.0,47.0,0,52,20.4,0,0,1,0.0,48,MID
Alex,Scott,0,0,21,603,7,125.8,121.8,105.0,0,113,35.3,2,0,2,0.0,47,MID
Antoine,Semenyo,8,6,132,2823,37,640.1,652.8,1091.0,10,484,237.7,9,0,9,7.5,57,MID
Marcos,Senesi,0,0,23,1007,16,81.1,244.4,29.0,3,91,35.6,1,0,5,0.3,46,DEF
Luis,Sinisterra,1,1,23,229,4,115.3,112.0,195.0,2,90,42.3,0,0,0,0.1,48,MID
Adam,Smith,0,0,48,1316,15,107.9,151.2,20.0,0,136,27.6,5,0,5,0.1,44,DEF
Marcus,Tavernier,3,6,74,1554,23,537.5,393.4,395.0,3,286,132.5,3,0,5,0.2,54,MID
Mark,Travers,0,0,19,450,5,0.0,146.4,0.0,1,76,14.6,1,0,0,0.1,44,GK
Illia,Zabarnyi,0,0,77,2662,36,154.6,550.8,51.0,6,360,75.9,7,1,3,0.5,44,DEF
Kepa,Arrizabalaga,0,0,91,2340,33,10.4,632.2,4.0,7,348,64.5,7,0,3,3.9,46,GK
Dean,Huijsen,2,1,90,2050,25,193.6,679.0,160.0,14,395,103.2,7,0,7,4.6,45,DEF
Julián,Araujo Zúñiga,0,0,9,358,7,10.2,41.8,4.0,0,14,5.7,0,0,1,0.1,43,DEF
Will,Dennis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,39,GK
Francisco Evanilson,de Lima Barbosa,9,4,114,1900,25,279.8,411.8,854.0,19,441,154.2,10,0,0,5.2,58,FWD
Max,Kinsey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Ben,Winterburn,0,0,3,21,0,0.2,2.4,2.0,0,11,0.4,0,0,0,0.0,45,MID
Archie,Harris,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Remy,Rees-Dottin,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.1,45,FWD
Matai,Akinmboni,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Julio,Soler,0,0,1,1,0,0.0,2.0,0.0,0,6,0.2,0,0,0,0.0,39,DEF
Daniel,Adu-Adjei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Dominic,Sadi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Callan,McKenna,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Zain,Silcott-Duberry,0,0,1,1,0,1.0,2.0,0.0,0,5,0.3,0,0,0,0.0,45,MID
Andoni,Iraola,0,0,49,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,11,AM
Kristoffer,Ajer,0,0,38,1387,21,126.1,195.2,146.0,0,126,46.8,3,0,4,0.2,44,DEF
Ethan,Brierley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
Nathan,Collins,2,6,104,2970,50,143.7,893.0,297.0,7,462,133.5,6,0,5,2.8,45,DEF
Mikkel,Damsgaard,2,9,116,2495,36,875.6,658.2,319.0,10,533,185.2,9,0,2,1.2,50,MID
Josh,Dasilva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,MID
Mark,Flekken,0,1,110,2825,48,20.3,1128.6,0.0,7,493,114.5,5,0,1,8.7,44,GK
Rico,Henry,0,0,2,17,1,0.5,1.4,0.0,0,1,0.2,0,0,0,0.0,43,DEF
Aaron,Hickey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,43,DEF
Vitaly,Janelt,1,3,73,2251,38,284.2,356.6,131.0,2,384,77.2,6,0,3,0.2,48,MID
Mathias,Jensen,0,2,33,759,15,225.2,143.8,32.0,1,161,40.4,2,0,2,0.1,53,MID
Kim,Ji-soo,0,0,3,28,0,0.8,5.0,0.0,0,8,0.6,0,0,0,0.3,39,DEF
Yunus Emre,Konak,0,0,8,46,2,4.2,7.8,3.0,0,24,1.2,0,0,0,0.1,44,MID
Keane,Lewis-Potter,1,5,86,2712,44,395.7,499.4,379.0,0,424,127.7,7,0,5,0.1,50,MID
Bryan,Mbeumo,18,7,210,2965,48,987.5,1085.8,899.0,28,844,297.6,7,0,2,37.7,80,MID
Ben,Mee,0,0,9,180,4,3.0,36.8,6.0,0,30,4.6,1,0,2,0.3,42,DEF
Christian,Nørgaard,5,2,86,2370,38,277.5,632.6,316.0,4,488,122.7,4,1,5,0.2,48,MID
Frank,Onyeka,0,0,2,23,0,0.5,0.0,0.0,0,3,0.0,0,0,0,0.0,49,MID
Myles,Peart-Harris,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Ethan,Pinnock,2,0,47,1912,35,101.2,540.2,193.0,0,233,83.6,2,0,2,0.3,44,DEF
Mads,Roerslev Rasmussen,0,2,36,1100,20,185.8,214.4,78.0,0,125,48.0,2,0,2,0.1,43,DEF
Kevin,Schade,7,4,112,1918,29,262.7,455.4,658.0,7,374,137.3,8,0,3,0.7,51,MID
Igor Thiago,Nascimento Rodrigues,0,0,5,129,2,27.9,10.8,6.0,0,20,4.2,0,0,0,0.0,59,FWD
Ivan,Toney,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.1,73,FWD
Hákon,Valdimarsson,0,0,2,144,2,0.1,21.4,0.0,0,14,2.1,0,0,0,3.3,39,GK
Yoane,Wissa,15,5,159,2471,38,342.0,705.2,979.0,28,621,201.9,7,0,2,14.4,65,FWD
Yehor,Yarmoliuk,0,0,33,1024,20,143.1,186.4,85.0,0,195,41.4,1,0,4,2.3,43,MID
Mathias,Jorgensen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Fábio,Freitas Gouveia Carvalho,2,1,35,443,14,71.5,142.2,154.0,1,127,36.3,0,0,1,0.4,45,MID
Sepp,van den Berg,0,1,47,2134,42,85.9,505.0,170.0,1,193,76.2,3,0,2,1.4,41,DEF
Ryan,Trevitt,0,0,1,3,0,0.1,2.6,0.0,0,5,0.3,0,0,0,0.0,44,MID
Gustavo,Nunes Fernandes Gomes,0,0,2,2,0,0.0,2.0,0.0,0,6,0.2,0,0,0,0.0,49,MID
Jayden,Meghoma,0,0,1,4,0,0.3,0.2,0.0,0,3,0.1,0,0,0,0.0,40,DEF
Tony,Yogane,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Paris,Maghoma,0,0,8,112,1,15.8,27.8,10.0,0,32,5.4,0,0,0,0.0,45,MID
Benjamin,Arthur,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Thomas,Frank,0,0,71,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,8,AM
Michael,Kayode,0,0,7,123,2,26.4,30.0,8.0,0,25,6.5,0,0,1,0.0,45,DEF
Julian,Eyestone,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Iwan,Morgan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Benjamin,Fredrick,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Simon,Adingra,2,2,48,812,19,191.8,170.2,260.0,0,161,62.2,1,0,0,0.3,51,MID
Benicio,Baker-Boaitey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Carlos,Baleba,2,1,68,2222,34,310.1,411.2,174.0,4,385,89.6,7,1,6,0.1,50,MID
Valentín,Barco,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.0,40,DEF
Amario,Cozier-Duberry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Mahmoud,Dahoud,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Lewis,Dunk,0,1,41,1901,39,112.4,384.4,85.0,0,197,58.2,4,0,5,2.4,42,DEF
Pervis,Estupiñán,1,1,52,2039,39,494.2,412.2,122.0,6,253,102.9,2,0,5,1.6,49,DEF
Billy,Gilmour,0,0,3,97,1,11.9,11.4,2.0,0,21,2.5,0,0,0,0.0,50,MID
Pascal,Groß,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,65,MID
Jack,Hinshelwood,2,2,60,1593,28,201.7,258.6,156.0,5,282,62.0,5,0,4,0.1,49,MID
Ibrahim,Osman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Igor Julio,dos Santos de Paulo,0,0,17,900,16,40.5,182.2,4.0,0,103,22.7,1,0,4,0.1,43,DEF
João Pedro,Junqueira de Jesus,10,6,126,1946,28,456.0,567.0,644.0,26,516,166.0,6,1,4,11.0,56,FWD
Kacper,Kozłowski,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Tariq,Lamptey,2,2,40,762,20,95.1,192.0,48.0,1,99,33.6,2,0,0,0.2,44,DEF
Solly,March,0,0,5,100,2,55.2,24.0,8.0,0,20,8.8,0,0,2,0.1,65,MID
Adrian,Mazilu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
James,Milner,0,0,5,169,1,66.3,28.6,12.0,0,24,10.7,1,0,1,0.0,50,MID
Yankuba,Minteh,5,5,85,1461,28,373.5,451.4,486.0,6,342,131.4,3,0,6,1.2,49,MID
Mitoma,Kaoru,8,4,128,2489,39,541.0,569.6,771.0,12,465,188.4,6,0,1,7.6,64,MID
Jakub,Moder,0,0,4,9,0,36.0,15.8,2.0,0,17,5.4,0,0,0,0.4,44,MID
Mark,O’Mahony,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,FWD
Odeluga,Offiah,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Cameron,Peupion,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID
Jeremy,Sarmiento Morante,0,0,1,8,0,0.8,0.2,0.0,0,3,0.1,0,0,0,0.0,49,MID
Jason,Steele,0,0,9,180,1,0.0,40.4,0.0,1,46,4.1,1,0,0,0.7,40,GK
Deniz,Undav,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,FWD
Jan Paul,van Hecke,1,1,75,2600,43,230.2,658.4,172.0,6,348,106.2,6,1,6,0.8,45,DEF
Joël,Veltman,0,0,58,1642,23,143.8,269.2,59.0,7,247,47.4,6,0,4,1.1,43,DEF
Bart,Verbruggen,0,1,87,2790,52,10.0,732.4,0.0,5,309,74.2,6,0,5,2.8,46,GK
Adam,Webster,0,0,26,615,8,41.2,155.8,31.0,0,121,22.7,3,0,0,0.1,43,DEF
Danny,Welbeck,9,4,108,1756,32,249.7,469.0,583.0,18,408,130.3,6,0,4,7.2,55,FWD
Mats,Wieffer,1,3,38,590,17,158.3,208.8,69.0,4,156,43.2,1,0,4,0.1,47,MID
Brajan,Gruda,0,1,23,489,11,160.4,86.8,110.0,0,76,35.3,1,0,0,0.0,54,MID
Yasin,Ayari,0,1,53,1639,22,433.6,266.2,222.0,0,279,92.1,6,0,3,0.0,50,MID
Andrew,Moran,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Carl,Rushworth,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,GK
Georginio,Rutter,5,6,95,1651,29,281.8,355.4,404.0,1,288,103.0,6,0,2,0.3,50,MID
Ferdi,Kadioglu,1,0,19,385,8,83.7,116.4,40.0,0,59,24.0,2,0,1,0.1,44,DEF
Matt,O'Riley,1,2,35,669,18,209.3,138.4,160.0,2,144,50.7,2,0,1,0.0,55,MID
Imari,Samuels,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Killian,Cahill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,39,GK
Ruairi,McConville,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Jacob,Slater,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Diego,Gómez,0,0,15,426,12,97.2,67.2,18.0,0,76,18.3,0,0,0,0.0,55,MID
Fabian,Hürzeler,0,0,62,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,11,AM
Joe,Knight,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Eiran,Cashin,0,0,1,19,2,0.6,7.0,0.0,0,-2,0.7,0,0,0,0.0,45,DEF
Charlie,Tasker,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Freddie,Simmonds,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
