assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,325,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,5,0,0,0,0,1,0,2188,0,1,4,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,325,0.00,0.00,0.00,0.00,26,0,0,0.0,0.0,2023-08-25T19:00:00Z,0,7,0,0,0,0,3,0,1346,0,0,3,0.0,0,-302,0,302,45,False,0
0,0,0,0,0.0,325,0.00,0.00,0.00,0.00,38,0,0,0.0,0.0,2023-09-01T19:00:00Z,0,19,0,0,0,0,4,0,1186,0,2,1,0.0,0,-163,0,163,45,True,0
0,0,0,0,0.0,325,0.00,0.00,0.00,0.00,44,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,10,0,0,0,0,5,0,1057,0,0,1,0.0,0,-137,0,137,45,False,0
0,0,0,0,0.0,325,0.00,0.00,0.00,0.00,58,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,20,0,0,0,0,6,0,1000,0,1,1,0.0,0,-61,0,61,45,True,0
0,0,0,0,0.0,325,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,9,0,0,0,0,7,0,942,0,2,1,0.0,0,-56,0,56,45,False,0
0,0,0,0,0.0,325,0.00,0.00,0.00,0.00,15,0,0,0.0,0.0,2023-10-03T18:30:00Z,0,6,0,0,0,0,7,0,942,0,2,1,0.0,0,-56,0,56,45,True,0
0,0,0,0,0.0,325,0.00,0.00,0.00,0.00,77,0,0,0.0,0.0,2023-10-07T11:30:00Z,0,18,0,0,0,0,8,0,898,0,1,0,0.0,0,-44,0,44,45,True,0
0,0,0,0,0.0,325,0.00,0.00,0.00,0.00,88,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,16,0,0,0,0,9,0,872,0,2,2,0.0,0,-31,0,31,45,False,0
0,0,0,0,0.0,325,0.00,0.00,0.00,0.00,92,0,0,0.0,0.0,2023-10-29T14:00:00Z,0,2,0,0,0,0,10,0,849,0,1,3,0.0,0,-22,0,22,45,False,0
0,0,0,0,0.0,325,0.00,0.00,0.00,0.00,105,0,0,0.0,0.0,2023-11-05T16:30:00Z,0,11,0,0,0,0,11,0,832,0,1,1,0.0,0,-17,0,17,45,True,0
0,0,0,0,0.0,325,0.00,0.00,0.00,0.00,118,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,14,0,0,0,0,12,0,813,0,0,1,0.0,0,-20,0,20,45,False,0
0,0,0,0,0.0,325,0.00,0.00,0.00,0.00,125,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,8,0,0,0,0,13,0,805,0,1,2,0.0,0,-8,0,8,45,True,0
0,0,0,0,0.0,325,0.00,0.00,0.00,0.00,133,0,0,0.0,0.0,2023-12-02T15:00:00Z,0,4,0,0,0,0,14,0,797,0,1,3,0.0,0,-8,0,8,45,False,0
0,0,0,0,0.0,325,0.00,0.00,0.00,0.00,146,0,0,0.0,0.0,2023-12-05T20:15:00Z,0,1,0,0,0,0,15,0,792,0,4,3,0.0,0,-5,0,5,45,True,0
0,0,0,0,0.0,325,0.00,0.00,0.00,0.00,156,0,0,0.0,0.0,2023-12-10T14:00:00Z,0,13,0,0,0,0,16,0,787,0,2,1,0.0,0,-5,0,5,45,True,0
0,0,0,0,0.0,325,0.00,0.00,0.00,0.00,175,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,15,0,0,0,0,18,0,771,0,0,1,0.0,0,-5,0,5,45,True,0
0,0,0,0,0.0,325,0.00,0.00,0.00,0.00,190,0,0,0.0,0.0,2023-12-26T15:00:00Z,0,17,0,0,0,0,19,0,762,0,3,2,0.0,0,-10,0,10,45,False,0
