assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,666,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2024-10-05T11:30:00Z,0,False,12,0,0,0,0,7,0,0,0,1,0,0.0,0,0,0,0,40,True,0
0,0,0,0,0.0,666,0.00,0.00,0.00,0.00,77,0,0,0.0,0.0,2024-10-21T19:00:00Z,0,False,16,0,0,0,0,8,0,721,0,0,1,0.0,0,329,388,59,40,False,0
0,0,0,0,0.0,666,0.00,0.00,0.00,0.00,86,0,0,0.0,0.0,2024-10-27T14:00:00Z,0,False,18,0,0,0,0,9,0,943,0,0,1,0.0,0,85,215,130,40,True,0
0,0,0,0,0.0,666,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,False,20,0,0,0,0,10,0,1260,0,2,2,0.0,0,90,249,159,40,False,0
0,0,4,0,4.1,666,0.02,0.02,0.00,0.00,104,0,0,0.6,2.0,2024-11-09T15:00:00Z,1,False,9,0,0,0,0,11,0,1474,0,2,0,0.0,1,40,187,147,40,True,0
0,0,0,0,0.0,666,0.00,0.00,0.00,0.00,112,0,0,0.0,0.0,2024-11-23T15:00:00Z,0,False,2,0,0,0,0,12,0,2010,0,2,2,0.0,0,261,427,166,40,False,0
0,0,0,0,0.0,666,0.00,0.00,0.00,0.00,124,0,0,0.0,0.0,2024-11-30T15:00:00Z,0,False,15,0,0,0,0,13,0,2171,0,1,1,0.0,0,49,205,156,40,True,0
0,0,0,0,0.0,666,0.00,0.00,0.00,0.00,136,0,0,0.0,0.0,2024-12-03T19:30:00Z,0,False,10,0,0,0,0,14,0,2455,0,1,0,0.0,0,128,278,150,40,False,0
0,0,0,0,0.0,666,0.00,0.00,0.00,0.00,143,0,0,0.0,0.0,2024-12-07T15:00:00Z,0,False,13,0,0,0,0,15,0,2934,0,2,2,0.0,0,364,604,240,40,True,0
0,0,0,0,0.0,666,0.00,0.00,0.00,0.00,153,0,0,0.0,0.0,2024-12-15T14:00:00Z,0,False,5,0,0,0,0,16,0,2793,0,3,1,0.0,0,-282,181,463,40,False,0
0,0,-3,0,0.5,666,0.00,0.00,0.00,0.06,163,1,0,0.7,6.0,2024-12-21T17:30:00Z,10,False,1,0,0,0,0,17,0,2851,0,5,1,0.0,1,-69,125,194,40,True,0
0,0,0,0,0.0,666,0.00,0.00,0.00,0.00,172,0,0,0.0,0.0,2024-12-26T15:00:00Z,0,False,3,0,0,0,0,18,0,3729,0,0,0,0.0,0,719,938,219,40,False,0
