assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,507,0,0,10,0,0,0,0.0,507,0.0,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,0,0,0,20,0,0,0,0,0,0,1,0,20094,0,0,0,2,2,0.0,0,0,0,0,60,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,507,0,0,16,0,0,0,0.0,1032,0.0,0,2018-08-18T14:00:00Z,18 Aug 15:00,0,0,0,0,0,16,0,0,0,0,0,0,2,0,15417,0,0,0,1,2,0.0,0,-5205,807,6012,60,True,0,0
0,4,0,0,0,3,0,0,3,0.5,0,0,507,0,0,22,0,0,0,0.1,1559,0.2,0,2018-08-25T14:00:00Z,25 Aug 15:00,0,0,5,0,0,2,0,0,0,0,2,0,3,0,10380,0,0,0,2,2,0.0,1,-5234,216,5450,60,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,507,0,0,36,0,0,0,0.0,2090,0.0,0,2018-09-01T14:00:00Z,01 Sep 15:00,0,0,0,0,0,10,0,0,0,0,0,0,4,0,9131,0,0,0,1,1,0.0,0,-1632,1220,2852,60,True,0,0
0,16,0,0,0,3,0,0,12,11.9,1,0,507,0,0,43,1,1,0,2.3,2627,9.4,1,2018-09-16T15:00:00Z,16 Sep 16:00,0,0,46,0,0,19,0,0,0,0,3,0,5,0,7067,1,1,0,3,1,2.0,0,-2123,387,2510,59,True,0,1
0,11,0,0,0,9,0,3,9,15.3,1,0,507,0,0,51,0,0,0,2.6,3164,10.4,1,2018-09-23T15:00:00Z,23 Sep 16:00,0,0,18,0,1,1,0,0,0,0,3,0,6,0,6550,1,1,0,0,2,0.0,1,-696,328,1024,59,False,0,0
1,5,0,0,0,13,0,0,4,10.8,0,0,507,0,0,65,0,0,0,3.0,3702,17.0,1,2018-09-29T14:00:00Z,29 Sep 15:00,0,0,2,0,0,9,0,0,0,0,1,0,7,0,6287,0,0,0,0,3,2.0,4,-397,281,678,59,True,0,0
1,43,0,0,2,25,0,1,31,43.8,5,0,507,0,0,75,2,1,0,6.3,4241,10.4,4,2018-10-06T14:00:00Z,06 Oct 15:00,0,0,90,0,0,11,0,0,0,0,14,0,8,0,6552,2,0,1,2,1,9.0,7,160,481,321,59,False,0,0
0,31,0,0,0,7,1,0,24,34.8,0,0,507,0,0,85,1,0,0,5.0,4783,7.4,3,2018-10-21T15:00:00Z,21 Oct 16:00,0,0,66,0,0,7,0,0,0,0,2,0,9,0,20616,3,0,0,0,2,8.0,3,12933,14303,1370,59,True,0,0
0,14,0,1,0,2,0,0,13,4.5,2,0,507,0,0,97,2,2,0,1.2,5329,0.0,0,2018-10-28T16:00:00Z,28 Oct 16:00,0,0,61,0,0,14,0,0,0,0,3,0,10,0,18798,1,0,1,1,2,10.0,2,-1146,1908,3054,59,False,0,0
0,26,1,0,0,11,0,1,22,28.9,1,0,507,0,0,105,1,1,0,4.5,5877,9.8,2,2018-11-03T15:00:00Z,03 Nov 15:00,0,0,67,0,0,3,0,0,0,0,4,0,11,0,17374,3,1,0,1,3,6.0,2,-1774,1677,3451,59,True,0,0
0,18,0,1,0,1,1,4,16,21.7,1,0,507,0,0,113,0,0,0,3.5,6427,10.0,2,2018-11-11T14:15:00Z,11 Nov 14:15,0,0,63,0,0,6,0,0,0,0,5,0,12,0,14702,4,0,1,0,0,3.0,2,-2725,539,3264,59,False,0,1
