assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,16,0,1.0,557,0.01,0.01,0.00,1.24,2,2,0,3.1,29.8,2024-08-17T14:00:00Z,90,False,1,0,0,0,0,1,0,14599,1,0,2,0.0,2,0,0,0,50,False,0
0,0,6,0,1.8,557,0.05,0.10,0.05,1.56,20,6,0,1.1,5.6,2024-08-25T13:00:00Z,89,False,6,0,0,0,0,2,0,14851,1,6,2,4.0,2,-864,646,1510,50,True,0
1,1,27,0,12.2,557,0.01,0.01,0.00,1.04,29,1,0,5.5,41.2,2024-08-31T14:00:00Z,90,False,16,0,0,0,0,3,0,14590,1,1,1,2.0,5,-957,1181,2138,50,False,1
0,3,42,0,35.8,557,0.26,0.72,0.46,1.21,40,2,1,10.0,44.6,2024-09-15T15:30:00Z,90,False,15,0,0,0,0,4,0,14158,1,2,1,20.0,10,-1017,1586,2603,50,True,0
0,0,3,0,5.2,557,0.02,0.21,0.19,1.73,41,3,0,5.6,17.2,2024-09-21T14:00:00Z,90,False,2,0,0,0,0,5,0,38369,1,1,3,34.0,1,21241,24658,3417,50,False,1
0,0,15,0,9.7,557,0.06,0.07,0.01,2.54,60,2,0,3.3,19.2,2024-09-28T16:30:00Z,90,False,12,0,0,0,0,6,0,45417,1,2,1,4.0,2,6945,15709,8764,50,True,0
0,0,9,0,13.7,557,0.02,0.24,0.22,4.25,63,5,0,4.1,6.8,2024-10-05T14:00:00Z,90,False,4,0,0,0,0,7,0,50291,1,3,5,20.0,2,4037,10520,6483,50,False,0
0,0,8,0,1.8,557,0.00,0.00,0.00,1.62,80,2,0,1.5,13.6,2024-10-20T13:00:00Z,90,False,13,0,0,0,0,8,0,44400,1,2,1,0.0,2,-6017,1802,7819,50,True,0
0,0,12,0,0.5,557,0.00,0.00,0.00,1.05,84,1,0,1.2,9.8,2024-10-26T14:00:00Z,45,False,5,0,0,0,0,9,0,44890,1,2,2,2.0,1,48,4261,4213,50,False,0
0,0,8,0,0.4,557,0.00,0.02,0.02,1.32,100,1,0,1.7,14.6,2024-11-02T17:30:00Z,28,False,7,0,0,0,0,10,0,41313,0,2,2,2.0,1,-3750,3902,7652,50,True,0
1,0,21,1,11.0,557,0.01,0.03,0.02,0.66,110,0,0,4.0,25.2,2024-11-09T15:00:00Z,90,False,17,0,0,0,0,11,0,38068,1,0,2,4.0,6,-3425,2811,6236,50,True,0
1,1,32,0,23.7,557,0.29,0.29,0.00,1.03,115,1,0,6.8,43.8,2024-11-23T15:00:00Z,90,False,9,0,0,0,0,12,0,38350,1,4,1,0.0,6,-88,3817,3905,50,False,0
0,0,17,0,11.1,557,0.01,0.01,0.00,3.29,130,4,0,2.9,17.8,2024-11-30T15:00:00Z,90,False,3,0,0,0,0,13,0,58588,1,4,2,0.0,1,19322,22139,2817,50,True,1
0,0,14,0,5.2,557,0.01,0.01,0.00,1.02,134,4,0,3.4,24.4,2024-12-04T19:30:00Z,90,False,8,0,0,0,0,14,0,54608,1,0,4,4.0,2,-3686,4464,8150,50,False,0
0,0,6,0,11.1,557,0.01,0.28,0.27,1.01,150,2,0,4.8,19.4,2024-12-09T20:00:00Z,90,False,19,0,0,0,0,15,0,48595,1,1,2,17.0,1,-6080,1604,7684,50,False,1
0,0,12,0,15.9,557,0.07,0.13,0.06,1.20,160,2,0,3.4,12.8,2024-12-14T15:00:00Z,90,False,10,0,0,0,0,16,0,48551,1,2,1,5.0,2,-645,5502,6147,50,True,0
0,0,0,0,0.0,557,0.00,0.00,0.00,0.00,167,0,0,0.0,0.0,2024-12-22T14:00:00Z,0,False,11,0,0,0,0,17,0,40313,0,3,0,0.0,0,-8244,601,8845,50,False,0
0,0,0,0,0.0,557,0.00,0.00,0.00,0.00,180,0,0,0.0,0.0,2024-12-26T17:30:00Z,0,False,14,0,0,0,0,18,0,32601,0,0,2,0.0,0,-7695,126,7821,50,True,0
