assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,28,0,0,0,6,0,2,24,2.4,1,0,94,0,0,264,0,5,0,2.5,14595,15.6,0,2019-02-22T19:45:00Z,22 Feb 19:45,0,0,90,0,0,18,0,0,0,0,5,0,27,0,28303,3,0,0,5,1,7.0,0,450,984,534,44,True,0,0
0,28,0,0,0,10,0,4,16,14.9,0,0,94,0,0,272,1,3,0,2.5,15099,10.2,1,2019-02-26T19:45:00Z,26 Feb 19:45,0,0,90,0,1,8,0,0,0,0,3,0,28,0,27948,0,0,0,3,0,0.0,1,-118,322,440,44,True,0,0
0,27,0,0,0,12,0,2,17,16.5,1,0,94,0,0,290,0,2,0,3.8,15704,19.8,1,2019-03-02T15:00:00Z,02 Mar 15:00,0,0,90,0,1,20,0,0,0,0,4,0,29,0,27539,1,1,0,0,2,2.0,1,-416,143,559,44,False,0,0
0,13,0,0,0,21,1,3,12,11.4,1,0,94,0,0,292,0,0,0,2.8,16310,6.6,1,2019-03-09T15:00:00Z,09 Mar 15:00,0,0,61,0,0,19,0,0,0,0,1,0,30,0,27331,0,0,0,0,2,10.0,6,-250,211,461,44,True,0,0
0,20,0,0,0,12,0,5,12,1.0,2,0,94,0,0,314,1,2,0,2.0,17252,12.2,0,2019-03-31T13:05:00Z,31 Mar 14:05,0,0,90,0,0,6,0,0,0,0,3,0,32,0,25778,0,1,0,2,1,7.0,1,-770,38,808,44,True,0,0
0,12,0,0,0,4,0,2,10,0.4,1,0,94,0,0,325,1,2,0,0.2,17253,2.0,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,90,0,0,13,0,0,0,0,2,0,32,0,25778,0,0,0,0,2,0.0,0,-770,38,808,44,False,0,1
0,40,0,0,0,8,0,4,32,4.0,0,0,94,0,0,332,1,2,0,1.2,18527,6.8,0,2019-04-13T14:00:00Z,13 Apr 15:00,0,0,90,0,0,4,0,0,0,0,5,0,34,0,26507,2,1,1,0,2,1.0,0,648,1026,378,44,False,0,1
0,24,0,0,0,26,1,8,20,1.1,0,0,94,0,0,302,1,0,0,3.4,18526,15.2,0,2019-04-16T18:45:00Z,16 Apr 19:45,0,0,90,0,0,3,0,0,0,0,7,0,34,0,26507,0,3,0,2,0,18.0,5,648,1026,378,44,False,0,1
0,14,0,0,0,8,0,4,6,0.6,0,0,94,0,0,343,0,2,0,0.7,19214,6.6,0,2019-04-21T15:00:00Z,21 Apr 16:00,0,0,90,1,0,12,0,0,0,0,3,0,35,0,25940,2,1,0,2,0,0.0,1,-495,144,639,44,True,0,0
0,19,0,0,0,15,0,8,12,3.8,0,0,94,0,0,354,2,1,0,4.3,20030,22.0,0,2019-04-27T14:00:00Z,27 Apr 15:00,0,0,90,0,0,9,0,0,0,0,6,0,36,0,26126,1,3,0,0,1,17.0,2,121,323,202,44,False,0,0
0,25,0,0,0,10,0,8,15,11.2,0,0,94,0,0,363,2,3,0,3.0,20645,18.4,1,2019-05-04T16:30:00Z,04 May 17:30,0,0,90,0,0,7,0,0,0,0,4,0,37,0,26079,0,0,0,3,2,0.0,1,-49,171,220,44,True,0,0
0,16,0,0,0,23,1,3,10,0.6,0,0,94,0,0,377,0,0,0,1.5,21261,14.4,0,2019-05-12T14:00:00Z,12 May 15:00,0,0,90,0,0,14,0,0,0,0,5,0,38,0,25858,1,2,0,2,0,0.0,6,-184,102,286,44,False,0,0
