assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,763,0.00,0.00,0.00,0.00,242,0,0,0.0,0.0,2025-02-14T20:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,25,0,465,0,0,3,0.0,0,336,350,14,45,True,0
0,0,0,0,0.0,763,0.00,0.00,0.00,0.00,260,0,0,0.0,0.0,2025-02-22T15:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,26,0,918,0,4,0,0.0,0,320,397,77,45,False,0
0,0,0,0,0.0,763,0.00,0.00,0.00,0.00,262,0,0,0.0,0.0,2025-02-25T19:30:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,27,0,1014,0,1,2,0.0,0,22,183,161,45,True,0
0,0,0,0,0.0,763,0.00,0.00,0.00,0.00,272,0,0,0.0,0.0,2025-03-08T15:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,28,0,1104,0,1,2,0.0,0,-9,138,147,45,True,0
0,0,0,0,0.0,763,0.00,0.00,0.00,0.00,288,0,0,0.0,0.0,2025-03-15T15:00:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,29,0,1327,0,2,2,0.0,0,29,142,113,45,False,0
0,0,-5,0,0.5,763,0.00,0.00,0.00,0.44,293,2,0,0.7,6.8,2025-04-02T18:45:00Z,18,0,0,0,0,0,0,0,False,2,0,0,0,0,30,0,1306,0,3,0,0.0,0,-9,106,115,45,True,0
0,0,0,0,0.0,763,0.00,0.00,0.00,0.00,303,0,0,0.0,0.0,2025-04-05T14:00:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,31,0,1354,0,1,2,0.0,0,26,93,67,45,False,0
0,0,0,0,0.0,763,0.00,0.00,0.00,0.00,313,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,32,0,1637,0,2,2,0.0,0,191,315,124,45,True,0
0,0,3,0,0.1,763,0.00,0.00,0.00,0.00,322,0,0,0.0,0.2,2025-04-19T14:00:00Z,1,0,0,0,0,0,0,0,False,4,0,0,0,0,33,0,1579,0,2,4,0.0,1,-84,99,183,45,False,0
0,0,0,0,0.0,763,0.00,0.00,0.00,0.00,333,0,0,0.0,0.0,2025-04-26T14:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,34,0,2156,0,2,3,0.0,0,179,295,116,45,True,0
0,0,0,0,0.0,763,0.00,0.00,0.00,0.00,344,0,0,0.0,0.0,2025-05-04T13:00:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,35,0,1768,0,1,1,0.0,0,-75,41,116,45,True,0
0,0,0,0,0.0,763,0.00,0.00,0.00,0.00,360,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,36,0,1803,0,2,0,0.0,0,-14,71,85,45,False,0
0,0,0,0,0.0,763,0.00,0.00,0.00,0.00,364,0,0,0.0,0.0,2025-05-19T19:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,37,0,1778,0,2,3,0.0,0,-56,19,75,45,True,0
0,0,0,0,0.0,763,0.00,0.00,0.00,0.00,379,0,0,0.0,0.0,2025-05-25T15:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,38,0,1861,0,4,1,0.0,0,9,85,76,45,False,0
