assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,62,0,0,0,21,0,8,53,1.2,1,0,474,0,0,8,1,3,0,4.5,474,25.8,0,2016-08-14T15:00:00Z,14 Aug 16:00,0,0,90,0,0,1,0,0,0,0,4,0,1,0,36006,0,3,0,4,3,18.0,1,0,0,0,50,False,0,0
0,77,0,0,0,15,0,4,74,11.0,0,0,474,0,0,12,0,2,0,3.0,999,16.6,0,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,90,0,0,3,0,0,0,0,5,0,2,0,46910,0,0,0,0,2,2.0,1,2336,4768,2432,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,474,0,0,27,0,0,0,0.0,1539,0.0,0,2016-08-27T11:30:00Z,27 Aug 12:30,0,0,0,0,0,17,0,0,0,0,0,0,3,0,42318,0,0,0,1,1,0.0,0,-6668,1008,7676,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,474,0,0,34,0,0,0,0.0,2089,0.0,0,2016-09-10T16:30:00Z,10 Sep 17:30,0,0,0,0,0,8,0,0,0,0,0,0,4,0,30698,0,0,0,1,4,0.0,0,-11896,141,12037,49,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,474,0,0,41,0,0,0,0.0,2670,0.0,0,2016-09-16T19:00:00Z,16 Sep 20:00,0,0,0,0,0,4,0,0,0,0,0,0,5,0,27561,0,0,0,2,1,0.0,0,-3307,125,3432,49,False,0,0
0,69,0,0,0,17,0,3,64,4.8,1,0,474,0,0,53,1,1,0,2.2,3254,14.8,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,90,0,0,7,0,0,0,0,13,0,6,0,24734,0,0,0,1,5,2.0,2,-2975,209,3184,49,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,474,0,0,67,0,0,0,0.0,3840,0.0,0,2016-10-01T11:30:00Z,01 Oct 12:30,0,0,0,0,0,16,0,0,0,0,0,0,7,0,24777,0,0,0,2,1,0.0,0,-228,1004,1232,49,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,474,0,0,75,0,0,0,0.0,4429,0.0,0,2016-10-17T19:00:00Z,17 Oct 20:00,0,0,0,0,0,11,0,0,0,0,0,0,8,0,23501,0,0,0,0,0,0.0,0,-1503,256,1759,49,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,474,0,0,87,0,0,0,0.0,5021,0.0,0,2016-10-22T16:30:00Z,22 Oct 17:30,0,0,0,0,0,19,0,0,0,0,0,0,9,0,22380,0,0,0,1,2,0.0,0,-1235,177,1412,48,True,0,0
0,3,0,0,0,3,0,0,3,0.3,0,0,474,0,0,91,0,0,0,0.1,5615,0.2,0,2016-10-29T16:30:00Z,29 Oct 17:30,0,0,1,0,0,5,0,0,0,0,1,0,10,0,21155,0,0,0,4,2,0.0,1,-1293,77,1370,48,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,474,0,0,107,0,0,0,0.0,6213,0.0,0,2016-11-06T14:15:00Z,06 Nov 14:15,0,0,0,0,0,18,0,0,0,0,0,0,11,0,20348,0,0,0,1,6,0.0,0,-890,96,986,47,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,474,0,0,115,0,0,0,0.0,6812,0.0,0,2016-11-19T15:00:00Z,19 Nov 15:00,0,0,0,0,0,13,0,0,0,0,0,0,12,0,19717,0,0,0,0,0,0.0,0,-749,136,885,47,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,474,0,0,126,0,0,0,0.0,7413,0.0,0,2016-11-26T15:00:00Z,26 Nov 15:00,0,0,0,0,0,15,0,0,0,0,0,0,13,0,19249,0,0,0,0,2,0.0,0,-509,65,574,47,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,474,0,0,131,0,0,0,0.0,8017,0.0,0,2016-12-04T13:30:00Z,04 Dec 13:30,0,0,0,0,0,2,0,0,0,0,0,0,14,0,18840,0,0,0,3,4,0.0,0,-451,55,506,47,False,0,0
0,41,0,0,0,10,0,3,36,0.6,0,0,474,0,0,146,0,0,0,1.7,8622,12.0,0,2016-12-11T16:30:00Z,11 Dec 16:30,0,0,45,0,0,20,0,0,0,0,6,0,15,0,18573,0,0,0,2,2,4.0,1,-323,70,393,46,True,0,0
0,56,0,0,0,28,1,2,51,0.8,3,0,474,0,0,158,2,0,0,1.1,9232,10.6,0,2016-12-14T19:45:00Z,14 Dec 19:45,0,0,90,0,0,12,0,0,0,0,4,0,16,0,18606,1,1,0,3,0,0.0,6,-5,212,217,46,False,0,0
0,49,0,0,3,31,1,10,43,0.8,0,0,474,0,0,163,1,0,0,2.7,9846,22.6,0,2016-12-19T20:00:00Z,19 Dec 20:00,0,0,90,0,0,6,0,0,0,0,4,0,17,0,18818,0,2,0,1,0,4.0,9,160,355,195,46,False,0,0
0,64,0,0,0,17,0,7,57,10.3,0,0,474,0,0,176,0,1,0,3.5,10462,24.6,1,2016-12-27T17:15:00Z,27 Dec 17:15,0,0,90,0,0,14,0,0,0,0,5,0,18,0,24208,0,1,0,1,4,0.0,2,4976,5371,395,46,True,0,0
0,43,0,0,0,24,1,11,31,0.2,0,0,474,0,0,186,2,0,0,1.9,11080,19.0,0,2016-12-31T17:30:00Z,31 Dec 17:30,0,0,90,0,0,10,0,0,0,0,7,0,19,0,26549,0,1,0,0,1,0.0,5,2039,3021,982,46,True,0,1
0,77,0,0,0,17,0,10,70,0.6,0,0,474,0,0,197,1,2,0,4.8,11702,30.2,0,2017-01-02T15:00:00Z,02 Jan 15:00,0,0,90,0,0,15,0,1,0,0,8,0,20,0,45319,0,1,0,2,2,17.0,1,18264,20383,2119,46,False,0,0
0,24,0,0,0,12,0,13,19,0.0,0,0,474,0,0,205,1,1,0,1.9,12326,19.4,0,2017-01-15T16:00:00Z,15 Jan 16:00,0,0,90,0,0,11,0,0,0,0,3,0,21,0,51651,0,0,0,1,1,0.0,2,5530,13164,7634,46,False,0,0
0,97,0,0,0,14,0,7,92,3.6,0,0,474,1,0,215,1,3,0,3.0,12957,24.4,0,2017-01-21T12:30:00Z,21 Jan 12:30,0,0,90,0,0,16,0,0,0,0,6,0,22,0,57652,0,2,0,3,2,2.0,0,5556,8677,3121,46,True,0,1
0,0,0,0,0,0,0,0,0,0.0,0,0,474,0,0,228,0,0,0,0.0,13591,0.0,0,2017-01-31T20:00:00Z,31 Jan 20:00,0,0,0,0,0,4,0,0,0,0,0,0,23,0,50328,0,0,0,1,1,0.0,0,-7478,886,8364,46,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,474,0,0,234,0,0,0,0.0,14234,0.0,0,2017-02-04T15:00:00Z,04 Feb 15:00,0,0,0,0,0,7,0,0,0,0,0,0,24,0,44461,0,0,0,0,2,0.0,0,-5913,255,6168,46,False,0,0
0,2,0,0,0,3,0,0,1,0.0,0,0,474,0,0,244,0,0,0,0.1,14883,1.4,0,2017-02-11T17:30:00Z,11 Feb 17:30,0,0,9,0,0,17,0,0,0,0,0,0,25,0,36846,0,0,0,0,2,0.0,1,-7649,107,7756,46,True,0,0
