assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,27,0,0,0,9,1,2,23,44.0,0,0,317,0,0,6,0,0,0,10.2,317,11.4,3,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,70,0,1,16,0,0,0,0,4,0,1,0,114499,2,0,1,0,0,47.0,3,0,0,0,55,True,0,0
0,22,0,0,0,5,0,0,21,28.8,0,0,317,0,0,15,0,1,0,3.5,828,6.6,2,2017-08-19T14:00:00Z,19 Aug 15:00,0,0,25,0,0,20,0,0,0,0,0,0,2,0,126169,0,0,0,2,3,0.0,1,2621,10571,7950,55,True,0,0
0,12,0,0,0,3,0,1,7,0.7,0,0,317,0,0,24,0,0,0,0.5,1344,2.6,0,2017-08-26T14:00:00Z,26 Aug 15:00,0,0,19,0,0,8,0,0,0,0,0,0,3,0,100307,0,0,0,0,0,2.0,1,-26716,1562,28278,55,False,0,0
0,9,0,0,0,4,0,2,5,2.2,0,0,317,0,0,36,0,1,0,0.5,1875,1.2,0,2017-09-09T14:00:00Z,09 Sep 15:00,0,0,45,0,0,18,0,0,0,0,0,0,4,0,73762,0,0,0,2,0,2.0,1,-27013,1107,28120,54,True,0,0
0,6,0,0,0,3,0,0,4,1.0,0,0,317,0,0,42,0,0,0,0.4,2419,1.2,0,2017-09-16T11:30:00Z,16 Sep 12:30,0,0,5,0,0,6,0,0,0,0,0,0,5,0,61046,0,0,0,1,0,2.0,1,-12864,410,13274,54,False,0,0
0,8,0,0,0,2,0,0,5,5.1,0,0,317,0,0,55,0,0,0,0.5,2965,0.2,0,2017-09-23T14:00:00Z,23 Sep 15:00,0,0,7,0,0,12,0,0,0,0,2,0,6,0,49147,1,0,0,1,0,0.0,1,-12011,287,12298,53,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,317,0,0,65,0,0,0,0.0,3515,0.0,0,2017-09-30T14:00:00Z,30 Sep 15:00,0,0,0,0,0,15,0,0,0,0,0,0,7,0,42635,0,0,0,1,2,0.0,0,-6607,301,6908,53,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,317,0,0,77,0,0,0,0.0,4069,0.0,0,2017-10-15T15:00:00Z,15 Oct 16:00,0,0,0,0,0,13,0,0,0,0,0,0,8,0,37934,0,0,0,2,2,0.0,0,-4810,506,5316,52,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,317,0,0,86,0,0,0,0.0,4626,0.0,0,2017-10-21T16:30:00Z,21 Oct 17:30,0,0,0,0,0,19,0,0,0,0,0,0,9,0,35072,0,0,0,0,1,0.0,0,-2888,165,3053,52,True,0,0
1,35,0,0,0,18,0,2,31,3.9,0,0,317,0,0,93,2,1,0,0.7,5185,0.2,0,2017-10-29T13:30:00Z,29 Oct 13:30,0,0,83,0,0,3,0,0,0,0,7,0,10,0,31588,1,0,1,1,1,3.0,5,-3521,115,3636,51,False,0,0
0,1,0,0,0,3,0,0,0,0.0,0,0,317,0,0,105,0,0,0,0.0,5748,0.0,0,2017-11-04T15:00:00Z,04 Nov 15:00,0,0,1,0,0,4,0,0,0,0,0,0,11,0,30748,0,0,0,1,0,0.0,1,-883,420,1303,51,True,0,0
0,6,1,0,0,8,0,2,1,14.1,0,0,317,0,0,117,1,0,0,1.9,6314,3.0,1,2017-11-18T15:00:00Z,18 Nov 15:00,0,0,21,0,1,10,0,0,0,0,1,0,12,0,29258,0,0,0,0,3,2.0,1,-1530,129,1659,51,False,0,0
1,48,0,0,0,25,0,1,41,76.0,0,0,317,0,0,126,0,1,0,11.7,6883,29.4,5,2017-11-26T13:30:00Z,26 Nov 13:30,0,0,90,0,1,7,0,0,0,0,2,0,13,0,28250,0,0,0,1,4,12.0,5,-1027,99,1126,51,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,317,0,0,139,0,0,0,0.0,7453,0.0,0,2017-11-29T20:00:00Z,29 Nov 20:00,0,0,0,0,0,11,0,0,0,0,0,0,14,0,27774,0,0,0,1,2,0.0,0,-504,257,761,51,False,0,0
0,20,0,0,0,5,0,0,16,32.7,0,0,317,0,0,142,1,1,0,3.7,8024,4.4,2,2017-12-03T13:30:00Z,03 Dec 13:30,0,0,45,0,1,2,0,0,0,0,1,0,15,0,27051,0,0,0,1,1,0.0,1,-744,160,904,51,False,0,0
0,26,0,0,0,10,0,2,21,7.5,1,0,317,0,0,160,0,1,0,2.2,8598,14.4,0,2017-12-10T12:00:00Z,10 Dec 12:00,0,0,90,0,1,1,0,0,0,0,2,0,16,0,26432,1,1,0,1,1,0.0,2,-653,132,785,50,True,0,0
0,4,0,0,0,2,0,0,1,0.1,0,0,317,0,0,168,0,0,0,0.0,9175,0.0,0,2017-12-13T19:45:00Z,13 Dec 19:45,0,0,7,0,0,9,0,0,0,0,1,0,17,0,26353,0,0,1,4,1,1.0,1,-118,311,429,50,True,0,0
0,31,0,0,0,11,0,0,23,6.3,0,0,317,0,0,174,0,1,0,2.3,9753,8.8,0,2017-12-16T15:00:00Z,16 Dec 15:00,0,0,90,0,1,5,0,0,0,0,6,0,18,0,25880,0,0,0,0,1,8.0,2,-502,120,622,50,False,0,0
0,28,0,0,0,9,0,0,22,57.0,0,0,317,0,0,187,1,1,0,8.5,10333,17.0,4,2017-12-23T15:00:00Z,23 Dec 15:00,0,0,90,0,1,8,0,0,0,0,2,0,19,0,25471,1,0,0,1,1,11.0,2,-448,244,692,50,True,0,0
